CIA - The World Factbook --  Labor force   

This entry contains the total labor force figure.

| Rank | country | Labor force | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 819,500,000 | 2010 est. |
| 2 | India | 478,300,000 | 2010 est. |
| 3 | European Union | 225,200,000 | 2010 est. |
| 4 | United States | 153,900,000 | 2010 est. |
| 5 | Indonesia | 114,900,000 | 2010 est. |
| 6 | Brazil | 103,600,000 | 2010 est. |
| 7 | Russia | 75,550,000 | 2010 est. |
| 8 | Bangladesh | 73,870,000 | 2010 est. |
| 9 | Japan | 65,640,000 | 2010 est. |
| 10 | Pakistan | 55,770,000 | 2010 est. |
| 11 | Nigeria | 48,330,000 | 2010 est. |
| 12 | Vietnam | 47,490,000 | 2010 est. |
| 13 | Mexico | 46,990,000 | 2010 est. |
| 14 | Germany | 43,350,000 | 2010 est. |
| 15 | Philippines | 38,910,000 | 2010 est. |
| 16 | Thailand | 38,700,000 | 2010 est. |
| 17 | Ethiopia | 37,900,000 | 2007 |
| 18 | Burma | 31,680,000 | 2010 est. |
| 19 | United Kingdom | 31,450,000 | 2010 est. |
| 20 | France | 28,210,000 | 2010 est. |
| 21 | Egypt | 26,100,000 | 2010 est. |
| 22 | Iran | 25,700,000 | 2010 est. |
| 23 | Italy | 25,050,000 | 2010 est. |
| 24 | Turkey | 24,730,000 | 2010 est. |
| 25 | Korea, South | 24,620,000 | 2010 est. |
| 26 | Congo, Democratic Republic of the | 23,530,000 | 2007 est. |
| 27 | Spain | 22,960,000 | 2010 est. |
| 28 | Ukraine | 22,060,000 | 2010 est. |
| 29 | Tanzania | 21,860,000 | 2010 est. |
| 30 | Colombia | 21,270,000 | 2010 est. |
| 31 | Canada | 18,590,000 | 2010 est. |
| 32 | Nepal | 18,000,000 | 2009 est. |
| 33 | Kenya | 17,940,000 | 2010 est. |
| 34 | South Africa | 17,320,000 | 2010 est. |
| 35 | Poland | 17,000,000 | 2010 est. |
| 36 | Argentina | 16,620,000 | 2010 est. |
| 37 | Uzbekistan | 16,000,000 | 2010 est. |
| 38 | Uganda | 15,510,000 | 2010 est. |
| 39 | Afghanistan | 15,000,000 | 2004 est. |
| 40 | Venezuela | 13,300,000 | 2010 est. |
| 41 | Korea, North | 12,200,000 | 2009 est. |
| 42 | Sudan | 11,920,000 | 2007 est. |
| 43 | Morocco | 11,630,000 | 2010 est. |
| 44 | Australia | 11,620,000 | 2010 est. |
| 45 | Malaysia | 11,620,000 | 2010 est. |
| 46 | Taiwan | 11,030,000 | 2010 est. |
| 47 | Peru | 10,580,000 | 2010 est. |
| 48 | Ghana | 10,560,000 | 2010 est. |
| 49 | Algeria | 9,877,000 | 2010 est. |
| 50 | Mozambique | 9,870,000 | 2010 est. |
| 51 | Madagascar | 9,504,000 | 2007 |
| 52 | Romania | 9,350,000 | 2010 est. |
| 53 | Kazakhstan | 8,718,000 | 2010 est. |
| 54 | Iraq | 8,500,000 | 2009 est. |
| 55 | Sri Lanka | 8,100,000 | 2010 est. |
| 56 | Cambodia | 8,000,000 | 2009 est. |
| 57 | Angola | 7,977,000 | 2010 est. |
| 58 | Netherlands | 7,860,000 | 2010 est. |
| 59 | Cameroon | 7,836,000 | 2010 est. |
| 60 | Cote d'Ivoire | 7,617,000 | 2010 est. |
| 61 | Chile | 7,580,000 | 2010 est. |
| 62 | Saudi Arabia | 7,337,000 | 2010 est. |
| 63 | Yemen | 6,832,000 | 2010 est. |
| 64 | Burkina Faso | 6,668,000 | 2007 |
| 65 | Azerbaijan | 5,874,000 | 2010 est. |
| 66 | Malawi | 5,747,000 | 2007 est. |
| 67 | Portugal | 5,570,000 | 2010 est. |
| 68 | Senegal | 5,530,000 | 2010 est. |
| 69 | Syria | 5,527,000 | 2010 est. |
| 70 | Zambia | 5,524,000 | 2010 est. |
| 71 | Czech Republic | 5,370,000 | 2010 est. |
| 72 | Cuba | 5,164,000 | 2010 est. |
| 73 | Greece | 5,050,000 | 2010 est. |
| 74 | Belgium | 5,020,000 | 2010 est. |
| 75 | Belarus | 5,000,000 | 2009 |
| 76 | Sweden | 4,930,000 | 2010 est. |
| 77 | Niger | 4,688,000 | 2007 |
| 78 | Bolivia | 4,614,000 | 2010 est. |
| 79 | Ecuador | 4,590,000 | 2010 est. |
| 80 | Dominican Republic | 4,498,000 | 2010 est. |
| 81 | Rwanda | 4,446,000 | 2007 |
| 82 | Guinea | 4,392,000 | 2007 est. |
| 83 | Chad | 4,293,000 | 2007 |
| 84 | Guatemala | 4,260,000 | 2010 est. |
| 85 | Burundi | 4,245,000 | 2007 |
| 86 | Hungary | 4,170,000 | 2010 est. |
| 87 | Switzerland | 4,130,000 | 2010 est. |
| 88 | United Arab Emirates | 3,908,000 | 2010 est. |
| 89 | Zimbabwe | 3,848,000 | 2010 est. |
| 90 | Tunisia | 3,830,000 | 2010 est. |
| 91 | Papua New Guinea | 3,809,000 | 2010 est. |
| 92 | Hong Kong | 3,700,000 | 2010 est. |
| 93 | Benin | 3,662,000 | 2007 est. |
| 94 | Laos | 3,650,000 | 2009 est. |
| 95 | Haiti | 3,643,000 | 2007 |
