CIA - The World Factbook --  LABOR FORCE

Labor force compares the total labor force figure.

| Rank | Country | LABOR FORCE | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 806,300,000 | 2015 est. |
| 2 | India | 501,800,000 | 2015 est. |
| 3 | European Union | 232,200,000 | 2015 est. |
| 4 | United States | 157,100,000 | 2015 est. |
| 5 | Indonesia | 122,400,000 | 2015 est. |
| 6 | Brazil | 109,200,000 | 2015 est. |
| 7 | Bangladesh | 81,950,000 | 2015 est. |
| 8 | Russia | 76,580,000 | 2015 est. |
| 9 | Japan | 65,980,000 | 2015 est. |
| 10 | Pakistan | 63,340,000 | 2015 est. |
| 11 | Nigeria | 57,270,000 | 2015 est. |
| 12 | Vietnam | 54,450,000 | 2015 est. |
| 13 | Mexico | 52,910,000 | 2015 est. |
| 14 | Ethiopia | 49,270,000 | 2015 est. |
| 15 | Germany | 45,000,000 | 2015 est. |
| 16 | Philippines | 41,760,000 | 2015 est. |
| 17 | Thailand | 38,550,000 | 2015 est. |
| 18 | Burma | 36,180,000 | 2015 est. |
| 19 | United Kingdom | 33,060,000 | 2015 est. |
| 20 | Egypt | 31,140,000 | 2015 est. |
| 21 | France | 30,410,000 | 2015 est. |
| 22 | Congo, Democratic Republic of the | 30,050,000 | 2015 est. |
| 23 | Turkey | 29,670,000 | 2015 est. |
| 24 | Iran | 29,070,000 | 2015 est. |
| 25 | Korea, South | 26,910,000 | 2015 est. |
| 26 | Tanzania | 26,110,000 | 2015 est. |
| 27 | Italy | 25,500,000 | 2015 est. |
| 28 | Colombia | 24,170,000 | 2015 est. |
| 29 | Spain | 22,920,000 | 2015 est. |
| 30 | South Africa | 21,090,000 | 2015 est. |
| 31 | Canada | 19,280,000 | 2015 est. |
| 32 | Uganda | 18,420,000 | 2015 est. |
| 33 | Ukraine | 18,100,000 | 2015 est. |
| 34 | Kenya | 18,070,000 | 2015 est. |
| 35 | Poland | 17,760,000 | 2015 est. |
| 36 | Uzbekistan | 17,540,000 | 2015 est. |
| 37 | Argentina | 17,470,000 | 2015 est. |
| 38 | Peru | 16,640,000 | 2015 est. |
| 39 | Nepal | 15,200,000 | 2013 est. |
| 40 | Malaysia | 14,520,000 | 2015 est. |
| 41 | Venezuela | 14,170,000 | 2015 est. |
| 42 | Korea, North | 14,000,000 | 2014 est. |
| 43 | Mozambique | 12,920,000 | 2015 est. |
| 44 | Madagascar | 12,570,000 | 2015 est. |
| 45 | Australia | 12,500,000 | 2015 est. |
| 46 | Morocco | 12,040,000 | 2015 est. |
| 47 | Algeria | 11,930,000 | 2015 est. |
| 48 | Sudan | 11,920,000 | 2007 est. |
| 49 | Ghana | 11,700,000 | 2015 est. |
| 50 | Saudi Arabia | 11,670,000 | 2015 est. |
| 51 | Taiwan | 11,640,000 | 2015 est. |
| 52 | Angola | 10,510,000 | 2015 est. |
| 53 | Cameroon | 9,379,000 | 2015 est. |
| 54 | Romania | 9,159,000 | 2015 est. |
| 55 | Kazakhstan | 8,989,000 | 2015 est. |
| 56 | Sri Lanka | 8,928,000 | 2015 est. |
| 57 | Iraq | 8,900,000 | 2010 est. |
| 58 | Chile | 8,635,000 | 2015 est. |
| 59 | Cote d'Ivoire | 8,340,000 | 2015 est. |
| 60 | Afghanistan | 7,983,000 | 2013 est. |
| 61 | Cambodia | 7,974,000 | 2013 est. |
| 62 | Zimbabwe | 7,905,000 | 2015 est. |
| 63 | Netherlands | 7,895,000 | 2015 est. |
| 64 | Burkina Faso | 7,692,000 | 2013 est. |
