CIA - The World Factbook --  Labor force   

This entry contains the total labor force figure.

| Rank | country | Labor force | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 807,300,000 | 2008 est. |
| 2 | India | 523,500,000 | 2008 est. |
| 3 | European Union | 224,400,000 | 2008 est. |
| 4 | United States | 154,300,000 | 2008 est. |
| 5 | Indonesia | 112,000,000 | 2008 est. |
| 6 | Brazil | 93,650,000 | 2008 est. |
| 7 | Russia | 75,700,000 | 2008 est. |
| 8 | Bangladesh | 70,860,000 | 2008 est. |
| 9 | Japan | 66,500,000 | 2008 est. |
| 10 | Nigeria | 51,040,000 | 2008 est. |
| 11 | Pakistan | 50,580,000 | 2008 est. |
| 12 | Vietnam | 47,410,000 | 2008 est. |
| 13 | Mexico | 45,320,000 | 2008 est. |
| 14 | Germany | 43,600,000 | 2008 est. |
| 15 | Ethiopia | 37,900,000 | 2007 |
| 16 | Thailand | 37,780,000 | 2008 est. |
| 17 | Philippines | 36,810,000 | 2008 est. |
| 18 | United Kingdom | 31,230,000 | 2008 est. |
| 19 | Burma | 30,040,000 | 2008 est. |
| 20 | France | 27,970,000 | 2008 est. |
| 21 | Italy | 25,110,000 | 2008 est. |
| 22 | Egypt | 24,600,000 | 2008 est. |
| 23 | Iran | 24,350,000 | 2008 est. |
| 24 | Korea, South | 24,350,000 | 2008 est. |
| 25 | Turkey | 24,060,000 | 2008 est. |
| 26 | Congo, Democratic Republic of the | 23,530,000 | 2007 est. |
| 27 | Spain | 22,850,000 | 2008 est. |
| 28 | Ukraine | 21,570,000 | 2008 est. |
| 29 | Colombia | 21,300,000 | 2008 est. |
| 30 | Tanzania | 21,060,000 | 2008 est. |
| 31 | Korea, North | 20,000,000 | 2004 est. |
| 32 | Canada | 18,220,000 | 2008 est. |
| 33 | South Africa | 17,790,000 | 2008 est. |
| 34 | Kenya | 17,370,000 | 2007 est. |
| 35 | Poland | 17,010,000 | 2008 est. |
| 36 | Argentina | 16,270,000 | 2008 est. |
| 37 | Uzbekistan | 15,370,000 | 2008 est. |
| 38 | Afghanistan | 15,000,000 | 2004 est. |
| 39 | Nepal | 14,600,000 | 2008 est. |
| 40 | Uganda | 14,540,000 | 2008 est. |
| 41 | Turkmenistan | 13,510,000 | 2007 est. |
| 42 | Venezuela | 12,590,000 | 2008 est. |
| 43 | Sudan | 11,920,000 | 2007 est. |
| 44 | Morocco | 11,290,000 | 2008 est. |
| 45 | Australia | 11,250,000 | 2008 est. |
| 46 | Malaysia | 11,090,000 | 2008 est. |
| 47 | Taiwan | 10,850,000 | 2008 est. |
| 48 | Peru | 10,200,000 | 2008 est. |
| 49 | Ghana | 10,120,000 | 2008 est. |
| 50 | Mozambique | 9,650,000 | 2008 est. |
| 51 | Madagascar | 9,504,000 | 2007 |
| 52 | Algeria | 9,464,000 | 2008 est. |
