CIA - The World Factbook --  LABOR FORCE

Labor force compares the total labor force figure.

| Rank | Country | LABOR FORCE | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 801,600,000 | 2014 est. |
| 2 | India | 502,200,000 | 2014 est. |
| 3 | European Union | 230,100,000 | 2014 est. |
| 4 | United States | 156,000,000 | 2014 est. |
| 5 | Indonesia | 124,300,000 | 2014 est. |
| 6 | Brazil | 110,900,000 | 2014 est. |
| 7 | Bangladesh | 80,270,000 | 2014 est. |
| 8 | Russia | 75,250,000 | 2014 est. |
| 9 | Japan | 65,930,000 | 2014 est. |
| 10 | Pakistan | 62,420,000 | 2014 est. |
| 11 | Nigeria | 54,970,000 | 2014 est. |
| 12 | Vietnam | 54,070,000 | 2014 est. |
| 13 | Mexico | 52,900,000 | 2014 est. |
| 14 | Ethiopia | 47,320,000 | 2014 est. |
| 15 | Germany | 44,760,000 | 2014 est. |
| 16 | Philippines | 41,680,000 | 2014 est. |
| 17 | Thailand | 39,510,000 | 2014 est. |
| 18 | Burma | 35,230,000 | 2014 est. |
| 19 | United Kingdom | 32,590,000 | 2014 est. |
| 20 | France | 29,870,000 | 2014 est. |
| 21 | Iran | 28,400,000 | 2014 est. |
| 22 | Egypt | 28,260,000 | 2014 est. |
| 23 | Congo, Democratic Republic of the | 27,590,000 | 2014 est. |
| 24 | Turkey | 27,560,000 | 2014 est. |
| 25 | Korea, South | 26,430,000 | 2014 est. |
| 26 | Italy | 25,510,000 | 2014 est. |
| 27 | Tanzania | 25,000,000 | 2014 est. |
| 28 | Colombia | 23,670,000 | 2014 est. |
| 29 | Spain | 22,930,000 | 2014 est. |
| 30 | Ukraine | 22,110,000 | 2014 est. |
| 31 | South Africa | 20,230,000 | 2014 est. |
| 32 | Canada | 19,210,000 | 2014 est. |
| 33 | Poland | 18,260,000 | 2014 est. |
| 34 | Uganda | 18,000,000 | 2014 est. |
| 35 | Kenya | 17,700,000 | 2014 est. |
| 36 | Argentina | 17,310,000 | 2014 est. |
| 37 | Uzbekistan | 17,240,000 | 2014 est. |
| 38 | Peru | 16,550,000 | 2014 est. |
| 39 | Nepal | 14,760,000 | 2012 est. |
| 40 | Venezuela | 14,340,000 | 2014 est. |
| 41 | Malaysia | 14,010,000 | 2014 est. |
| 42 | Korea, North | 12,600,000 | 2012 est. |
| 43 | Australia | 12,370,000 | 2014 est. |
