CIA - The World Factbook --  Labor force   

This entry contains the total labor force figure.

| Rank | country | Labor force | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 798,500,000 | NA |
| 2 | India | 482,300,000 | 2012 est. |
| 3 | European Union | 229,900,000 | 2012 est. |
| 4 | United States | 155,000,000 | 2012 est. |
| 5 | Indonesia | 118,100,000 | 2012 est. |
| 6 | Brazil | 105,700,000 | 2012 est. |
| 7 | Bangladesh | 77,000,000 | 2012 est. |
| 8 | Russia | 75,680,000 | 2012 est. |
| 9 | Japan | 65,550,000 | 2012 est. |
| 10 | Pakistan | 59,210,000 | 2012 est. |
| 11 | Gaza Strip | 58,980,000 | 2012 est. |
| 12 | Vietnam | 52,290,000 | 2012 est. |
| 13 | Mexico | 50,640,000 | 2012 est. |
| 14 | Ethiopia | 44,020,000 | 2012 est. |
| 15 | Germany | 43,920,000 | 2012 est. |
| 16 | Philippines | 40,430,000 | 2012 est. |
| 17 | Thailand | 39,410,000 | 2012 est. |
| 18 | Congo, Democratic Republic of the | 34,120,000 | 2012 est. |
| 19 | Burma | 33,410,000 | 2012 est. |
| 20 | United Kingdom | 32,070,000 | 2012 est. |
| 21 | France | 29,780,000 | 2012 est. |
| 22 | Turkey | 27,340,000 | 2012 est. |
| 23 | Iran | 27,050,000 | 2012 est. |
| 24 | Egypt | 27,000,000 | 2012 est. |
| 25 | Italy | 25,620,000 | 2012 est. |
| 26 | Korea, South | 25,500,000 | 2012 est. |
| 27 | Tanzania | 24,820,000 | 2012 est. |
| 28 | Colombia | 23,090,000 | 2012 est. |
| 29 | Spain | 23,050,000 | 2012 est. |
| 30 | Ukraine | 22,110,000 | 2012 est. |
| 31 | Kenya | 19,110,000 | 2012 est. |
| 32 | Canada | 18,890,000 | 2012 est. |
| 33 | Poland | 18,170,000 | 2012 est. |
| 34 | South Africa | 18,060,000 | 2012 est. |
| 35 | Nepal | 18,000,000 | 2009 est. |
| 36 | Argentina | 17,050,000 | 2012 est. |
| 37 | Uganda | 16,830,000 | 2012 est. |
| 38 | Uzbekistan | 16,730,000 | 2012 est. |
| 39 | Afghanistan | 15,000,000 | 2004 est. |
| 40 | Venezuela | 13,490,000 | 2012 est. |
| 41 | Malaysia | 12,900,000 | 2012 est. |
| 42 | Korea, North | 12,200,000 | 2009 est. |
| 43 | Australia | 12,150,000 | 2012 est. |
| 44 | Sudan | 11,920,000 | 2007 est. |
| 45 | Ghana | 11,790,000 | 2012 est. |
| 46 | Morocco | 11,530,000 | 2012 est. |
| 47 | Taiwan | 11,340,000 | 2012 est. |
| 48 | Algeria | 11,050,000 | 2012 est. |
| 49 | Peru | 11,020,000 | 2012 est. |
| 50 | Mozambique | 10,290,000 | 2012 est. |
| 51 | Madagascar | 9,504,000 | 2007 |
| 52 | Romania | 9,252,000 | 2012 est. |
| 53 | Kazakhstan | 8,983,000 | 2012 est. |
| 54 | Iraq | 8,900,000 | 2010 est. |
| 55 | Angola | 8,745,000 | 2012 est. |
| 56 | Sri Lanka | 8,465,000 | 2012 est. |
| 57 | Cameroon | 8,246,000 | 2012 est. |
| 58 | Chile | 8,234,000 | 2012 est. |
| 59 | Saudi Arabia | 8,012,000 | 2012 est. |
| 60 | Cambodia | 7,900,000 | 2011 est. |
| 61 | Netherlands | 7,895,000 | 2012 est. |
| 62 | Cote d'Ivoire | 7,746,000 | 2012 est. |
| 63 | Yemen | 7,158,000 | 2012 est. |
| 64 | Burkina Faso | 6,668,000 | 2007 |
| 65 | Zambia | 6,098,000 | 2012 est. |
| 66 | Senegal | 5,910,000 | 2012 est. |
| 67 | Malawi | 5,747,000 | 2007 est. |
| 68 | Nigeria | 5,500,000 | 2012 est. |
| 69 | Portugal | 5,495,000 | 2012 est. |
| 70 | Czech Republic | 5,404,000 | 2012 est. |
| 71 | Syria | 5,327,000 | 2012 est. |
| 72 | Guinea | 5,240,000 | 2012 est. |
| 73 | Cuba | 5,227,000 | 2012 est. |
| 74 | Belgium | 5,190,000 | 2012 est. |
| 75 | Sweden | 5,058,000 | 2012 est. |
| 76 | Belarus | 5,000,000 | 2009 |
| 77 | Switzerland | 4,954,000 | 2012 est. |
| 78 | Greece | 4,950,000 | 2012 est. |
| 79 | Haiti | 4,810,000 | 2010 est. |
| 80 | Dominican Republic | 4,806,000 | 2012 est. |
| 81 | Ecuador | 4,769,000 | 2012 est. |
| 82 | Bolivia | 4,724,000 | 2012 est. |
| 83 | Azerbaijan | 4,696,000 | 2012 est. |
| 84 | Niger | 4,688,000 | 2007 |
| 85 | Rwanda | 4,446,000 | 2007 |
| 86 | Guatemala | 4,356,000 | 2012 est. |
| 87 | United Arab Emirates | 4,337,000 | 2012 est. |
| 88 | Chad | 4,293,000 | 2007 |
| 89 | Hungary | 4,257,000 | 2012 est. |
| 90 | Burundi | 4,245,000 | 2007 |
| 91 | Papua New Guinea | 3,986,000 | 2012 est. |
| 92 | Zimbabwe | 3,931,000 | 2012 est. |
| 93 | Tunisia | 3,914,000 | 2012 est. |
| 94 | Hong Kong | 3,792,000 | 2012 est. |
| 95 | Austria | 3,737,000 | 2012 |
| 96 | Benin | 3,662,000 | 2007 est. |
| 97 | Israel | 3,606,000 | 2012 est. |
| 98 | Somalia | 3,447,000 | 2007 |
| 99 | Honduras | 3,437,000 | 2012 est. |
| 100 | Singapore | 3,362,000 | 2012 est. |
| 101 | Laos | 3,308,000 | 2012 est. |
| 102 | Mali | 3,241,000 | 2007 est. |
| 103 | Serbia | 3,170,000 | 2012 est. |
| 104 | Paraguay | 3,137,000 | 2012 est. |
| 105 | Nicaragua | 2,961,000 | 2012 est. |
| 106 | Congo, Republic of the | 2,890,000 | 2011 est. |
| 107 | Denmark | 2,784,000 | 2012 est. |
| 108 | El Salvador | 2,725,000 | 2012 est. |
| 109 | Slovakia | 2,724,000 | 2012 est. |
| 110 | Finland | 2,690,000 | 2012 est. |
| 111 | Norway | 2,678,000 | 2012 est. |
| 112 | Togo | 2,595,000 | 2007 |
| 113 | Bulgaria | 2,585,000 | 2012 est. |
| 114 | New Zealand | 2,381,000 | 2012 est. |
| 115 | Kyrgyzstan | 2,344,000 | 2007 |
| 116 | Kuwait | 2,304,000 | 2012 est. |
| 117 | Turkmenistan | 2,300,000 | 2008 est. |
| 118 | Sierra Leone | 2,207,000 | 2007 est. |
| 119 | Costa Rica | 2,182,000 | 2012 est. |
| 120 | Ireland | 2,154,000 | 2012 est. |
| 121 | Tajikistan | 2,100,000 | 2012 |
| 122 | Central African Republic | 2,082,000 | 2011 est. |
| 123 | Georgia | 1,959,000 | 2011 est. |
| 124 | Eritrea | 1,935,000 | 2007 |
| 125 | Jordan | 1,835,000 | 2012 est. |
| 126 | Croatia | 1,702,000 | 2012 est. |
| 127 | Uruguay | 1,691,000 | 2012 est. |
| 128 | Panama | 1,517,000 | 2012 est. |
| 129 | Bosnia and Herzegovina | 1,490,000 | 2012 est. |
| 130 | Lebanon | 1,481,000 | 2007 est. |
| 131 | Lithuania | 1,474,000 | 2012 est. |
| 132 | Armenia | 1,386,000 | 2012 est. |
| 133 | Liberia | 1,372,000 | 2007 |
| 134 | Libya | 1,353,000 | 2012 est. |
| 135 | Qatar | 1,339,000 | 2012 est. |
| 136 | Mauritania | 1,318,000 | 2007 |
| 137 | Botswana | 1,288,000 | 2012 est. |
| 138 | Puerto Rico | 1,286,000 | March 2012 |
| 139 | Jamaica | 1,260,000 | 2012 est. |
| 140 | Moldova | 1,215,000 | 2012 est. |
| 141 | Albania | 1,098,000 | 2012 est. |
| 142 | Mongolia | 1,037,000 | 2011 est. |
| 143 | Latvia | 1,031,000 | 2012 est. |
