CIA - The World Factbook --  Labor force   

This entry contains the total labor force figure.

| Rank | country | Labor force | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 815,300,000 | 2010 est. |
| 2 | India | 478,300,000 | 2010 est. |
| 3 | European Union | 227,500,000 | 2010 est. |
| 4 | United States | 153,900,000 | 2010 est. |
| 5 | Indonesia | 116,500,000 | 2010 est. |
| 6 | Brazil | 102,200,000 | 2010 est. |
| 7 | Russia | 75,490,000 | 2010 est. |
| 8 | Bangladesh | 73,860,000 | 2010 est. |
| 9 | Japan | 62,970,000 | 2010 est. |
| 10 | Pakistan | 55,770,000 | 2010 est. |
| 11 | Nigeria | 50,480,000 | 2010 est. |
| 12 | Vietnam | 47,370,000 | 2010 est. |
| 13 | Mexico | 46,990,000 | 2010 est. |
| 14 | Germany | 43,490,000 | 2010 est. |
| 15 | Philippines | 38,900,000 | 2010 est. |
| 16 | Thailand | 38,640,000 | 2010 est. |
| 17 | Ethiopia | 37,900,000 | 2007 |
| 18 | Congo, Democratic Republic of the | 33,680,000 | 2010 est. |
| 19 | Burma | 31,680,000 | 2010 est. |
| 20 | United Kingdom | 31,520,000 | 2010 est. |
| 21 | France | 29,320,000 | 2010 est. |
| 22 | Egypt | 26,200,000 | 2010 est. |
| 23 | Iran | 25,700,000 | 2010 est. |
| 24 | Turkey | 25,640,000 | 2010 est. |
| 25 | Italy | 24,990,000 | 2010 est. |
| 26 | Korea, South | 24,750,000 | 2010 est. |
| 27 | Tanzania | 23,390,000 | 2010 est. |
| 28 | Spain | 23,090,000 | 2010 est. |
| 29 | Ukraine | 22,020,000 | 2010 est. |
| 30 | Colombia | 21,780,000 | 2010 est. |
| 31 | Canada | 18,530,000 | 2010 est. |
| 32 | Nepal | 18,000,000 | 2009 est. |
| 33 | Kenya | 17,900,000 | 2010 est. |
| 34 | Poland | 17,660,000 | 2010 est. |
| 35 | South Africa | 17,390,000 | 2010 est. |
| 36 | Argentina | 16,540,000 | 2010 est. |
| 37 | Uzbekistan | 16,000,000 | 2010 est. |
| 38 | Uganda | 15,510,000 | 2010 est. |
| 39 | Afghanistan | 15,000,000 | 2004 est. |
| 40 | Venezuela | 13,110,000 | 2010 est. |
| 41 | Korea, North | 12,200,000 | 2009 est. |
| 42 | Sudan | 11,920,000 | 2007 est. |
| 43 | Australia | 11,870,000 | 2010 est. |
| 44 | Malaysia | 11,630,000 | 2010 est. |
| 45 | Morocco | 11,440,000 | 2010 est. |
| 46 | Taiwan | 11,070,000 | 2010 est. |
| 47 | Algeria | 10,810,000 | 2010 est. |
| 48 | Peru | 10,580,000 | 2010 est. |
| 49 | Ghana | 10,560,000 | 2010 est. |
| 50 | Mozambique | 9,871,000 | 2010 est. |
| 51 | Madagascar | 9,504,000 | 2007 |
| 52 | Romania | 9,258,000 | 2010 est. |
| 53 | Cambodia | 8,800,000 | 2010 est. |
| 54 | Kazakhstan | 8,611,000 | 2010 est. |
| 55 | Iraq | 8,500,000 | 2009 est. |
| 56 | Sri Lanka | 8,074,000 | 2010 est. |
| 57 | Angola | 8,014,000 | 2010 est. |
| 58 | Chile | 7,918,000 | 2010 est. |
| 59 | Cameroon | 7,836,000 | 2010 est. |
| 60 | Netherlands | 7,816,000 | 2010 est. |
| 61 | Saudi Arabia | 7,337,000 | 2010 est. |
| 62 | Yemen | 6,832,000 | 2010 est. |
| 63 | Burkina Faso | 6,668,000 | 2007 |
| 64 | Azerbaijan | 5,933,000 | 2010 est. |
| 65 | Malawi | 5,747,000 | 2007 est. |
| 66 | Portugal | 5,581,000 | 2010 est. |
| 67 | Senegal | 5,532,000 | 2010 est. |
| 68 | Syria | 5,529,000 | 2010 est. |
| 69 | Zambia | 5,460,000 | 2010 est. |
| 70 | Czech Republic | 5,415,000 | 2010 est. |
