CIA - The World Factbook --  Waterways   

This entry gives the total length of navigable rivers, canals, and other inland bodies of water.

| Rank | country | (km) | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 110,000 | 2011 |
| 2 | Russia | 102,000 | 2009 |
| 3 | Brazil | 50,000 | 2012 |
| 4 | Vietnam | 47,130 | 2011 |
| 5 | United States | 41,009 | 2012 |
| 6 | Colombia | 24,725 | 2012 |
| 7 | Indonesia | 21,579 | 2011 |
| 8 | Congo, Democratic Republic of the | 15,000 | 2011 |
| 9 | India | 14,500 | 2012 |
| 10 | Burma | 12,800 | 2011 |
| 11 | Argentina | 11,000 | 2012 |
| 12 | Papua New Guinea | 11,000 | 2011 |
| 13 | Bolivia | 10,000 | 2012 |
| 14 | Peru | 8,808 | 2011 |
| 15 | Nigeria | 8,600 | 2011 |
| 16 | France | 8,501 | 2010 |
| 17 | Bangladesh | 8,370 | 2011 |
| 18 | Finland | 8,000 | 2013 |
| 19 | Germany | 7,467 | 2012 |
| 20 | Malaysia | 7,200 | 2011 |
| 21 | Venezuela | 7,100 | 2011 |
| 22 | Netherlands | 6,237 | 2012 |
| 23 | Iraq | 5,279 | 2012 |
| 24 | Laos | 4,600 | 2012 |
| 25 | Sudan | 4,068 | 2011 |
| 26 | Thailand | 4,000 | 2011 |
| 27 | Kazakhstan | 4,000 | 2010 |
| 28 | Poland | 3,997 | 2009 |
| 29 | Cambodia | 3,700 | 2012 |
| 30 | Egypt | 3,500 | 2011 |
| 31 | Philippines | 3,219 | 2011 |
| 32 | United Kingdom | 3,200 | 2009 |
| 33 | Paraguay | 3,100 | 2012 |
| 34 | Mexico | 2,900 | 2012 |
| 35 | Central African Republic | 2,800 | 2011 |
| 36 | Belarus | 2,500 | 2011 |
| 37 | Italy | 2,400 | 2012 |
| 38 | Korea, North | 2,250 | 2011 |
| 39 | Zambia | 2,250 | 2010 |
| 40 | Nicaragua | 2,220 | 2011 |
| 41 | Sweden | 2,052 | 2010 |
| 42 | Belgium | 2,043 | 2012 |
| 43 | Australia | 2,000 | 2011 |
| 44 | Mali | 1,800 | 2011 |
| 45 | Japan | 1,770 | 2010 |
| 46 | Romania | 1,731 | 2010 |
| 47 | Ukraine | 1,672 | 2012 |
| 48 | Hungary | 1,622 | 2011 |
| 49 | Gabon | 1,600 | 2010 |
| 50 | Uruguay | 1,600 | 2011 |
| 51 | Korea, South | 1,600 | 2011 |
| 52 | Norway | 1,577 | 2010 |
| 53 | Ecuador | 1,500 | 2012 |
| 54 | Angola | 1,300 | 2011 |
| 55 | Guinea | 1,300 | 2011 |
| 56 | Turkmenistan | 1,300 | 2011 |
| 57 | Ghana | 1,293 | 2011 |
| 58 | Switzerland | 1,292 | 2010 |
| 59 | Afghanistan | 1,200 | 2011 |
| 60 | Turkey | 1,200 | 2010 |
| 61 | Suriname | 1,200 | 2011 |
| 62 | Congo, Republic of the | 1,120 | 2011 |
| 63 | Uzbekistan | 1,100 | 2012 |
| 64 | Senegal | 1,000 | 2012 |
| 65 | Spain | 1,000 | 2012 |
| 66 | Guatemala | 990 | 2012 |
| 67 | Cote d'Ivoire | 980 | 2011 |
| 68 | Ireland | 956 | 2010 |
| 69 | Syria | 900 | 2011 |
| 70 | Iran | 850 | 2012 |
| 71 | Belize | 825 | 2011 |
| 72 | Sierra Leone | 800 | 2011 |
| 73 | Panama | 800 | 2011 |
| 74 | Croatia | 785 | 2009 |
| 75 | Costa Rica | 730 | 2011 |
| 76 | Malawi | 700 | 2010 |
| 77 | Czech Republic | 664 | 2010 |
| 78 | Canada | 636 | 2011 |
| 79 | Kyrgyzstan | 600 | 2010 |
| 80 | Madagascar | 600 | 2011 |
| 81 | Serbia | 587 | 2009 |
| 82 | Mongolia | 580 | 2010 |
| 83 | Moldova | 558 | 2011 |
| 84 | Bulgaria | 470 | 2009 |
| 85 | Honduras | 465 | 2012 |
| 86 | Mozambique | 460 | 2010 |
| 87 | Lithuania | 441 | 2007 |
| 88 | Denmark | 400 | 2010 |
| 89 | Gambia, The | 390 | 2010 |
| 90 | Austria | 358 | 2011 |
| 91 | Estonia | 335 | 2011 |
| 92 | Guyana | 330 | 2012 |
| 93 | Latvia | 300 | 2010 |
| 94 | Niger | 300 | 2012 |
| 95 | Cuba | 240 | 2011 |
| 96 | Portugal | 210 | 2011 |
| 97 | Brunei | 209 | 2012 |
| 98 | Fiji | 203 | 2012 |
| 99 | Tajikistan | 200 | 2011 |
| 100 | Slovakia | 172 | 2012 |
| 101 | Sri Lanka | 160 | 2012 |
| 102 | Benin | 150 | 2011 |
| 103 | Togo | 50 | 2011 |
| 104 | Albania | 41 | 2011 |
| 105 | Luxembourg | 37 | 2010 |
| 106 | Liechtenstein | 28 | 2010 |
| 107 | Greece | 6 | 2012 |
| 108 | Kiribati | 5 | 2012 |


