CIA - The World Factbook --  LIFE EXPECTANCY AT BIRTH

Life expectancy at birth compares the average number of years to be lived by a group of people born in the same year, if mortality at each age remains constant in the future. Life expectancy at birth is also a measure of overall quality of life in a country and summarizes the mortality at all ages.

| Rank | Country | (YEARS) | Date of Information |
| 52 | Chile | 78.44 | 2014 est. |
| 53 | Qatar | 78.38 | 2014 est. |
| 54 | Cyprus | 78.34 | 2014 est. |
| 55 | Czech Republic | 78.31 | 2014 est. |
| 56 | Panama | 78.30 | 2014 est. |
| 57 | British Virgin Islands | 78.29 | 2014 est. |
| 58 | Costa Rica | 78.23 | 2014 est. |
| 59 | Cuba | 78.22 | 2014 est. |
| 60 | Curacao | 77.98 | 2014 est. |
| 61 | Albania | 77.96 | 2014 est. |
| 62 | Slovenia | 77.83 | 2014 est. |
| 63 | Dominican Republic | 77.80 | 2014 est. |
| 64 | Kuwait | 77.64 | 2014 est. |
| 65 | Northern Mariana Islands | 77.64 | 2014 est. |
| 66 | Sint Maarten | 77.61 | 2013 est. |
| 67 | Argentina | 77.51 | 2014 est. |
| 68 | Saint Lucia | 77.41 | 2014 est. |
| 69 | New Caledonia | 77.31 | 2014 est. |
| 70 | Lebanon | 77.22 | 2014 est. |
| 71 | United Arab Emirates | 77.09 | 2014 est. |
| 72 | Uruguay | 76.81 | 2014 est. |
| 73 | Paraguay | 76.80 | 2014 est. |
| 74 | French Polynesia | 76.79 | 2014 est. |
| 75 | Brunei | 76.77 | 2014 est. |
| 76 | Slovakia | 76.69 | 2014 est. |
| 77 | Poland | 76.65 | 2014 est. |
| 78 | Dominica | 76.59 | 2014 est. |
| 79 | Morocco | 76.51 | 2014 est. |
| 80 | Croatia | 76.41 | 2014 est. |
| 81 | Algeria | 76.39 | 2014 est. |
| 82 | Ecuador | 76.36 | 2014 est. |
| 83 | Aruba | 76.35 | 2014 est. |
| 84 | Sri Lanka | 76.35 | 2014 est. |
| 85 | Bosnia and Herzegovina | 76.33 | 2014 est. |
| 86 | Antigua and Barbuda | 76.12 | 2014 est. |
| 87 | Libya | 76.04 | 2014 est. |
| 88 | Lithuania | 75.98 | 2014 est. |
| 89 | Tonga | 75.82 | 2014 est. |
| 90 | Macedonia | 75.80 | 2014 est. |
| 91 | Georgia | 75.72 | 2014 est. |
| 92 | West Bank | 75.69 | 2014 est. |
| 93 | Tunisia | 75.68 | 2014 est. |
| 94 | Hungary | 75.46 | 2014 est. |
| 95 | Mexico | 75.43 | 2014 est. |
| 96 | Cook Islands | 75.38 | 2014 est. |
| 97 | Saint Kitts and Nevis | 75.29 | 2014 est. |
| 98 | Colombia | 75.25 | 2014 est. |
| 99 | Mauritius | 75.17 | 2014 est. |
| 100 | Maldives | 75.15 | 2014 est. |
| 101 | China | 75.15 | 2014 est. |
| 102 | Serbia | 75.02 | 2014 est. |
| 103 | Barbados | 74.99 | 2014 est. |
| 104 | Oman | 74.97 | 2014 est. |
| 105 | American Samoa | 74.91 | 2014 est. |
| 106 | Solomon Islands | 74.89 | 2014 est. |
| 107 | Saint Vincent and the Grenadines | 74.86 | 2014 est. |
| 108 | Saudi Arabia | 74.82 | 2014 est. |
| 109 | Romania | 74.69 | 2014 est. |
| 110 | Gaza Strip | 74.64 | 2014 est. |
| 111 | Malaysia | 74.52 | 2014 est. |
| 112 | Venezuela | 74.39 | 2014 est. |
| 113 | Bulgaria | 74.33 | 2014 est. |
| 114 | Seychelles | 74.25 | 2014 est. |
| 115 | El Salvador | 74.18 | 2014 est. |
| 116 | Thailand | 74.18 | 2014 est. |
| 117 | Armenia | 74.12 | 2014 est. |
| 118 | Jordan | 74.10 | 2014 est. |
| 119 | Estonia | 74.07 | 2014 est. |
| 120 | Montserrat | 73.90 | 2014 est. |
| 121 | Grenada | 73.80 | 2014 est. |
| 122 | Jamaica | 73.48 | 2014 est. |
| 123 | Egypt | 73.45 | 2014 est. |
| 124 | Latvia | 73.44 | 2014 est. |
| 125 | Uzbekistan | 73.29 | 2014 est. |
| 126 | Turkey | 73.29 | 2014 est. |
| 127 | Brazil | 73.28 | 2014 est. |
| 128 | Peru | 73.23 | 2014 est. |
| 129 | Samoa | 73.21 | 2014 est. |
| 130 | Vietnam | 72.91 | 2014 est. |
| 131 | Nicaragua | 72.72 | 2014 est. |
| 132 | Vanuatu | 72.72 | 2014 est. |
| 133 | Palau | 72.60 | 2014 est. |
| 134 | Marshall Islands | 72.58 | 2014 est. |
| 135 | Philippines | 72.48 | 2014 est. |
| 136 | Micronesia, Federated States of | 72.35 | 2014 est. |
| 137 | Trinidad and Tobago | 72.29 | 2014 est. |
| 138 | Indonesia | 72.17 | 2014 est. |
| 139 | Belarus | 72.15 | 2014 est. |
| 140 | Fiji | 72.15 | 2014 est. |
| 141 | Bahamas, The | 71.93 | 2014 est. |
| 142 | Azerbaijan | 71.91 | 2014 est. |
| 143 | Greenland | 71.82 | 2014 est. |
| 144 | Guatemala | 71.74 | 2014 est. |
| 145 | Suriname | 71.69 | 2014 est. |
| 146 | Cabo Verde | 71.57 | 2014 est. |
| 147 | Iraq | 71.42 | 2014 est. |
| 148 | Honduras | 70.91 | 2014 est. |
| 149 | Iran | 70.89 | 2014 est. |
| 150 | Bangladesh | 70.65 | 2014 est. |
| 151 | Kazakhstan | 70.24 | 2014 est. |
| 152 | Russia | 70.16 | 2014 est. |
| 153 | Moldova | 70.12 | 2014 est. |
| 154 | Kyrgyzstan | 70.06 | 2014 est. |
| 155 | Korea, North | 69.81 | 2014 est. |
| 156 | Turkmenistan | 69.47 | 2014 est. |
| 157 | Ukraine | 69.14 | 2014 est. |
| 158 | Mongolia | 68.98 | 2014 est. |
| 159 | Bhutan | 68.98 | 2014 est. |
| 160 | Bolivia | 68.55 | 2014 est. |
| 161 | Belize | 68.49 | 2014 est. |
| 162 | Syria | 68.41 | 2014 est. |
| 163 | Guyana | 67.81 | 2014 est. |
| 164 | India | 67.80 | 2014 est. |
| 165 | Timor-Leste | 67.39 | 2014 est. |
| 166 | Nepal | 67.19 | 2014 est. |
| 167 | Tajikistan | 67.06 | 2014 est. |
| 168 | Pakistan | 67.05 | 2014 est. |
| 169 | Papua New Guinea | 66.85 | 2014 est. |
| 170 | Nauru | 66.40 | 2014 est. |
| 171 | Burma | 65.94 | 2014 est. |
| 172 | Tuvalu | 65.81 | 2014 est. |
| 173 | Ghana | 65.75 | 2014 est. |
| 174 | Kiribati | 65.47 | 2014 est. |
| 175 | Madagascar | 65.20 | 2014 est. |
| 176 | Yemen | 64.83 | 2014 est. |
| 177 | Gambia, The | 64.36 | 2014 est. |
| 178 | Sao Tome and Principe | 64.22 | 2014 est. |
| 179 | Togo | 64.06 | 2014 est. |
| 180 | Cambodia | 63.78 | 2014 est. |
| 181 | Kenya | 63.52 | 2014 est. |
| 182 | Eritrea | 63.51 | 2014 est. |
| 183 | Laos | 63.51 | 2014 est. |
| 184 | Equatorial Guinea | 63.49 | 2014 est. |
| 185 | Comoros | 63.48 | 2014 est. |
| 186 | Sudan | 63.32 | 2014 est. |
| 187 | Haiti | 63.18 | 2014 est. |
| 188 | Djibouti | 62.40 | 2014 est. |
| 189 | Mauritania | 62.28 | 2014 est. |
| 190 | Western Sahara | 62.27 | 2014 est. |
| 191 | Tanzania | 61.24 | 2014 est. |
| 192 | Benin | 61.07 | 2014 est. |
| 193 | Senegal | 60.95 | 2014 est. |
| 194 | Ethiopia | 60.75 | 2014 est. |
| 195 | Malawi | 59.99 | 2014 est. |
| 196 | Guinea | 59.60 | 2014 est. |
| 197 | Burundi | 59.55 | 2014 est. |
| 198 | Rwanda | 59.26 | 2014 est. |
| 199 | Congo, Republic of the | 58.52 | 2014 est. |
| 200 | Liberia | 58.21 | 2014 est. |
| 201 | Cote d'Ivoire | 58.01 | 2014 est. |
| 202 | Sierra Leone | 57.39 | 2014 est. |
| 203 | Cameroon | 57.35 | 2014 est. |
| 204 | Congo, Democratic Republic of the | 56.54 | 2014 est. |
| 205 | Zimbabwe | 55.68 | 2014 est. |
| 206 | Angola | 55.29 | 2014 est. |
| 207 | Mali | 54.95 | 2014 est. |
| 208 | Burkina Faso | 54.78 | 2014 est. |
| 209 | Niger | 54.74 | 2014 est. |
| 210 | Uganda | 54.46 | 2014 est. |
| 211 | Botswana | 54.06 | 2014 est. |
| 212 | Lesotho | 52.65 | 2014 est. |
| 213 | Nigeria | 52.62 | 2014 est. |
| 214 | Mozambique | 52.60 | 2014 est. |
| 215 | Gabon | 52.06 | 2014 est. |
| 216 | Namibia | 51.85 | 2014 est. |
| 217 | Zambia | 51.83 | 2014 est. |
| 218 | Somalia | 51.58 | 2014 est. |
| 219 | Central African Republic | 51.35 | 2014 est. |
| 220 | Swaziland | 50.54 | 2014 est. |
| 221 | Afghanistan | 50.49 | 2014 est. |
| 222 | Guinea-Bissau | 49.87 | 2014 est. |
| 223 | South Africa | 49.56 | 2014 est. |
| 224 | Chad | 49.44 | 2014 est. |


