CIA - The World Factbook --  Life expectancy at birth   

This entry contains the average number of years to be lived by a group of people born in the same year, if mortality at each age remains constant in the future. The entry includes total population as well as the male and female components. Life expectancy at birth is also a measure of overall quality of life in a country and summarizes the mortality at all ages. It can also be thought of as indicating the potential return on investment in human capital and is necessary for the calculation of various actuarial measures.

| Rank | country | (years) | Date of Information |
| --- | --- | --- | --- |
| 1 | Macau | 84.36 | 2009 est. |
| 2 | Andorra | 82.51 | 2009 est. |
| 3 | Japan | 82.12 | 2009 est. |
| 4 | Singapore | 81.98 | 2009 est. |
| 5 | San Marino | 81.97 | 2009 est. |
| 6 | Hong Kong | 81.86 | 2009 est. |
| 7 | Australia | 81.63 | 2009 est. |
| 8 | Canada | 81.23 | 2009 est. |
| 9 | France | 80.98 | 2009 est. |
| 10 | Sweden | 80.86 | 2009 est. |
| 11 | Switzerland | 80.85 | 2009 est. |
| 12 | Guernsey | 80.77 | 2009 est. |
| 13 | Israel | 80.73 | 2009 est. |
| 14 | Iceland | 80.67 | 2009 est. |
| 15 | Anguilla | 80.65 | 2009 est. |
| 16 | Cayman Islands | 80.44 | 2009 est. |
| 17 | Bermuda | 80.43 | 2009 est. |
| 18 | New Zealand | 80.36 | 2009 est. |
| 19 | Italy | 80.20 | 2009 est. |
| 20 | Gibraltar | 80.19 | 2009 est. |
| 21 | Monaco | 80.09 | 2009 est. |
| 22 | Liechtenstein | 80.06 | 2009 est. |
| 23 | Spain | 80.05 | 2009 est. |
| 24 | Norway | 79.95 | 2009 est. |
| 25 | Jersey | 79.75 | 2009 est. |
| 26 | Greece | 79.66 | 2009 est. |
| 27 | Austria | 79.50 | 2009 est. |
| 28 | Faroe Islands | 79.44 | 2009 est. |
| 29 | Malta | 79.44 | 2009 est. |
| 30 | Netherlands | 79.40 | 2009 est. |
| 31 | Luxembourg | 79.33 | 2009 est. |
| 32 | Germany | 79.26 | 2009 est. |
| 33 | Belgium | 79.22 | 2009 est. |
| 34 | Saint Pierre and Miquelon | 79.07 | 2009 est. |
| 35 | Virgin Islands | 79.05 | 2009 est. |
| 36 | United Kingdom | 79.01 | 2009 est. |
| 37 | Finland | 78.97 | 2009 est. |
| 38 | Jordan | 78.87 | 2009 est. |
| 39 | Isle of Man | 78.82 | 2009 est. |
| 40 | Korea, South | 78.72 | 2009 est. |
| 41 | European Union | 78.67 | 2009 est. |
| 42 | Puerto Rico | 78.53 | 2009 est. |
| 43 | Bosnia and Herzegovina | 78.50 | 2009 est. |
| 44 | Saint Helena | 78.44 | 2009 est. |
| 45 | Cyprus | 78.33 | 2009 est. |
| 46 | Denmark | 78.30 | 2009 est. |
| 47 | Ireland | 78.24 | 2009 est. |
| 48 | Portugal | 78.21 | 2009 est. |
| 49 | Wallis and Futuna | 78.20 | 2009 est. |
| 50 | United States | 78.11 | 2009 est. |
| 51 | Albania | 77.96 | 2009 est. |
