CIA - The World Factbook --  LIFE EXPECTANCY AT BIRTH

Life expectancy at birth compares the average number of years to be lived by a group of people born in the same year, if mortality at each age remains constant in the future. Life expectancy at birth is also a measure of overall quality of life in a country and summarizes the mortality at all ages.

| Rank | Country | (YEARS) | Date of Information |
| --- | --- | --- | --- |
| 1 | Monaco | 89.40 | 2017 est. |
| 2 | Japan | 85.30 | 2017 est. |
| 3 | Singapore | 85.20 | 2017 est. |
| 4 | Macau | 84.60 | 2017 est. |
| 5 | San Marino | 83.30 | 2017 est. |
| 6 | Iceland | 83.10 | 2017 est. |
| 7 | Hong Kong | 83.00 | 2017 est. |
| 8 | Andorra | 82.90 | 2017 est. |
| 9 | Guernsey | 82.60 | 2017 est. |
| 10 | Switzerland | 82.60 | 2017 est. |
| 11 | Korea, South | 82.50 | 2017 est. |
| 12 | Israel | 82.50 | 2017 est. |
| 13 | Luxembourg | 82.30 | 2017 est. |
| 14 | Australia | 82.30 | 2017 est. |
| 15 | Italy | 82.30 | 2017 est. |
| 16 | Sweden | 82.10 | 2017 est. |
| 17 | France | 81.90 | 2017 est. |
| 18 | Norway | 81.90 | 2017 est. |
| 19 | Liechtenstein | 81.90 | 2017 est. |
| 20 | Jersey | 81.90 | 2017 est. |
| 21 | Canada | 81.90 | 2017 est. |
| 22 | Spain | 81.80 | 2017 est. |
| 23 | Austria | 81.60 | 2017 est. |
| 24 | Anguilla | 81.50 | 2017 est. |
| 25 | Netherlands | 81.40 | 2017 est. |
| 26 | Bermuda | 81.40 | 2017 est. |
| 27 | New Zealand | 81.30 | 2017 est. |
| 28 | Cayman Islands | 81.30 | 2017 est. |
| 29 | Isle of Man | 81.30 | 2017 est. |
| 30 | Belgium | 81.10 | 2017 est. |
| 31 | Finland | 81.00 | 2017 est. |
| 32 | Puerto Rico | 80.90 | 2017 est. |
| 33 | Ireland | 80.90 | 2017 est. |
| 34 | Germany | 80.80 | 2017 est. |
| 35 | United Kingdom | 80.80 | 2017 est. |
| 36 | Greece | 80.70 | 2017 est. |
| 37 | Saint Pierre and Miquelon | 80.60 | 2017 est. |
| 38 | Faroe Islands | 80.50 | 2017 est. |
| 39 | Malta | 80.50 | 2017 est. |
| 40 | Taiwan | 80.20 | 2017 est. |
| 41 | European Union | 80.20 | 2017 est. |
| 42 | Turks and Caicos Islands | 80.00 | 2017 est. |
| 43 | United States | 80.00 | 2017 est. |
| 44 | Wallis and Futuna | 79.80 | 2017 est. |
| 45 | Saint Helena, Ascension, and Tristan da Cunha | 79.60 | 2017 est. |
| 46 | Gibraltar | 79.60 | 2017 est. |
| 47 | Denmark | 79.50 | 2017 est. |
| 48 | Portugal | 79.40 | 2017 est. |
| 49 | Virgin Islands | 79.40 | 2017 est. |
| 50 | Bahrain | 79.00 | 2017 est. |
| 51 | Chile | 78.90 | 2017 est. |
| 52 | Qatar | 78.90 | 2017 est. |
| 53 | British Virgin Islands | 78.80 | 2017 est. |
| 54 | Cyprus | 78.80 | 2017 est. |
| 55 | Panama | 78.80 | 2017 est. |
| 56 | Czechia | 78.80 | 2017 est. |
| 57 | Cuba | 78.80 | 2017 est. |
| 58 | Costa Rica | 78.70 | 2017 est. |
| 59 | Albania | 78.50 | 2017 est. |
| 60 | Curacao | 78.50 | 2017 est. |
| 61 | Dominican Republic | 78.30 | 2017 est. |
| 62 | Slovenia | 78.30 | 2017 est. |
| 63 | Sint Maarten | 78.30 | 2017 est. |
| 64 | Kuwait | 78.20 | 2017 est. |
| 65 | New Caledonia | 77.90 | 2017 est. |
| 66 | Saint Lucia | 77.90 | 2017 est. |
| 67 | Poland | 77.80 | 2017 est. |
| 68 | Lebanon | 77.80 | 2017 est. |
| 69 | United Arab Emirates | 77.70 | 2017 est. |
| 70 | Uruguay | 77.40 | 2017 est. |
| 71 | French Polynesia | 77.40 | 2017 est. |
| 72 | Paraguay | 77.40 | 2017 est. |
| 73 | Brunei | 77.30 | 2017 est. |
| 74 | Argentina | 77.30 | 2017 est. |
| 75 | Slovakia | 77.30 | 2017 est. |
| 76 | Dominica | 77.20 | 2017 est. |
| 77 | Morocco | 77.10 | 2017 est. |
| 78 | Algeria | 77.00 | 2017 est. |
| 79 | Ecuador | 77.00 | 2017 est. |
| 80 | Aruba | 76.90 | 2017 est. |
| 81 | Bosnia and Herzegovina | 76.90 | 2017 est. |
| 82 | Sri Lanka | 76.90 | 2017 est. |
| 83 | Estonia | 76.90 | 2017 est. |
| 84 | Antigua and Barbuda | 76.70 | 2017 est. |
| 85 | Libya | 76.70 | 2017 est. |
| 86 | Georgia | 76.40 | 2017 est. |
| 87 | Tonga | 76.40 | 2017 est. |
| 88 | Macedonia | 76.40 | 2017 est. |
| 89 | Croatia | 76.10 | 2017 est. |
| 90 | Mexico | 76.10 | 2017 est. |
| 91 | Hungary | 76.10 | 2017 est. |
| 92 | Venezuela | 76.00 | 2017 est. |
| 93 | Cook Islands | 76.00 | 2017 est. |
| 94 | Guam | 76.00 | 2017 est. |
| 95 | Saint Kitts and Nevis | 75.90 | 2017 est. |
| 96 | Colombia | 75.90 | 2017 est. |
| 97 | Maldives | 75.80 | 2017 est. |
| 98 | Mauritius | 75.80 | 2017 est. |
| 99 | Oman | 75.70 | 2017 est. |
| 100 | Serbia | 75.70 | 2017 est. |
| 101 | Tunisia | 75.70 | 2017 est. |
| 102 | China | 75.70 | 2017 est. |
| 103 | Solomon Islands | 75.60 | 2017 est. |
| 104 | Saint Vincent and the Grenadines | 75.50 | 2017 est. |
| 105 | Saudi Arabia | 75.50 | 2017 est. |
| 106 | Barbados | 75.50 | 2017 est. |
| 107 | Northern Mariana Islands | 75.40 | 2017 est. |
| 108 | Romania | 75.40 | 2017 est. |
| 109 | Malaysia | 75.20 | 2017 est. |
| 110 | West Bank | 75.20 | 2017 est. |
| 111 | Syria | 75.10 | 2017 est. |
| 112 | Lithuania | 75.00 | 2017 est. |
| 113 | Turkey | 75.00 | 2017 est. |
| 114 | Armenia | 74.90 | 2017 est. |
| 115 | El Salvador | 74.90 | 2017 est. |
| 116 | Thailand | 74.90 | 2017 est. |
| 117 | Iraq | 74.90 | 2017 est. |
| 118 | Seychelles | 74.90 | 2017 est. |
| 119 | Jordan | 74.80 | 2017 est. |
| 120 | Bulgaria | 74.70 | 2017 est. |
| 121 | Latvia | 74.70 | 2017 est. |
| 122 | Montserrat | 74.60 | 2017 est. |
| 123 | Grenada | 74.50 | 2017 est. |
| 124 | Gaza Strip | 74.20 | 2017 est. |
| 125 | Samoa | 74.00 | 2017 est. |
| 126 | Peru | 74.00 | 2017 est. |
| 127 | Uzbekistan | 74.00 | 2017 est. |
| 128 | Brazil | 74.00 | 2017 est. |
| 129 | Iran | 74.00 | 2017 est. |
| 130 | Jamaica | 73.70 | 2017 est. |
| 131 | Vanuatu | 73.70 | 2017 est. |
| 132 | Vietnam | 73.70 | 2017 est. |
| 133 | Nicaragua | 73.50 | 2017 est. |
| 134 | American Samoa | 73.40 | 2017 est. |
| 135 | Palau | 73.40 | 2017 est. |
| 136 | Bangladesh | 73.40 | 2017 est. |
| 137 | Marshall Islands | 73.40 | 2017 est. |
| 138 | Trinidad and Tobago | 73.10 | 2017 est. |
| 139 | Micronesia, Federated States of | 73.10 | 2017 est. |
| 140 | Fiji | 73.00 | 2017 est. |
| 141 | Belarus | 73.00 | 2017 est. |
| 142 | Egypt | 73.00 | 2017 est. |
| 143 | Indonesia | 73.00 | 2017 est. |
| 144 | Azerbaijan | 72.80 | 2017 est. |
| 145 | Bahamas, The | 72.60 | 2017 est. |
| 146 | Greenland | 72.60 | 2017 est. |
| 147 | Guatemala | 72.60 | 2017 est. |
| 148 | Suriname | 72.50 | 2017 est. |
| 149 | Cabo Verde | 72.40 | 2017 est. |
| 150 | Ukraine | 72.10 | 2017 est. |
| 151 | Honduras | 71.20 | 2017 est. |
| 152 | Kazakhstan | 71.10 | 2017 est. |
| 153 | Nepal | 71.00 | 2017 est. |
| 154 | Russia | 71.00 | 2017 est. |
| 155 | Moldova | 71.00 | 2017 est. |
| 156 | Kyrgyzstan | 70.90 | 2017 est. |
| 157 | Korea, North | 70.70 | 2017 est. |
| 158 | Bhutan | 70.60 | 2017 est. |
| 159 | Turkmenistan | 70.40 | 2017 est. |
| 160 | Mongolia | 69.90 | 2017 est. |
| 161 | Bolivia | 69.50 | 2017 est. |
| 162 | Philippines | 69.40 | 2017 est. |
| 163 | Belize | 68.90 | 2017 est. |
| 164 | India | 68.80 | 2017 est. |
| 165 | Guyana | 68.60 | 2017 est. |
| 166 | Timor-Leste | 68.40 | 2017 est. |
| 167 | Burma | 68.20 | 2017 est. |
| 168 | Pakistan | 68.10 | 2017 est. |
| 169 | Tajikistan | 68.10 | 2017 est. |
| 170 | Nauru | 67.40 | 2017 est. |
| 171 | Papua New Guinea | 67.30 | 2017 est. |
| 172 | Ghana | 67.00 | 2017 est. |
| 173 | Tuvalu | 66.90 | 2017 est. |
| 174 | Kiribati | 66.50 | 2017 est. |
| 175 | Madagascar | 66.30 | 2017 est. |
| 176 | Yemen | 65.90 | 2017 est. |
| 177 | Togo | 65.40 | 2017 est. |
| 178 | Sao Tome and Principe | 65.30 | 2017 est. |
| 179 | Eritrea | 65.20 | 2017 est. |
| 180 | Gambia, The | 65.10 | 2017 est. |
| 181 | Cambodia | 64.90 | 2017 est. |
| 182 | Comoros | 64.60 | 2017 est. |
| 183 | Equatorial Guinea | 64.60 | 2017 est. |
| 184 | Laos | 64.60 | 2017 est. |
| 185 | Sudan | 64.40 | 2017 est. |
| 186 | Kenya | 64.30 | 2017 est. |
| 187 | Rwanda | 64.30 | 2017 est. |
| 188 | Haiti | 64.20 | 2017 est. |
| 189 | Namibia | 64.00 | 2017 est. |
| 190 | South Africa | 63.80 | 2017 est. |
| 191 | Djibouti | 63.60 | 2017 est. |
| 192 | Western Sahara | 63.40 | 2017 est. |
| 193 | Mauritania | 63.40 | 2017 est. |
| 194 | Botswana | 63.30 | 2017 est. |
| 195 | Liberia | 63.30 | 2017 est. |
| 196 | Ethiopia | 62.60 | 2017 est. |
| 197 | Tanzania | 62.60 | 2017 est. |
| 198 | Benin | 62.30 | 2017 est. |
| 199 | Senegal | 62.10 | 2017 est. |
