CIA - The World Factbook --  Stock of quasi money   

This entry comprises the total quantity of time and savings deposits denominated in the national currency, held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. When added together with "M1" the total money supply is known as "M2." The national currency units have been converted to US dollars at the closing exchange rate on the date of the information.

| Rank | country | Stock of quasi money | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 10,990,000,000,000 | 31 December 2008 |
| 2 | Japan | $ 6,160,000,000,000 | 31 December 2008 |
| 3 | European Union | $ 5,631,000,000,000 | 31 December 2008 |
| 4 | China | $ 4,523,000,000,000 | 31 December 2008 |
| 5 | Canada | $ 1,299,000,000,000 | 31 December 2008 |
| 6 | Brazil | $ 724,500,000,000 | 31 December 2008 |
| 7 | Taiwan | $ 618,000,000,000 | November 2008 |
| 8 | Korea, South | $ 478,000,000,000 | 31 December 2008 |
| 9 | Switzerland | $ 477,600,000,000 | 31 December 2008 est. |
| 10 | Hong Kong | $ 352,400,000,000 | 31 December 2008 |
| 11 | Russia | $ 318,400,000,000 | 31 December 2008 |
| 12 | Turkey | $ 248,400,000,000 | 31 December 2008 |
| 13 | Thailand | $ 237,500,000,000 | 31 December 2008 |
| 14 | Malaysia | $ 200,900,000,000 | 31 December 2008 |
| 15 | Singapore | $ 179,000,000,000 | 31 December 2008 |
| 16 | Mexico | $ 147,400,000,000 | 31 December 2008 |
| 17 | Saudi Arabia | $ 134,300,000,000 | 31 December 2008 |
| 18 | Indonesia | $ 131,500,000,000 | 31 December 2008 |
| 19 | South Africa | $ 124,100,000,000 | 31 December 2008 |
| 20 | Egypt | $ 112,200,000,000 | 31 December 2008 |
| 21 | Poland | $ 109,000,000,000 | 31 December 2008 |
| 22 | New Zealand | $ 99,910,000,000 | 31 December 2008 |
| 23 | Denmark | $ 95,820,000,000 | 31 December 2008 |
| 24 | Syria | $ 73,930,000,000 | 31 December 2008 |
| 25 | Chile | $ 73,660,000,000 | 31 December 2008 |
| 26 | Kuwait | $ 63,080,000,000 | 31 December 2008 |
| 27 | Czech Republic | $ 58,600,000,000 | 31 December 2008 |
| 28 | Sweden | $ 54,550,000,000 | 31 December 2008 |
| 29 | Hungary | $ 47,490,000,000 | 31 December 2008 |
| 30 | Bangladesh | $ 37,980,000,000 | 31 December 2008 |
| 31 | Ukraine | $ 37,320,000,000 | 31 December 2008 |
| 32 | Qatar | $ 36,580,000,000 | 31 December 2008 |
| 33 | Romania | $ 36,090,000,000 | 31 December 2008 |
| 34 | Kazakhstan | $ 35,760,000,000 | 31 December 2008 |
| 35 | Croatia | $ 33,170,000,000 | 31 December 2008 |
| 36 | Nigeria | $ 32,040,000,000 | 31 December 2008 |
| 37 | Algeria | $ 30,360,000,000 | 31 December 2008 |
| 38 | Slovakia | $ 27,710,000,000 | 31 December 2008 |
| 39 | Colombia | $ 26,570,000,000 | 31 December 2008 |
| 40 | Peru | $ 25,320,000,000 | 31 December 2008 |
| 41 | Macau | $ 22,150,000,000 | 31 December 2008 |
| 42 | Bulgaria | $ 19,670,000,000 | 31 December 2008 |
| 43 | Jordan | $ 17,980,000,000 | 31 December 2008 |
| 44 | Panama | $ 15,840,000,000 | 31 December 2008 |
| 45 | Iceland | $ 15,050,000,000 | 31 December 2006 |
| 46 | Tunisia | $ 14,720,000,000 | 31 December 2008 |
| 47 | Oman | $ 14,570,000,000 | 31 December 2008 |
| 48 | Serbia | $ 11,950,000,000 | 31 December 2008 |
| 49 | Venezuela | $ 10,930,000,000 | 31 December 2008 |
| 50 | Angola | $ 10,410,000,000 | 31 December 2008 |
| 51 | Guatemala | $ 9,700,000,000 | 31 December 2008 |
| 52 | Uruguay | $ 9,409,000,000 | 31 December 2008 |
| 53 | Ecuador | $ 9,383,000,000 | 31 December 2008 |
| 54 | Sri Lanka | $ 9,010,000,000 | 30 September 2008 |
| 55 | Belarus | $ 8,784,000,000 | 31 December 2008 |
| 56 | Malta | $ 8,771,000,000 | 31 January 2008 est. |
| 57 | Lithuania | $ 8,419,000,000 | 31 December 2008 |
| 58 | Mauritius | $ 6,914,000,000 | 31 December 2008 |
| 59 | Bolivia | $ 6,339,000,000 | 31 December 2008 |
| 60 | Albania | $ 6,251,000,000 | 31 December 2008 |
| 61 | Dominican Republic | $ 5,902,000,000 | 31 December 2008 |
| 62 | Bosnia and Herzegovina | $ 5,614,000,000 | 31 December 2008 |
| 63 | Honduras | $ 5,574,000,000 | 31 December 2008 |
| 64 | Latvia | $ 5,572,000,000 | 31 December 2008 |
| 65 | Estonia | $ 5,478,000,000 | 31 December 2008 |
| 66 | Kenya | $ 5,468,000,000 | 31 December 2008 |
| 67 | Iraq | $ 5,415,000,000 | 31 December 2008 |
| 68 | Gaza Strip | $ 5,251,000,000 | 31 December 2008 |
| 69 | West Bank | $ 5,251,000,000 | 31 December 2008 |
| 70 | Nepal | $ 4,885,000,000 | 31 December 2008 |
| 71 | Bahamas, The | $ 4,637,000,000 | 31 December 2008 |
| 72 | Brunei | $ 4,551,000,000 | 31 December 2008 |
| 73 | Libya | $ 4,264,000,000 | 31 December 2008 |
| 74 | Jamaica | $ 4,244,000,000 | 31 December 2008 |
| 75 | Botswana | $ 4,183,000,000 | 31 December 2008 |
| 76 | Azerbaijan | $ 4,125,000,000 | 31 December 2008 |
| 77 | Barbados | $ 3,701,000,000 | 31 December 2008 |
| 78 | Trinidad and Tobago | $ 3,506,000,000 | 31 December 2008 |
| 79 | Tanzania | $ 3,362,000,000 | 31 December 2008 |
| 80 | Macedonia | $ 3,254,000,000 | 31 December 2008 |
| 81 | Costa Rica | $ 3,143,000,000 | 31 December 2008 |
| 82 | Cambodia | $ 2,328,000,000 | 31 December 2008 |
| 83 | Moldova | $ 1,928,000,000 | 31 December 2008 |
| 84 | Nicaragua | $ 1,810,000,000 | 31 December 2008 |
| 85 | Mozambique | $ 1,752,000,000 | 31 December 2008 |
| 86 | Papua New Guinea | $ 1,726,000,000 | 31 December 2008 |
| 87 | Zambia | $ 1,618,000,000 | 31 December 2008 |
| 88 | Georgia | $ 1,606,000,000 | 31 December 2008 |
| 89 | Paraguay | $ 1,599,000,000 | 31 December 2008 |
| 90 | Uganda | $ 1,485,000,000 | 31 December 2008 |
| 91 | Mongolia | $ 1,288,000,000 | 31 December 2008 |
| 92 | Afghanistan | $ 1,219,000,000 | 31 December 2008 |
| 93 | Namibia | $ 1,158,000,000 | 31 December 2008 |
