CIA - The World Factbook --  Natural gas - proved reserves   

This entry is the stock of proved reserves of natural gas in cubic meters (cu m). Proved reserves are those quantities of natural gas, which, by analysis of geological and engineering data, can be estimated with a high degree of confidence to be commercially recoverable from a given date forward, from known reservoirs and under current economic conditions.

| Rank | country | (cu m) | Date of Information |
| --- | --- | --- | --- |
| 1 | Russia | 47,570,000,000,000 | 1 January 2011 est. |
| 2 | Iran | 29,610,000,000,000 | 1 January 2011 est. |
| 3 | Qatar | 25,370,000,000,000 | 1 January 2011 est. |
| 4 | Saudi Arabia | 7,807,000,000,000 | 1 January 2011 est. |
| 5 | United States | 7,716,000,000,000 | 1 January 2009 est. |
| 6 | Turkmenistan | 7,504,000,000,000 | 1 January 2011 est. |
| 7 | United Arab Emirates | 6,453,000,000,000 | 1 January 2011 est. |
| 8 | Nigeria | 5,292,000,000,000 | 1 January 2011 est. |
| 9 | Venezuela | 5,065,000,000,000 | 1 January 2011 est. |
| 10 | Algeria | 4,502,000,000,000 | 1 January 2011 est. |
| 11 | Iraq | 3,170,000,000,000 | 1 January 2011 est. |
| 12 | Australia | 3,115,000,000,000 | 1 January 2011 est. |
| 13 | China | 3,030,000,000,000 | 1 January 2011 est. |
| 14 | Indonesia | 3,001,000,000,000 | 1 January 2011 est. |
| 15 | Kazakhstan | 2,407,000,000,000 | 1 January 2011 est. |
| 16 | Malaysia | 2,350,000,000,000 | 1 January 2011 est. |
| 17 | Egypt | 2,186,000,000,000 | 1 January 2011 est. |
| 18 | European Union | 2,168,000,000,000 | 1 January 2010 est. |
| 19 | Norway | 2,039,000,000,000 | 1 January 2011 est. |
| 20 | Uzbekistan | 1,841,000,000,000 | 1 January 2011 est. |
| 21 | Kuwait | 1,798,000,000,000 | 1 January 2011 est. |
| 22 | Canada | 1,754,000,000,000 | 1 January 2011 est. |
| 23 | Libya | 1,548,000,000,000 | 1 January 2011 est. |
| 24 | Netherlands | 1,387,000,000,000 | 1 January 2011 est. |
| 25 | Ukraine | 1,104,000,000,000 | 1 January 2011 est. |
| 26 | India | 1,074,000,000,000 | 1 January 2011 est. |
| 27 | Oman | 849,500,000,000 | 1 January 2011 est. |
| 28 | Azerbaijan | 849,500,000,000 | 1 January 2011 est. |
| 29 | Pakistan | 840,200,000,000 | 1 January 2011 est. |
| 30 | Bolivia | 750,400,000,000 | 1 January 2011 est. |
| 31 | Yemen | 478,500,000,000 | 1 January 2011 est. |
| 32 | Trinidad and Tobago | 408,200,000,000 | 1 January 2011 est. |
| 33 | Brunei | 390,800,000,000 | 1 January 2011 est. |
| 34 | Argentina | 378,800,000,000 | 1 January 2011 est. |
| 35 | Brazil | 366,400,000,000 | 1 January 2011 est. |
| 36 | Peru | 345,500,000,000 | 1 January 2011 est. |
| 37 | Mexico | 338,800,000,000 | 1 January 2011 est. |
| 38 | Thailand | 312,200,000,000 | 1 January 2011 est. |
| 39 | Angola | 309,800,000,000 | 1 January 2011 est. |
| 40 | Burma | 283,200,000,000 | 1 January 2011 est. |
| 41 | United Kingdom | 256,000,000,000 | 1 January 2011 est. |
| 42 | Syria | 240,700,000,000 | 1 January 2011 est. |
| 43 | Papua New Guinea | 226,500,000,000 | 1 January 2011 est. |
| 44 | Timor-Leste | 200,000,000,000 | 1 January 2006 est. |
| 45 | Israel | 198,200,000,000 | 1 January 2011 est. |
| 46 | Bangladesh | 195,400,000,000 | 1 January 2011 est. |
| 47 | Vietnam | 192,500,000,000 | 1 January 2011 est. |
| 48 | Germany | 175,600,000,000 | 1 January 2011 est. |
| 49 | Poland | 164,800,000,000 | 1 January 2011 est. |
| 50 | Cameroon | 135,100,000,000 | 1 January 2011 est. |
| 51 | Mozambique | 127,400,000,000 | 1 January 2011 est. |
| 52 | Colombia | 113,300,000,000 | 1 January 2011 est. |
| 53 | Philippines | 98,540,000,000 | 1 January 2011 est. |
| 54 | Chile | 97,970,000,000 | 1 January 2011 est. |
| 55 | Bahrain | 92,030,000,000 | 1 January 2011 est. |
| 56 | Congo, Republic of the | 90,610,000,000 | 1 January 2011 est. |
| 57 | Sudan | 84,950,000,000 | 1 January 2011 est. |
| 58 | Cuba | 70,790,000,000 | 1 January 2011 est. |
| 59 | Tunisia | 65,130,000,000 | 1 January 2011 est. |
| 60 | Italy | 63,570,000,000 | 1 January 2011 est. |
| 61 | Romania | 63,000,000,000 | 1 January 2011 est. |
| 62 | Namibia | 62,290,000,000 | 1 January 2011 est. |
| 63 | Denmark | 58,130,000,000 | 1 January 2011 est. |
| 64 | Rwanda | 56,630,000,000 | 1 January 2011 est. |
| 65 | Korea, South | 50,000,000,000 | 1 January 2008 est. |
| 66 | Afghanistan | 49,550,000,000 | 1 January 2011 est. |
| 67 | Serbia | 48,140,000,000 | 1 January 2011 est. |
| 68 | Equatorial Guinea | 36,810,000,000 | 1 January 2011 est. |
| 69 | New Zealand | 34,380,000,000 | 1 January 2011 est. |
| 70 | Mauritania | 28,320,000,000 | 1 January 2011 est. |
| 71 | Cote d'Ivoire | 28,320,000,000 | 1 January 2011 est. |
| 72 | Gabon | 28,320,000,000 | 1 January 2011 est. |
| 73 | Ethiopia | 24,920,000,000 | 1 January 2011 est. |
| 74 | Croatia | 24,920,000,000 | 1 January 2011 est. |
| 75 | Ghana | 22,650,000,000 | 1 January 2011 est. |
| 76 | Japan | 20,900,000,000 | 1 January 2011 est. |
| 77 | Austria | 16,140,000,000 | 1 January 2011 est. |
| 78 | Slovakia | 14,160,000,000 | 1 January 2011 est. |
| 79 | Uganda | 14,160,000,000 | 1 January 2011 est. |
| 80 | Ireland | 9,911,000,000 | 1 January 2011 est. |
| 81 | Georgia | 8,495,000,000 | 1 January 2011 est. |
| 82 | Hungary | 8,098,000,000 | 1 January 2011 est. |
| 83 | Ecuador | 7,985,000,000 | 1 January 2011 est. |
| 84 | France | 6,796,000,000 | 1 January 2011 est. |
| 85 | Tanzania | 6,513,000,000 | 1 January 2011 est. |
| 86 | Taiwan | 6,229,000,000 | 1 January 2011 est. |
