CIA - The World Factbook --  Natural gas - proved reserves   

This entry is the stock of proved reserves of natural gas in cubic meters (cu m). Proved reserves are those quantities of natural gas, which, by analysis of geological and engineering data, can be estimated with a high degree of confidence to be commercially recoverable from a given date forward, from known reservoirs and under current economic conditions.

| Rank | country | (cu m) | Date of Information |
| --- | --- | --- | --- |
| 1 | Russia | 47,570,000,000,000 | 1 January 2010 est. |
| 2 | Iran | 29,610,000,000,000 | 1 January 2010 est. |
| 3 | Qatar | 25,470,000,000,000 | 1 January 2010 est. |
| 4 | Turkmenistan | 7,504,000,000,000 | 1 January 2010 est. |
| 5 | Saudi Arabia | 7,461,000,000,000 | 1 January 2010 est. |
| 6 | United States | 6,928,000,000,000 | 1 January 2010 est. |
| 7 | United Arab Emirates | 6,071,000,000,000 | 1 January 2010 est. |
| 8 | Nigeria | 5,246,000,000,000 | 1 January 2010 est. |
| 9 | Venezuela | 4,983,000,000,000 | 1 January 2010 est. |
| 10 | Algeria | 4,502,000,000,000 | 1 January 2010 est. |
| 11 | Iraq | 3,170,000,000,000 | 1 January 2010 est. |
| 12 | Australia | 3,115,000,000,000 | 1 January 2010 est. |
| 13 | China | 3,030,000,000,000 | 1 January 2010 est. |
| 14 | Indonesia | 3,001,000,000,000 | 1 January 2010 est. |
| 15 | Kazakhstan | 2,407,000,000,000 | 1 January 2010 est. |
| 16 | Malaysia | 2,350,000,000,000 | 1 January 2010 est. |
| 17 | Norway | 2,313,000,000,000 | 1 January 2010 est. |
| 18 | European Union | 2,242,000,000,000 | 1 January 2010 est. |
| 19 | Uzbekistan | 1,841,000,000,000 | 1 January 2010 est. |
| 20 | Kuwait | 1,798,000,000,000 | 1 January 2010 est. |
| 21 | Canada | 1,754,000,000,000 | 1 January 2010 est. |
| 22 | Egypt | 1,656,000,000,000 | 1 January 2010 est. |
| 23 | Libya | 1,539,000,000,000 | 1 January 2010 est. |
| 24 | Netherlands | 1,416,000,000,000 | 1 January 2010 est. |
| 25 | Ukraine | 1,104,000,000,000 | 1 January 2010 est. |
| 26 | India | 1,075,000,000,000 | 1 January 2010 est. |
| 27 | Azerbaijan | 849,500,000,000 | 1 January 2010 est. |
| 28 | Oman | 849,500,000,000 | 1 January 2010 est. |
| 29 | Pakistan | 840,200,000,000 | 1 January 2010 est. |
| 30 | Bolivia | 750,400,000,000 | 1 January 2010 est. |
| 31 | Vietnam | 610,000,000,000 | 1 January 2009 est. |
| 32 | Yemen | 478,500,000,000 | 1 January 2010 est. |
| 33 | Trinidad and Tobago | 436,100,000,000 | 1 January 2010 est. |
| 34 | Argentina | 398,400,000,000 | 1 January 2010 est. |
| 35 | Brunei | 390,800,000,000 | 1 January 2010 est. |
| 36 | Brazil | 364,200,000,000 | 1 January 2010 est. |
