CIA - The World Factbook --  Airports - with unpaved runways   

This entry gives the total number of airports with unpaved runways (grass, dirt, sand, or gravel surfaces) by length. For airports with more than one runway, only the longest runway is included according to the following five groups - (1) over 3,047 m (over 10,000 ft), (2) 2,438 to 3,047 m (8,000 to 10,000 ft), (3) 1,524 to 2,437 m (5,000 to 8,000 ft), (4) 914 to 1,523 m (3,000 to 5,000 ft), and (5) under 914 m (under 3,000 ft). Only airports with usable runways are included in this listing. Not all airports have facilities for refueling, maintenance, or air traffic control. The type aircraft capable of operating from a runway of a given length is dependent upon a number of factors including elevation of the runway, runway gradient, average maximum daily temperature at the airport, engine types, flap settings, and take-off weight of the aircraft.

| Rank | country | Airports - with unpaved runways | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 9,885.00 | 2010 |
| 2 | United States | 7,971.00 | 2010 |
| 3 | Brazil | 3,392.00 | 2012 |
| 4 | United States | 1,752.00 | 2010 |
| 5 | Brazil | 1,653.00 | 2012 |
| 6 | Brazil | 1,648.00 | 2012 |
| 7 | Mexico | 1,475.00 | 2012 |
| 8 | European Union | 1,361.00 | 2012 |
| 9 | Mexico | 1,140.00 | 2012 |
| 10 | European Union | 1,097.00 | 2012 |
| 11 | Argentina | 990.00 | 2012 |
| 12 | Canada | 931.00 | 2012 |
| 13 | Bolivia | 844.00 | 2012 |
| 14 | Paraguay | 785.00 | 2012 |
| 15 | Colombia | 741.00 | 2012 |
| 16 | Bolivia | 631.00 | 2012 |
| 17 | Russia | 625.00 | 2012 |
| 18 | Papua New Guinea | 542.00 | 2012 |
| 19 | Colombia | 537.00 | 2012 |
| 20 | Argentina | 499.00 | 2012 |
| 21 | Indonesia | 491.00 | 2012 |
| 22 | Papua New Guinea | 476.00 | 2012 |
| 23 | Paraguay | 473.00 | 2012 |
| 24 | Canada | 472.00 | 2012 |
| 25 | Indonesia | 462.00 | 2012 |
| 26 | Russia | 454.00 | 2012 |
| 27 | Argentina | 444.00 | 2012 |
| 28 | South Africa | 422.00 | 2012 |
| 29 | Chile | 388.00 | 2012 |
| 30 | Canada | 387.00 | 2012 |
| 31 | Venezuela | 364.00 | 2012 |
| 32 | Ecuador | 330.00 | 2012 |
| 33 | Chile | 318.00 | 2012 |
| 34 | Ecuador | 290.00 | 2012 |
| 35 | Paraguay | 289.00 | 2012 |
| 36 | Mexico | 288.00 | 2012 |
| 37 | Guatemala | 276.00 | 2012 |
| 38 | South Africa | 260.00 | 2012 |
| 39 | European Union | 249.00 | 2012 |
| 40 | Ukraine | 233.00 | 2012 |
| 41 | Germany | 219.00 | 2012 |
| 42 | Ukraine | 216.00 | 2012 |
| 43 | Guatemala | 194.00 | 2012 |
| 44 | Venezuela | 193.00 | 2012 |
| 45 | United Kingdom | 190.00 | 2012 |
| 46 | Iran | 188.00 | 2012 |
| 47 | Zimbabwe | 185.00 | 2012 |
| 48 | Germany | 185.00 | 2012 |
| 49 | Kenya | 179.00 | 2012 |
| 50 | Colombia | 178.00 | 2012 |
| 51 | France | 176.00 | 2012 |
| 52 | Congo, Democratic Republic of the | 175.00 | 2012 |
| 53 | Philippines | 164.00 | 2012 |
| 54 | United Kingdom | 163.00 | 2012 |
| 55 | Bolivia | 157.00 | 2012 |
| 56 | United States | 155.00 | 2010 |
| 57 | Angola | 146.00 | 2012 |
| 58 | Iran | 142.00 | 2012 |
| 59 | Saudi Arabia | 136.00 | 2012 |
| 60 | Australia | 134.00 | 2012 |
| 61 | Peru | 133.00 | 2012 |
| 62 | Nicaragua | 132.00 | 2012 |
| 63 | South Africa | 132.00 | 2012 |
| 64 | Oman | 118.00 | 2012 |
| 65 | Nicaragua | 115.00 | 2012 |
| 66 | Venezuela | 113.00 | 2012 |
| 67 | Costa Rica | 112.00 | 2012 |
| 68 | Kenya | 110.00 | 2012 |
| 69 | Zimbabwe | 110.00 | 2012 |
| 70 | France | 109.00 | 2012 |
| 71 | India | 101.00 | 2012 |
| 72 | Australia | 101.00 | 2012 |
| 73 | Philippines | 101.00 | 2012 |
| 74 | Tanzania | 95.00 | 2012 |
| 75 | Congo, Democratic Republic of the | 94.00 | 2012 |
| 76 | Namibia | 93.00 | 2012 |
| 77 | Costa Rica | 93.00 | 2012 |
| 78 | Iceland | 93.00 | 2012 |
| 79 | Brazil | 91.00 | 2012 |
| 80 | Honduras | 91.00 | 2012 |
| 81 | Guyana | 87.00 | 2012 |
| 82 | Czech Republic | 87.00 | 2012 |
| 83 | Russia | 85.00 | 2012 |
| 84 | Uruguay | 83.00 | 2012 |
| 85 | Peru | 83.00 | 2012 |
| 86 | New Zealand | 83.00 | 2012 |
| 87 | Algeria | 82.00 | 2012 |
| 88 | South Sudan | 81.00 | NA |
| 89 | Sweden | 81.00 | 2012 |
| 90 | Libya | 80.00 | 2012 |
| 91 | Zambia | 80.00 | 2012 |
| 92 | Guatemala | 79.00 | 2012 |
| 93 | Mozambique | 79.00 | 2012 |
| 94 | Bulgaria | 78.00 | 2012 |
| 95 | Malaysia | 78.00 | 2012 |
| 96 | Sweden | 76.00 | 2012 |
