CIA - The World Factbook --  Airports - with unpaved runways   

This entry gives the total number of airports with unpaved runways (grass, dirt, sand, or gravel surfaces) by length. For airports with more than one runway, only the longest runway is included according to the following five groups - (1) over 3,047 m (over 10,000 ft), (2) 2,438 to 3,047 m (8,000 to 10,000 ft), (3) 1,524 to 2,437 m (5,000 to 8,000 ft), (4) 914 to 1,523 m (3,000 to 5,000 ft), and (5) under 914 m (under 3,000 ft). Only airports with usable runways are included in this listing. Not all airports have facilities for refueling, maintenance, or air traffic control. The type aircraft capable of operating from a runway of a given length is dependent upon a number of factors including elevation of the runway, runway gradient, average maximum daily temperature at the airport, engine types, flap settings, and take-off weight of the aircraft.

| Rank | country | Airports - with unpaved runways | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 9,921.00 | 2009 |
| 2 | United States | 8,000.00 | 2009 |
| 3 | Brazil | 3,279.00 | 2009 |
| 4 | United States | 1,757.00 | 2009 |
| 5 | Brazil | 1,645.00 | 2009 |
| 6 | Brazil | 1,547.00 | 2009 |
| 7 | Mexico | 1,498.00 | 2009 |
| 8 | European Union | 1,396.00 | 2009 |
| 9 | European Union | 1,110.00 | 2009 |
| 10 | Mexico | 1,005.00 | 2009 |
| 11 | Argentina | 974.00 | 2009 |
| 12 | Bolivia | 936.00 | 2009 |
| 13 | Colombia | 876.00 | 2009 |
| 14 | Canada | 873.00 | 2009 |
| 15 | Paraguay | 784.00 | 2009 |
| 16 | Bolivia | 687.00 | 2009 |
| 17 | Russia | 621.00 | 2009 |
| 18 | Colombia | 612.00 | 2009 |
| 19 | Papua New Guinea | 539.00 | 2009 |
| 20 | Argentina | 522.00 | 2009 |
| 21 | Indonesia | 519.00 | 2009 |
| 22 | Indonesia | 489.00 | 2009 |
| 23 | Paraguay | 470.00 | 2009 |
| 24 | Papua New Guinea | 467.00 | 2009 |
| 25 | South Africa | 459.00 | 2009 |
| 26 | Russia | 453.00 | 2009 |
| 27 | Canada | 427.00 | 2009 |
| 28 | Mexico | 426.00 | 2009 |
| 29 | Argentina | 406.00 | 2009 |
| 30 | Canada | 373.00 | 2009 |
| 31 | Guatemala | 358.00 | 2009 |
| 32 | Ecuador | 317.00 | 2009 |
| 33 | South Africa | 298.00 | 2009 |
| 34 | Paraguay | 289.00 | 2009 |
