CIA - The World Factbook --  Airports - with unpaved runways   

This entry gives the total number of airports with unpaved runways (grass, dirt, sand, or gravel surfaces) by length. For airports with more than one runway, only the longest runway is included according to the following five groups - (1) over 3,047 m (over 10,000 ft), (2) 2,438 to 3,047 m (8,000 to 10,000 ft), (3) 1,524 to 2,437 m (5,000 to 8,000 ft), (4) 914 to 1,523 m (3,000 to 5,000 ft), and (5) under 914 m (under 3,000 ft). Only airports with usable runways are included in this listing. Not all airports have facilities for refueling, maintenance, or air traffic control. The type aircraft capable of operating from a runway of a given length is dependent upon a number of factors including elevation of the runway, runway gradient, average maximum daily temperature at the airport, engine types, flap settings, and take-off weight of the aircraft.

| Rank | country | Airports - with unpaved runways | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 9,885.00 | 2010 |
| 2 | United States | 7,971.00 | 2010 |
| 3 | Brazil | 3,346.00 | 2010 |
| 4 | United States | 1,752.00 | 2010 |
| 5 | Brazil | 1,642.00 | 2010 |
| 6 | Brazil | 1,617.00 | 2010 |
| 7 | Mexico | 1,569.00 | 2010 |
| 8 | European Union | 1,391.00 | 2010 |
| 9 | European Union | 1,112.00 | 2010 |
| 10 | Mexico | 1,063.00 | 2010 |
| 11 | Argentina | 985.00 | 2010 |
| 12 | Canada | 890.00 | 2010 |
| 13 | Colombia | 874.00 | 2010 |
| 14 | Bolivia | 865.00 | 2010 |
| 15 | Paraguay | 785.00 | 2010 |
| 16 | Russia | 620.00 | 2010 |
| 17 | Bolivia | 615.00 | 2010 |
| 18 | Colombia | 610.00 | 2010 |
| 19 | Papua New Guinea | 541.00 | 2010 |
| 20 | Argentina | 530.00 | 2010 |
| 21 | Indonesia | 513.00 | 2010 |
| 22 | Indonesia | 484.00 | 2010 |
| 23 | Paraguay | 470.00 | 2010 |
| 24 | Papua New Guinea | 469.00 | 2010 |
| 25 | Russia | 452.00 | 2010 |
| 26 | Canada | 440.00 | 2010 |
| 27 | Mexico | 438.00 | 2010 |
| 28 | South Africa | 431.00 | 2010 |
| 29 | Argentina | 410.00 | 2010 |
| 30 | Canada | 377.00 | 2010 |
| 31 | Guatemala | 359.00 | 2010 |
| 32 | Ecuador | 323.00 | 2010 |
| 33 | Paraguay | 290.00 | 2010 |
| 34 | Ecuador | 284.00 | 2010 |
| 35 | Chile | 282.00 | 2010 |
| 36 | Venezuela | 280.00 | 2010 |
| 37 | Guatemala | 271.00 | 2010 |
| 38 | South Africa | 261.00 | 2010 |
| 39 | European Union | 254.00 | 2010 |
| 40 | Ukraine | 236.00 | 2010 |
| 41 | Colombia | 228.00 | 2010 |
| 42 | Germany | 219.00 | 2010 |
| 43 | Chile | 217.00 | 2010 |
| 44 | Ukraine | 214.00 | 2010 |
| 45 | United Kingdom | 199.00 | 2010 |
| 46 | Zimbabwe | 197.00 | 2010 |
| 47 | Bolivia | 187.00 | 2010 |
| 48 | Iran | 186.00 | 2010 |
| 49 | Germany | 184.00 | 2010 |
| 50 | France | 177.00 | 2010 |
| 51 | Kenya | 174.00 | 2010 |
| 52 | United Kingdom | 173.00 | 2010 |
| 53 | Venezuela | 172.00 | 2010 |
| 54 | Congo, Democratic Republic of the | 172.00 | 2010 |
| 55 | Philippines | 169.00 | 2010 |
| 56 | Angola | 162.00 | 2010 |
| 57 | United States | 155.00 | 2010 |
| 58 | Peru | 153.00 | 2010 |
| 59 | Iran | 142.00 | 2010 |
| 60 | Australia | 139.00 | 2010 |
| 61 | South Africa | 137.00 | 2010 |
| 62 | Saudi Arabia | 136.00 | 2010 |
| 63 | Nicaragua | 132.00 | 2010 |
| 64 | Zimbabwe | 120.00 | 2010 |
| 65 | Oman | 119.00 | 2010 |
| 66 | Nicaragua | 115.00 | 2010 |
| 67 | Tanzania | 115.00 | 2010 |
| 68 | Costa Rica | 112.00 | 2010 |
| 69 | Australia | 110.00 | 2010 |
| 70 | Namibia | 108.00 | 2010 |
| 71 | France | 108.00 | 2010 |
| 72 | Kenya | 107.00 | 2010 |
| 73 | India | 103.00 | 2010 |
| 74 | Sudan | 99.00 | 2011 |
| 75 | Philippines | 99.00 | 2010 |
| 76 | Sweden | 97.00 | 2010 |
| 77 | Costa Rica | 94.00 | 2010 |
| 78 | Iceland | 93.00 | 2010 |
| 79 | Honduras | 92.00 | 2010 |
| 80 | Sweden | 92.00 | 2010 |
| 81 | Congo, Democratic Republic of the | 91.00 | 2010 |
| 82 | Venezuela | 91.00 | 2010 |
| 83 | Brazil | 87.00 | 2010 |
| 84 | Peru | 87.00 | 2010 |
| 85 | Zambia | 86.00 | 2010 |
| 86 | Algeria | 86.00 | 2010 |
| 87 | Guyana | 86.00 | 2010 |
| 88 | Guatemala | 84.00 | 2010 |
| 89 | Russia | 84.00 | 2010 |
| 90 | Mozambique | 83.00 | 2010 |
| 91 | New Zealand | 82.00 | 2010 |
| 92 | Bulgaria | 80.00 | 2010 |
| 93 | Malaysia | 80.00 | 2010 |
| 94 | Libya | 78.00 | 2010 |
| 95 | Angola | 78.00 | 2010 |
| 96 | Czech Republic | 78.00 | 2010 |
