FIELD LISTING :: CONSTITUTION

| Country | CONSTITUTION |
| --- | --- |
| **Afghanistan** | several previous; latest drafted 14 December 2003 - 4 January 2004, signed 16 January 2004, ratified 26 January 2004; note - a provision in the constitution prohibits changes until 2020 (2016) |
| **Akrotiri** | presented 3 August 1960, effective 16 August 1960 (The Sovereign Base Areas of Akrotiri and Dhekelia Order in Council 1960 serves as a basic legal document); amended 1966 (2016) |
| **Albania** | *history:* several previous; latest approved by the Assembly 21 October 1998, adopted by referendum 22 November 1998, promulgated 28 November 1998; amended several times, last in 2012 |
| | *amendments:* proposed by at least one-fifth of Assembly members; approval required by at least two-thirds vote of members; referendum required only if approved by two-thirds of Assembly; amendments approved by referendum effective upon declaration by the president of the republic; amended several times, last in 2012 (2016) |
| **Algeria** | several previous; latest approved by referendum 23 February 1989; amended several times, last in 2016 (2016) |
| **American Samoa** | adopted 17 October 1960; revised 1 July 1967; amended several times, last in 2013 (2016) |
| **Andorra** | *history:* drafted 1991, approved by referendum 14 March 1993, effective 28 April 1993 |
| | *amendments:* proposed by the coprinces jointly or by the General Council; approval required by two-thirds majority vote of the General Council, by ratification in a referendum, and by the sanctioning of the coprinces (2016) |
| **Angola** | previous 1975, 1992; latest passed by National Assembly 21 January 2010, adopted 5 February 2010 (2016) |
| **Anguilla** | several previous; latest 1 April 1982; amended 1990 (2016) |
| **Antigua and Barbuda** | several previous; latest presented 31 July 1981, effective 31 October 1981 (Antigua and Barbuda Constitutional Order 1981); amended 2009, 2011 (2016) |
| **Argentina** | several previous; latest effective 11 May 1853; amended many times, last in 1994 (2016) |
| **Armenia** | previous 1915, 1978; latest adopted 5 July 1995; amended 2005, 2015; note - the 2015 amendment, approved in December 2015 by a public referendum and effective for the 2017-18 electoral cycle, changes the government type from the current semi-presidential system to a parliamentary system (2016) |
| | *note:* the 2015 amendment, approved in December 2015 by a public referendum and effective for the 2017-18 electoral cycle, changes the government type from the current semi-presidential system to a parliamentary system (2016) |
| **Aruba** | previous 1947, 1955; latest drafted and approved August 1985, enacted 1 January 1986 (regulates governance of Aruba, but is subordinate to the Charter for the Kingdom of the Netherlands); note - in October 2010, following dissolution of the Netherlands Antilles, Aruba became a constituent country within the Kingdom of the Netherlands (2016) |
| **Australia** | 9 July 1900; effective 1 January 1901; amended several times, last in 1977; note - a referendum to amend the constitution to reflect the Aboriginal and Torres Strait Islander Peoples Recognition Act 2013 is planned for early 2017 (2016) |
| **Austria** | *history:* several previous; latest adopted 1 October 1920, revised 1929, replaced May 1934 (authoritarian corporate state), replaced by German Weimar constitution in 1938 following German annexation, reinstated 1 May 1945 |
| | *amendments:* proposed through laws designated “constitutional laws” or through the constitutional process if the amendment is part of another law; approval required by at least two-thirds majority vote of the National Assembly if one-half of the members are present; a referendum is required only if requested by one-third of the National Council or Federal Council membership; passage by referendum requires absolute majority vote; amended many times, last in 2014 (2016) |
| **Azerbaijan** | several previous; latest adopted 12 November 1995; amended 2002, 2009 (2016) |
| **Bahamas, The** | previous 1964 (preindependence); latest adopted 20 June 1973, effective 10 July 1973; amended many times, last in 2016 (2016) |
| **Bahrain** | adopted 14 February 2002; amended 2012 (2016) |
| **Bangladesh** | previous 1935, 1956, 1962 (preindependence); latest enacted 4 November 1972, effective 16 December 1972, suspended March 1982, restored November 1986; amended many times, last in 2014 (2016) |
| **Barbados** | adopted 22 November 1966, effective 30 November 1966; amended several times, last in 2007 (2016) |
| **Belarus** | *history:* several previous; latest drafted between late 1991 and early 1994, signed 15 March 1994 |
| | *amendments:* proposed by the president of the republic through petition to the National Assembly or by at least 150,000 eligible voters; approval required by at least two-thirds vote of members in both chambers or by simple majority of eligible voters in a referendum (2016) |
| **Belgium** | *history:* drafted 25 November 1830, approved 7 February 1831, entered into force 26 July 1831, revised 14 July 1993 (creating a federal state) |
| | *amendments:* "revisions" proposed as declarations by the federal government in accord with the king or by Parliament followed by dissolution of Parliament and new elections; adoption requires two-thirds majority vote of a two-thirds quorum in both houses of the next elected Parliament; amended many times, last in 2014 (2016) |
| **Belize** | previous 1954, 1963 (preindependence); latest signed and entered into force 21 September 1981; amended several times, last in 2012 (2016) |
| **Benin** | previous 1946, 1958 (preindependence); latest adopted by referendum 2 December 1990, promulgated 11 December 1990 (2016) |
| **Bermuda** | several previous (dating to 1684); latest entered into force 8 June 1968; amended several times, last in 2012 (2016) |
