Field Listing :: HIV/AIDS - deaths :: The World Factbook - Central Intelligence Agency

This entry gives an estimate of the number of adults and children who died of AIDS during a given calendar year.

| Country | HIV/AIDS - deaths |
| --- | --- |
| **Afghanistan** | <500 (2016 est.) |
| **Albania** | <100 (2017 est.) |
| **Algeria** | <200 (2017 est.) |
| **American Samoa** | NA |
| **Andorra** | NA |
| **Angola** | 13,000 (2017 est.) |
| **Anguilla** | NA |
| **Antigua and Barbuda** | NA |
| **Argentina** | 2,000 (2017 est.) |
| **Armenia** | <200 (2017 est.) |
| **Aruba** | NA |
| **Australia** | <200 (2017 est.) |
| **Austria** | <100 (2017 est.) |
| **Azerbaijan** | <500 (2017 est.) |
| **Bahamas, The** | NA |
| **Bahrain** | <100 (2017 est.) |
| **Bangladesh** | 1,100 (2017 est.) |
| **Barbados** | <100 (2017 est.) |
| **Belarus** | <500 (2017 est.) |
| **Belgium** | NA |
| **Belize** | <200 (2017 est.) |
| **Benin** | 2,500 (2017 est.) |
| **Bermuda** | NA |
| **Bhutan** | NA |
| **Bolivia** | <1000 (2017 est.) |
| **Bosnia and Herzegovina** | NA |
| **Botswana** | 4,100 (2017 est.) |
| **Brazil** | 14,000 (2017 est.) |
| **British Virgin Islands** | NA |
| **Brunei** | NA |
| **Bulgaria** | <100 (2017 est.) |
| **Burkina Faso** | 2,900 (2017 est.) |
| **Burma** | 6,700 (2017 est.) |
| **Burundi** | 1,700 (2017 est.) |
| **Cabo Verde** | <100 (2017 est.) |
| **Cambodia** | 1,300 (2017 est.) |
| **Cameroon** | 24,000 (2017 est.) |
| **Canada** | NA |
| **Cayman Islands** | NA |
| **Central African Republic** | 5,200 (2017 est.) |
| **Chad** | 3,100 (2017 est.) |
| **Chile** | NA |
| **China** | NA |
| **Christmas Island** | NA |
| **Cocos (Keeling) Islands** | NA |
| **Colombia** | 4,400 (2017 est.) |
| **Comoros** | <100 (2017 est.) |
| **Congo, Democratic Republic of the** | 17,000 (2017 est.) |
| **Congo, Republic of the** | 4,900 (2017 est.) |
| **Cook Islands** | NA |
| **Costa Rica** | <200 (2017 est.) |
| **Cote d'Ivoire** | 24,000 (2017 est.) |
| **Croatia** | <100 (2016 est.) |
| **Cuba** | <500 (2017 est.) |
| **Curacao** | NA |
| **Cyprus** | <100 (2017 est.) |
| **Czechia** | <100 (2017 est.) |
| **Denmark** | <100 (2017 est.) |
| **Djibouti** | <1000 (2017 est.) |
| **Dominica** | NA |
| **Dominican Republic** | 2,600 (2017 est.) |
| **Ecuador** | <1000 (2017 est.) |
| **Egypt** | <500 (2017 est.) |
| **El Salvador** | <1000 (2017 est.) |
| **Equatorial Guinea** | 1,900 (2017 est.) |
| **Eritrea** | <500 (2017 est.) |
| **Estonia** | <100 (2017 est.) |
| **Eswatini** | 3,500 (2017 est.) |
| **Ethiopia** | 15,000 (2017 est.) |
| **European Union** | note - see individual entries of member states |
| **Falkland Islands (Islas Malvinas)** | NA |
| **Faroe Islands** | NA |
| **Fiji** | <100 (2016 est.) |
| **Finland** | NA |
| **France** | <500 (2017 est.) |
| **French Polynesia** | NA |
| **Gabon** | 1,300 (2017 est.) |
| **Gambia, The** | 1,100 (2017 est.) |
| **Gaza Strip** | NA |
| **Georgia** | <500 (2017 est.) |
| **Germany** | <500 (2017 est.) |
| **Ghana** | 16,000 (2017 est.) |
| **Gibraltar** | NA |
| **Greece** | <100 (2017 est.) |
| **Greenland** | NA |
| **Grenada** | NA |
| **Guam** | NA |
| **Guatemala** | 2,000 (2017 est.) |
| **Guernsey** | NA |
| **Guinea** | 5,100 (2017 est.) |
| **Guinea-Bissau** | 1,900 (2017 est.) |
| **Guyana** | <200 (2017 est.) |
| **Haiti** | 4,700 (2017 est.) |
| **Holy See (Vatican City)** | NA |
| **Honduras** | 1,000 (2017 est.) |
| **Hong Kong** | NA |
| **Hungary** | <100 (2017 est.) |
| **Iceland** | NA |
| **India** | 69,000 (2017 est.) |
| **Indonesia** | 39,000 (2017 est.) |
| **Iran** | 3,500 (2017 est.) |
| **Iraq** | NA |
| **Ireland** | <100 (2017 est.) |
| **Isle of Man** | NA |
| **Israel** | NA |
| **Italy** | <1000 (2017 est.) |
| **Jamaica** | 1,500 (2017 est.) |
| **Japan** | <200 (2017 est.) |
| **Jersey** | NA |
| **Jordan** | <100 (2016 est.) |
| **Kazakhstan** | <1000 (2017 est.) |
| **Kenya** | 28,000 (2017 est.) |
| **Kiribati** | NA |
| **Korea, North** | NA |
| **Korea, South** | NA |
| **Kuwait** | <100 (2017 est.) |
| **Kyrgyzstan** | <500 (2017 est.) |
| **Laos** | <500 (2017 est.) |
| **Latvia** | <500 (2016 est.) |
| **Lebanon** | <100 (2017 est.) |
| **Lesotho** | 4,900 (2017 est.) |
| **Liberia** | 2,500 (2017 est.) |
| **Libya** | NA |
| **Liechtenstein** | NA |
| **Lithuania** | <100 (2017 est.) |
| **Luxembourg** | <100 (2017 est.) |
| **Macau** | NA |
| **Macedonia** | <100 (2016 est.) |
| **Madagascar** | 1,600 (2017 est.) |
| **Malawi** | 17,000 (2017 est.) |
| **Malaysia** | 4,400 (2017 est.) |
| **Maldives** | NA |
| **Mali** | 6,300 (2017 est.) |
| **Malta** | <100 (2016 est.) |
| **Marshall Islands** | NA |
| **Mauritania** | <1000 (2017 est.) |
| **Mauritius** | NA |
| **Mexico** | 4,000 (2017 est.) |
| **Micronesia, Federated States of** | NA |
| **Moldova** | <500 (2017 est.) |
| **Monaco** | NA |
| **Mongolia** | <100 (2017 est.) |
| **Montenegro** | <100 (2017 est.) |
| **Montserrat** | NA |
| **Morocco** | <500 (2017 est.) |
| **Mozambique** | 70,000 (2017 est.) |
| **Namibia** | 2,700 (2017 est.) |
| **Nauru** | NA |
| **Nepal** | 1,300 (2017 est.) |
| **Netherlands** | <500 (2017 est.) |
| **New Caledonia** | NA |
| **New Zealand** | <100 (2017 est.) |
| **Nicaragua** | <500 (2017 est.) |
| **Niger** | 1,800 (2017 est.) |
| **Nigeria** | 150,000 (2017 est.) |
| **Niue** | NA |
| **Norfolk Island** | NA |
| **Northern Mariana Islands** | NA |
| **Norway** | <100 (2017 est.) |
| **Oman** | NA |
| **Pakistan** | 6,200 (2017 est.) |
| **Palau** | NA |
| **Panama** | <1000 (2017 est.) |
| **Papua New Guinea** | 1,100 (2017 est.) |
| **Paraguay** | <1000 (2016 est.) |
| **Peru** | 2,100 (2017 est.) |
| **Philippines** | <1000 (2017 est.) |
| **Pitcairn Islands** | NA |
| **Poland** | NA |
| **Portugal** | <500 (2017 est.) |
| **Puerto Rico** | NA |
| **Qatar** | <100 (2017 est.) |
| **Romania** | <200 (2017 est.) |
| **Russia** | NA |
| **Rwanda** | 3,100 (2017 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | NA |
| **Saint Kitts and Nevis** | NA |
| **Saint Lucia** | NA |
| **Saint Pierre and Miquelon** | NA |
| **Saint Vincent and the Grenadines** | NA |
| **Samoa** | NA |
| **San Marino** | NA |
| **Sao Tome and Principe** | NA |
| **Saudi Arabia** | <500 (2016 est.) |
| **Senegal** | 2,100 (2017 est.) |
| **Serbia** | <100 (2017 est.) |
| **Seychelles** | NA |
| **Sierra Leone** | 2,600 (2017 est.) |
| **Singapore** | <100 (2017 est.) |
| **Sint Maarten** | NA |
| **Slovakia** | <100 (2017 est.) |
| **Slovenia** | <100 (2017 est.) |
| **Solomon Islands** | NA |
| **Somalia** | <1000 (2017 est.) |
| **South Africa** | 110,000 (2017 est.) |
| **South Sudan** | 12,000 (2017 est.) |
| **Spain** | NA |
| **Sri Lanka** | <500 (2017 est.) |
| **Sudan** | 2,600 (2017 est.) |
| **Suriname** | <200 (2017 est.) |
| **Sweden** | <100 (2016 est.) |
| **Switzerland** | NA |
| **Syria** | NA |
| **Taiwan** | NA |
| **Tajikistan** | <1000 (2017 est.) |
| **Tanzania** | 32,000 (2017 est.) |
| **Thailand** | 15,000 (2017 est.) |
| **Timor-Leste** | NA |
| **Togo** | 4,700 (2017 est.) |
| **Tokelau** | NA |
| **Tonga** | NA |
| **Trinidad and Tobago** | <500 (2017 est.) |
| **Tunisia** | <200 (2017 est.) |
| **Turkey** | NA |
| **Turkmenistan** | NA |
| **Turks and Caicos Islands** | NA |
| **Tuvalu** | NA |
| **Uganda** | 26,000 (2017 est.) |
| **Ukraine** | 9,000 (2017 est.) |
| **United Arab Emirates** | NA |
| **United Kingdom** | NA |
| **United States** | NA |
| **Uruguay** | <500 (2017 est.) |
| **Uzbekistan** | 1,900 (2017 est.) |
| **Vanuatu** | NA |
| **Venezuela** | 2,500 (2016 est.) |
| **Vietnam** | 8,600 (2017 est.) |
| **Virgin Islands** | NA |
| **Wallis and Futuna** | NA |
| **West Bank** | NA |
| **Western Sahara** | NA |
| **World** | 940,000 (2017 est.) |
| **Yemen** | <500 (2016 est.) |
| **Zambia** | 16,000 (2017 est.) |
| **Zimbabwe** | 22,000 (2017 est.) |

