CIA - The World Factbook --  Exchange rates   

This entry provides the average annual price of a country's monetary unit for the time period specified, expressed in units of local currency per US dollar, as determined by international market forces or by official fiat. The International Organization for Standardization (ISO) 4217 alphabetic currency code for the national medium of exchange is presented in parenthesis. Closing daily exchange rates are not presented in The World Factbook, but are used to convert stock values - e.g., the market value of publicly traded shares - to US dollars as of the specified date.

| Rank | country | Exchange rates | Date of Information |
| --- | --- | --- | --- |
| 1 | Zimbabwe | 30,000.00 | NA |
| 2 | Sao Tome and Principe | 19,641.00 | NA |
| 3 | Vietnam | 19,148.90 | NA |
| 4 | Vietnam | 17,799.60 | NA |
| 5 | Vietnam | 16,548.30 | NA |
| 6 | Sao Tome and Principe | 16,209.00 | NA |
| 7 | Vietnam | 16,119.00 | NA |
| 8 | Vietnam | 15,983.00 | NA |
| 9 | Sao Tome and Principe | 14,900.00 | NA |
| 10 | Turkmenistan | 14,250.00 | NA |
| 11 | Sao Tome and Principe | 13,700.00 | NA |
| 12 | Sao Tome and Principe | 12,050.00 | NA |
| 13 | Indonesia | 10,389.90 | NA |
| 14 | Iran | 10,308.20 | NA |
| 15 | Laos | 10,235.00 | NA |
| 16 | Iran | 9,864.30 | NA |
| 17 | Indonesia | 9,698.90 | NA |
| 18 | Laos | 9,658.00 | NA |
| 19 | Iran | 9,407.50 | NA |
| 20 | Iran | 9,227.10 | NA |
| 21 | Ghana | 9,174.80 | NA |
| 22 | Indonesia | 9,169.50 | NA |
| 23 | Indonesia | 9,159.30 | NA |
| 24 | Indonesia | 9,143.00 | NA |
| 25 | Iran | 9,142.80 | NA |
| 26 | Laos | 8,760.69 | NA |
| 27 | Laos | 8,516.04 | NA |
| 28 | Laos | 8,320.27 | NA |
| 29 | Guinea | 6,100.00 | NA |
| 30 | Paraguay | 5,672.80 | NA |
| 31 | Guinea | 5,500.00 | NA |
| 32 | Guinea | 5,500.00 | NA |
| 33 | Guinea | 5,350.00 | NA |
| 34 | Zambia | 5,046.10 | NA |
| 35 | Paraguay | 5,031.00 | NA |
| 36 | Paraguay | 4,965.40 | NA |
| 37 | Zambia | 4,823.60 | NA |
| 38 | Paraguay | 4,767.60 | NA |
| 39 | Paraguay | 4,337.70 | NA |
| 40 | Cambodia | 4,145.00 | NA |
| 41 | Cambodia | 4,139.00 | NA |
| 42 | Guinea | 4,122.80 | NA |
| 43 | Cambodia | 4,103.00 | NA |
| 44 | Cambodia | 4,070.94 | NA |
| 45 | Cambodia | 4,006.00 | NA |
| 46 | Zambia | 3,990.20 | NA |
| 47 | Korea, North | 3,630.00 | NA |
| 48 | Zambia | 3,601.50 | NA |
| 49 | Zambia | 3,512.90 | NA |
| 50 | Belarus | 3,019.90 | NA |
| 51 | Sierra Leone | 2,961.70 | NA |
| 52 | Sierra Leone | 2,889.60 | NA |
| 53 | Belarus | 2,789.49 | NA |
| 54 | Sierra Leone | 2,701.30 | NA |
| 55 | Colombia | 2,358.60 | NA |
| 56 | Sierra Leone | 2,347.90 | NA |
| 57 | Colombia | 2,243.60 | NA |
| 58 | Uganda | 2,166.00 | NA |
| 59 | Madagascar | 2,161.40 | NA |
| 60 | Colombia | 2,157.60 | NA |
| 61 | Venezuela | 2,147.00 | NA |
| 62 | Venezuela | 2,147.00 | NA |
| 63 | Belarus | 2,145.00 | NA |
| 64 | Belarus | 2,144.60 | NA |
| 65 | Belarus | 2,130.00 | NA |
| 66 | Madagascar | 2,062.50 | NA |
| 67 | Uganda | 2,030.00 | NA |
| 68 | Colombia | 2,013.80 | NA |
| 69 | Madagascar | 1,956.20 | NA |
| 70 | Madagascar | 1,880.00 | NA |
| 71 | Colombia | 1,869.90 | NA |
| 72 | Uganda | 1,834.90 | NA |
| 73 | Korea, North | 1,800.00 | NA |
| 74 | Uganda | 1,685.80 | NA |
| 75 | Uganda | 1,658.10 | NA |
