CIA - The World Factbook --  Natural gas - exports   

Natural gas - exports compares the total natural gas exported in cubic meters (cu m).

| Rank | country | (cu m) | Date of Information |
| --- | --- | --- | --- |
| 1 | Russia | 196,000,000,000 | 2013 est. |
| 2 | Qatar | 113,700,000,000 | 2011 est. |
| 3 | Norway | 107,300,000,000 | 2012 est. |
| 4 | European Union | 93,750,000,000 | 2010 est. |
| 5 | Canada | 88,290,000,000 | 2012 est. |
| 6 | Netherlands | 63,420,000,000 | 2013 est. |
| 7 | Algeria | 52,020,000,000 | 2011 est. |
| 8 | United States | 45,840,000,000 | 2012 est. |
| 9 | Slovakia | 45,430,000,000 | 2012 est. |
| 10 | Bolivia | 44,940,000,000 | 2013 est. |
| 11 | Turkmenistan | 41,100,000,000 | 2012 est. |
| 12 | Indonesia | 38,670,000,000 | 2011 est. |
| 13 | Austria | 34,750,000,000 | 2012 est. |
| 14 | Malaysia | 33,100,000,000 | 2011 est. |
| 15 | Australia | 30,270,000,000 | 2012 est. |
| 16 | Nigeria | 25,960,000,000 | 2011 est. |
| 17 | Poland | 25,010,000,000 | 2012 est. |
| 18 | Belgium | 21,180,000,000 | 2012 est. |
| 19 | Germany | 18,170,000,000 | 2012 est. |
| 20 | Trinidad and Tobago | 17,640,000,000 | 2011 est. |
| 21 | Uzbekistan | 13,400,000,000 | 2012 est. |
| 22 | Oman | 10,930,000,000 | 2011 est. |
| 23 | Egypt | 10,510,000,000 | 2011 est. |
| 24 | Kazakhstan | 9,700,000,000 | 2011 est. |
| 25 | Brunei | 9,420,000,000 | 2011 est. |
| 26 | Iran | 9,050,000,000 | 2011 est. |
| 27 | United Kingdom | 8,949,000,000 | 2013 est. |
| 28 | Yemen | 8,750,000,000 | 2011 est. |
| 29 | Peru | 8,730,000,000 | 2012 est. |
| 30 | Burma | 8,570,000,000 | 2011 est. |
| 31 | Switzerland | 8,494,000,000 | 2012 est. |
| 32 | France | 5,994,000,000 | 2012 est. |
| 33 | Azerbaijan | 5,550,000,000 | 2011 est. |
| 34 | Equatorial Guinea | 5,260,000,000 | 2011 est. |
| 35 | United Arab Emirates | 5,180,000,000 | 2011 est. |
| 36 | Spain | 4,414,000,000 | 2012 est. |
| 37 | Libya | 3,666,000,000 | 2011 est. |
| 38 | Mozambique | 3,300,000,000 | 2011 est. |
| 39 | Denmark | 2,983,000,000 | 2012 est. |
| 40 | Hungary | 2,837,000,000 | 2012 est. |
| 41 | Ukraine | 2,600,000,000 | 2010 est. |
| 42 | China | 2,400,000,000 | 2013 est. |
| 43 | Colombia | 2,110,000,000 | 2011 est. |
| 44 | Slovenia | 1,181,000,000 | 2012 est. |
| 45 | Turkey | 600,000,000 | 2012 est. |
| 46 | Brazil | 400,000,000 | 2012 est. |
| 47 | Croatia | 392,000,000 | 2013 est. |
| 48 | Italy | 324,000,000 | 2012 est. |
| 49 | Argentina | 200,000,000 | 2011 est. |
| 50 | Congo, Republic of the | 39,000,000 | 2012 est. |
| 51 | Mexico | 11,000,000 | 2012 est. |
| 52 | Czech Republic | 7,400,000 | 2012 est. |
| 53 | Aruba | 1 | 2011 est. |
| 54 | Antigua and Barbuda | 0 | 2011 est. |
| 55 | Afghanistan | 0 | 2011 est. |
| 56 | Albania | 0 | 2012 est. |
| 57 | Armenia | 0 | 2013 est. |
| 58 | Angola | 0 | 2011 est. |
| 59 | American Samoa | 0 | 2011 est. |
| 60 | Bahrain | 0 | 2011 est. |
| 61 | Barbados | 0 | 2011 est. |
| 62 | Botswana | 0 | 2011 est. |
| 63 | Bermuda | 0 | 2012 est. |
| 64 | Bahamas, The | 0 | 2011 est. |
| 65 | Bangladesh | 0 | 2011 est. |
| 66 | Belize | 0 | 2011 est. |
| 67 | Bosnia and Herzegovina | 0 | 2013 est. |
| 68 | Benin | 0 | 2011 est. |
| 69 | Belarus | 0 | 2011 est. |
| 70 | Solomon Islands | 0 | 2011 est. |
| 71 | Bhutan | 0 | 2011 est. |
| 72 | Bulgaria | 0 | 2011 est. |
| 73 | Burundi | 0 | 2011 est. |
| 74 | Cambodia | 0 | 2011 est. |
| 75 | Curacao | 0 | 2009 est. |
| 76 | Chad | 0 | 2011 est. |
| 77 | Sri Lanka | 0 | 2012 est. |
| 78 | Congo, Democratic Republic of the | 0 | 2011 est. |
| 79 | Chile | 0 | 2011 est. |
| 80 | Cayman Islands | 0 | 2011 est. |
| 81 | Cameroon | 0 | 2011 est. |
| 82 | Comoros | 0 | 2011 est. |
| 83 | Costa Rica | 0 | 2011 est. |
| 84 | Central African Republic | 0 | 2011 est. |
| 85 | Cuba | 0 | 2012 est. |
| 86 | Cabo Verde | 0 | 2011 est. |
| 87 | Cook Islands | 0 | 2011 est. |
| 88 | Cyprus | 0 | 2011 est. |
| 89 | Djibouti | 0 | 2011 est. |
| 90 | Dominica | 0 | 2011 est. |
| 91 | Dominican Republic | 0 | 2011 est. |
| 92 | Ecuador | 0 | 2011 est. |
| 93 | Ireland | 0 | 2011 est. |
| 94 | Estonia | 0 | 2012 est. |
| 95 | Eritrea | 0 | 2011 est. |
| 96 | El Salvador | 0 | 2011 est. |
| 97 | Ethiopia | 0 | 2011 est. |
| 98 | Finland | 0 | 2011 est. |
| 99 | Fiji | 0 | 2011 est. |
| 100 | Falkland Islands (Islas Malvinas) | 0 | 2011 est. |
| 101 | Faroe Islands | 0 | 2011 est. |
| 102 | French Polynesia | 0 | 2011 est. |
| 103 | Gambia, The | 0 | 2011 est. |
| 104 | Gabon | 0 | 2011 est. |
| 105 | Georgia | 0 | 2012 est. |
| 106 | Ghana | 0 | 2011 est. |
| 107 | Gibraltar | 0 | 2011 est. |
| 108 | Grenada | 0 | 2011 est. |
| 109 | Greenland | 0 | 2011 est. |
| 110 | Guam | 0 | 2011 est. |
| 111 | Greece | 0 | 2011 est. |
| 112 | Guatemala | 0 | 2011 est. |
| 113 | Guinea | 0 | 2011 est. |
| 114 | Guyana | 0 | 2011 est. |
| 115 | Haiti | 0 | 2011 est. |
| 116 | Hong Kong | 0 | 2013 est. |
| 117 | Honduras | 0 | 2011 est. |
| 118 | Iceland | 0 | 2011 est. |
| 119 | India | 0 | 2011 est. |
| 120 | Israel | 0 | 2011 est. |
| 121 | Cote d'Ivoire | 0 | 2011 est. |
| 122 | Iraq | 0 | 2011 est. |
| 123 | Japan | 0 | 2012 est. |
| 124 | Jamaica | 0 | 2011 est. |
| 125 | Jordan | 0 | 2011 est. |
| 126 | Kenya | 0 | 2011 est. |
| 127 | Kyrgyzstan | 0 | 2011 est. |
| 128 | Korea, North | 0 | 2011 est. |
| 129 | Kiribati | 0 | 2011 est. |
| 130 | Korea, South | 0 | 2012 est. |
| 131 | Kuwait | 0 | 2011 est. |
| 132 | Laos | 0 | 2011 est. |
| 133 | Lebanon | 0 | 2011 est. |
| 134 | Latvia | 0 | 2011 est. |
| 135 | Lithuania | 0 | 2012 est. |
| 136 | Liberia | 0 | 2011 est. |
| 137 | Lesotho | 0 | 2011 est. |
| 138 | Luxembourg | 0 | 2011 est. |
| 139 | Madagascar | 0 | 2011 est. |
| 140 | Macau | 0 | 2013 est. |
| 141 | Moldova | 0 | 2012 est. |
| 142 | Mongolia | 0 | 2011 est. |
| 143 | Montserrat | 0 | 2011 est. |
| 144 | Malawi | 0 | 2011 est. |
| 145 | Montenegro | 0 | 2011 est. |
| 146 | Macedonia | 0 | 2013 |
| 147 | Mali | 0 | 2011 est. |
| 148 | Morocco | 0 | 2011 est. |
| 149 | Mauritius | 0 | 2011 est. |
| 150 | Mauritania | 0 | 2011 est. |
| 151 | Malta | 0 | 2013 est. |
| 152 | Maldives | 0 | 2012 est. |
| 153 | New Caledonia | 0 | 2011 est. |
| 154 | Niue | 0 | 2011 est. |
| 155 | Niger | 0 | 2011 est. |
| 156 | Vanuatu | 0 | 2011 est. |
| 157 | Nepal | 0 | 2011 est. |
| 158 | Nauru | 0 | 2011 est. |
| 159 | Suriname | 0 | 2011 est. |
| 160 | Nicaragua | 0 | 2012 est. |
| 161 | New Zealand | 0 | 2012 est. |
| 162 | South Sudan | 0 | 2011 est. |
| 163 | Paraguay | 0 | 2011 est. |
| 164 | Pakistan | 0 | 2011 est. |
| 165 | Panama | 0 | 2011 est. |
| 166 | Portugal | 0 | 2011 est. |
| 167 | Papua New Guinea | 0 | 2011 est. |
| 168 | Guinea-Bissau | 0 | 2011 est. |
| 169 | Serbia | 0 | 2013 est. |
| 170 | Romania | 0 | 2012 est. |
| 171 | Philippines | 0 | 2011 est. |
| 172 | Puerto Rico | 0 | 2011 est. |
| 173 | Rwanda | 0 | 2011 est. |
| 174 | Saudi Arabia | 0 | 2011 est. |
| 175 | Saint Pierre and Miquelon | 0 | 2011 est. |
| 176 | Saint Kitts and Nevis | 0 | 2011 est. |
| 177 | Seychelles | 0 | 2011 est. |
| 178 | South Africa | 0 | 2011 est. |
| 179 | Senegal | 0 | 2011 est. |
| 180 | Saint Helena, Ascension, and Tristan da Cunha | 0 | 2011 est. |
| 181 | Sierra Leone | 0 | 2011 est. |
| 182 | Singapore | 0 | 2012 est. |
