CIA - The World Factbook 2000 -- Population below poverty line

| Country | Population below poverty line |
| --- | --- |
| **Afghanistan** | NA% |
| **Albania** | 19.6% (1996 est.) |
| **Algeria** | 23% (1999 est.) |
| **American Samoa** | NA% |
| **Andorra** | NA% |
| **Angola** | NA% |
| **Anguilla** | NA% |
| **Antigua and Barbuda** | NA% |
| **Argentina** | 36% (1998 est.) |
| **Armenia** | 45% (1999 est.) |
| **Aruba** | NA% |
| **Australia** | NA% |
| **Austria** | NA% |
| **Azerbaijan** | 60% (1999 est.) |
| **Bahamas, The** | NA% |
| **Bahrain** | NA% |
| **Bangladesh** | 35.6% (FY95/96 est.) |
| **Barbados** | NA% |
| **Belarus** | 22% (1995 est.) |
| **Belgium** | 4% |
| **Belize** | NA% |
| **Benin** | 33% (1995 est.) |
| **Bermuda** | NA% |
| **Bhutan** | NA% |
| **Bolivia** | 70% (1999 est.) |
| **Bosnia and Herzegovina** | NA% |
| **Botswana** | 47% (1999 est.) |
| **Brazil** | 17.4% (1990 est.) |
| **British Virgin Islands** | NA% |
| **Brunei** | NA% |
| **Bulgaria** | NA% |
| **Burkina Faso** | NA% |
| **Burma** | 23% (1997 est.) |
| **Burundi** | 36.2% (1990 est.) |
| **Cambodia** | 36% (1997 est.) |
| **Cameroon** | 40% (1984 est.) |
| **Canada** | NA% |
| **Cape Verde** | NA% |
| **Cayman Islands** | NA% |
| **Central African Republic** | NA% |
| **Chad** | NA% |
| **Chile** | 22% (1998 est.) |
| **China** | 10% (1999 est.) |
| **Christmas Island** | NA% |
| **Cocos (Keeling) Islands** | NA% |
| **Colombia** | 17.7% (1992 est.) |
| **Comoros** | NA% |
| **Congo, Democratic Republic of the** | NA% |
| **Congo, Republic of the** | NA% |
| **Cook Islands** | NA% |
| **Costa Rica** | NA% |
| **Cote d'Ivoire** | NA% |
| **Croatia** | NA% |
| **Cuba** | NA% |
| **Cyprus** | NA% |
| **Czech Republic** | NA% |
| **Denmark** | NA% |
| **Djibouti** | NA% |
| **Dominica** | NA% |
| **Dominican Republic** | 25% (1999 est.) |
| **Ecuador** | 50% (1999 est.) |
| **Egypt** | NA% |
| **El Salvador** | 48% (1999 est.) |
| **Equatorial Guinea** | NA% |
| **Eritrea** | NA% |
| **Estonia** | 6.3% (1994 est.) |
| **Ethiopia** | NA% |
| **Falkland Islands (Islas Malvinas)** | NA% |
| **Faroe Islands** | NA% |
| **Fiji** | NA% |
| **Finland** | NA% |
| **France** | NA% |
| **French Guiana** | NA% |
| **French Polynesia** | NA% |
| **Gabon** | NA% |
| **Gambia, The** | NA% |
| **Gaza Strip** | NA% |
| **Georgia** | 60% (1999 est.) |
| **Germany** | NA% |
| **Ghana** | 31.4% (1992 est.) |
| **Gibraltar** | NA% |
| **Greece** | NA% |
| **Greenland** | NA% |
| **Grenada** | NA% |
| **Guadeloupe** | NA% |
| **Guam** | NA% |
| **Guatemala** | 75% |
| **Guernsey** | NA% |
| **Guinea** | NA% |
| **Guinea-Bissau** | 50% (1991 est.) |
| **Guyana** | NA% |
| **Haiti** | 80% (1998 est.) |
| **Holy See (Vatican City)** | NA% |
| **Honduras** | 50% (1992 est.) |
| **Hong Kong** | NA% |
| **Hungary** | 25.3% (1993 est.) |
| **Iceland** | NA% |
| **India** | 35% (1994 est.) |
| **Indonesia** | NA% |
| **Iran** | 53% (1996 est.) |
| **Iraq** | NA% |
| **Ireland** | 10% (1997 est.) |
| **Israel** | NA% |
| **Italy** | NA% |
| **Jamaica** | 34.2% (1992 est.) |
| **Japan** | NA% |
| **Jersey** | NA% |
| **Jordan** | 30% (1998 est.) |
| **Kazakhstan** | 35% (1999 est.) |
| **Kenya** | 42% (1992 est.) |
| **Kiribati** | NA% |
| **Korea, North** | NA% |
| **Korea, South** | NA% |
| **Kuwait** | NA% |
| **Kyrgyzstan** | 40% (1993 est.) |
| **Laos** | 46.1% (1993 est.) |
| **Latvia** | NA% |
| **Lebanon** | 28% (1999 est.) |
| **Lesotho** | 49.2% (1993 est.) |
| **Liberia** | 80% |
| **Libya** | NA% |
| **Liechtenstein** | NA% |
| **Lithuania** | NA% |
| **Luxembourg** | NA% |
| **Macau** | NA% |
| **Macedonia, The Former Yugoslav Republic of** | NA% |
| **Madagascar** | NA% |
| **Malawi** | 54% (1990-91 est.) |
| **Malaysia** | 6.8% (1997 est.) |
| **Maldives** | NA% |
| **Mali** | NA% |
| **Malta** | NA% |
| **Man, Isle of** | NA% |
| **Marshall Islands** | NA% |
| **Martinique** | NA% |
| **Mauritania** | 57% (1990 est.) |
| **Mauritius** | 10.6% (1992 est.) |
| **Mayotte** | NA% |
| **Mexico** | 27% (1998 est.) |
| **Micronesia, Federated States of** | NA% |
| **Moldova** | 75% (1999 est.) |
| **Monaco** | NA% |
