CIA - The World Factbook 2002 -- Field Listing - Population below poverty line

| Country | Population below poverty line (%) |
| --- | --- |
| **Afghanistan** | NA% |
| **Albania** | 30% (2001 est.) |
| **Algeria** | 23% (1999 est.) |
| **American Samoa** | NA% |
| **Andorra** | NA% |
| **Angola** | NA% |
| **Anguilla** | NA% |
| **Antigua and Barbuda** | NA% |
| **Argentina** | 37% (2001 est.) |
| **Armenia** | 55% (2001 est.) |
| **Aruba** | NA% |
| **Australia** | NA% |
| **Austria** | NA% |
| **Azerbaijan** | 49% (2002) |
| **Bahamas, The** | NA% |
| **Bahrain** | NA% |
| **Bangladesh** | 36% |
| **Barbados** | NA% |
| **Belarus** | 22% (1995 est.) |
| **Belgium** | 4% |
| **Belize** | 33% (1999 est.) |
| **Benin** | 37% (2001 est.) |
| **Bermuda** | NA% |
| **Bhutan** | NA% |
| **Bolivia** | 70% (1999 est.) |
| **Bosnia and Herzegovina** | NA% |
| **Botswana** | 47% (2000 est.) |
| **Brazil** | 22% (1998 est.) |
| **British Virgin Islands** | NA% |
| **Brunei** | NA% |
| **Bulgaria** | 35% (2000 est.) |
| **Burkina Faso** | 45% (2001 est.) |
| **Burma** | 25% (2000 est.) |
| **Burundi** | 70% (2001 est.) |
| **Cambodia** | 36% (1997 est.) |
| **Cameroon** | 48% (2000 est.) |
| **Canada** | NA% |
| **Cape Verde** | 30% (2000) |
| **Cayman Islands** | NA% |
| **Central African Republic** | NA% |
| **Chad** | 80% (2001 est.) |
| **Chile** | 22% (1998 est.) |
| **China** | 10% (2001 est.) |
| **Christmas Island** | NA% |
| **Cocos (Keeling) Islands** | NA% |
| **Colombia** | 55% (2001) (2001) |
| **Comoros** | 60% (2001 est.) |
| **Congo, Democratic Republic of the** | NA% |
| **Congo, Republic of the** | NA% |
| **Cook Islands** | NA% |
| **Costa Rica** | 21% (1999 est.) |
| **Cote d'Ivoire** | NA% |
| **Croatia** | NA% |
| **Cuba** | NA% |
| **Cyprus** | NA% |
| **Czech Republic** | NA% |
| **Denmark** | NA% |
| **Djibouti** | 50% (2001 est.) |
| **Dominica** | NA% |
| **Dominican Republic** | 25% |
| **East Timor** | 42% (2002 est.) |
| **Ecuador** | 70% (2001 est.) |
| **Egypt** | 23% (FY95/96 est.) |
| **El Salvador** | 48% (1999 est.) |
| **Equatorial Guinea** | NA% |
| **Eritrea** | NA% |
| **Estonia** | NA% (2000) |
| **Ethiopia** | 64% (1996) |
| **Falkland Islands (Islas Malvinas)** | NA% |
| **Faroe Islands** | NA% |
| **Fiji** | 26% (1990-91 ) |
| **Finland** | NA% |
| **France** | NA% |
| **French Guiana** | NA% |
| **French Polynesia** | NA% |
| **Gabon** | NA% |
| **Gambia, The** | NA% |
| **Gaza Strip** | 1% 60% (2001 est.) |
| **Georgia** | 54% (2001 est.) |
| **Germany** | NA% |
| **Ghana** | 31% (1992 est.) |
| **Gibraltar** | NA% |
| **Greece** | NA% |
| **Greenland** | NA% |
| **Grenada** | NA% |
| **Guadeloupe** | NA% |
| **Guam** | 23% (2001 est.) |
| **Guatemala** | 60% (2000 est.) |
| **Guernsey** | NA% |
| **Guinea** | 40% (1994 est.) |
| **Guinea-Bissau** | NA% |
| **Guyana** | NA% |
| **Haiti** | 80% (1998 est.) |
| **Holy See (Vatican City)** | NA% |
| **Honduras** | 53% (1993 est.) |
| **Hong Kong** | NA% |
| **Hungary** | 9% (1993 est.) |
| **Iceland** | NA% |
| **India** | 25% (2002 est.) |
| **Indonesia** | 27% (1999) |
| **Iran** | 53% (1996 est.) |
| **Iraq** | NA% |
| **Ireland** | 10% (1997 est.) |
| **Israel** | NA% |
| **Italy** | NA% |
| **Jamaica** | 34% (1992 est.) |
| **Japan** | NA% |
| **Jersey** | NA% |
| **Jordan** | 30% (2001 est.) |
| **Kazakhstan** | 26% (2001 est.) |
| **Kenya** | 50% (2000 est.) |
| **Kiribati** | NA% |
| **Korea, North** | NA% |
| **Korea, South** | 4% (2001 est.) |
| **Kuwait** | NA% |
| **Kyrgyzstan** | 55% (2001 est.) |
| **Laos** | 40% (2001 est.) |
| **Latvia** | NA% |
| **Lebanon** | 28% (1999 est.) |
| **Lesotho** | 49% (1999 est.) |
| **Liberia** | 80% |
| **Libya** | NA% |
| **Liechtenstein** | NA% |
| **Lithuania** | NA% |
| **Luxembourg** | NA% |
| **Macau** | NA% |
| **Macedonia, The Former Yugoslav Republic of** | 24% (2001 est.) |
| **Madagascar** | 70% (1994 est.) |
| **Malawi** | 54% (FY90/91 est. ) |
| **Malaysia** | 8% (1998 est.) |
| **Maldives** | NA% |
| **Mali** | 64% average; 30% of the total population living in urban areas; 76% of the total population living in rural areas) (2001 est.) |
| **Malta** | NA% |
| **Man, Isle of** | NA% |
| **Marshall Islands** | NA% |
