CIA -- The World Factbook -- Population below poverty line

| Country | Background |
| --- | --- |
| **Afghanistan** | NA% |
| **Albania** | 19.6% (1996 est.) |
| **Algeria** | 23% (1999 est.) |
| **American Samoa** | NA% |
| **Andorra** | NA% |
| **Angola** | NA% |
| **Anguilla** | NA% |
| **Antigua and Barbuda** | NA% |
| **Argentina** | 37% (1999 est.) |
| **Armenia** | 45% (1999 est.) |
| **Aruba** | NA% |
| **Australia** | NA% |
| **Austria** | NA% |
| **Azerbaijan** | 60% (2000 est.) |
| **Bahamas, The** | NA% |
| **Bahrain** | NA% |
| **Bangladesh** | 35.6% (FY95/96 est.) |
| **Barbados** | NA% |
| **Belarus** | 22% (1995 est.) |
| **Belgium** | 4% |
| **Belize** | 33% (1999 est.) |
| **Benin** | 37.2% (1999 est.) |
| **Bermuda** | NA% |
| **Bhutan** | NA% |
| **Bolivia** | 70% (1999 est.) |
| **Bosnia and Herzegovina** | NA% |
| **Botswana** | 47% (2000 est.) |
| **Brazil** | 17.4% (1990 est.) |
| **British Virgin Islands** | NA% |
| **Brunei** | NA% |
| **Bulgaria** | 35% (2000 est.) |
| **Burkina Faso** | NA% |
| **Burma** | 23% (1997 est.) |
| **Burundi** | 36.2% (1990 est.) |
| **Cambodia** | 36% (1997 est.) |
| **Cameroon** | 48% (2000 est.) |
| **Canada** | NA% |
| **Cape Verde** | NA% |
| **Cayman Islands** | NA% |
| **Central African Republic** | NA% |
| **Chad** | 64% (1995 est.) |
| **Chile** | 22% (1998 est.) |
| **China** | 10% (1999 est.) |
| **Christmas Island** | NA% |
| **Cocos (Keeling) Islands** | NA% |
| **Colombia** | 55% (1999) |
| **Comoros** | NA% |
| **Congo, Democratic Republic of the** | NA% |
| **Congo, Republic of the** | NA% |
| **Cook Islands** | NA% |
| **Costa Rica** | 20.6% (1999 est.) |
| **Cote d'Ivoire** | NA% |
| **Croatia** | 4% (1999 est.) |
| **Cuba** | NA% |
| **Cyprus** | NA% |
| **Czech Republic** | NA% |
| **Denmark** | NA% |
| **Djibouti** | NA% |
| **Dominica** | NA% |
| **Dominican Republic** | 25% (1999 est.) |
| **Ecuador** | 50% (1999 est.) |
| **Egypt** | 22.9% (FY95/96 est.) |
| **El Salvador** | 48% (1999 est.) |
| **Equatorial Guinea** | NA% |
| **Eritrea** | NA% |
| **Estonia** | 8.9% (1995 est.) |
| **Ethiopia** | NA% |
| **Falkland Islands (Islas Malvinas)** | NA% |
| **Faroe Islands** | NA% |
| **Fiji** | NA% |
| **Finland** | NA% |
| **France** | NA% |
| **French Guiana** | NA% |
| **French Polynesia** | NA% |
| **Gabon** | NA% |
| **Gambia, The** | NA% |
| **Gaza Strip** | NA% |
| **Georgia** | 60% (1999 est.) |
| **Germany** | NA% |
| **Ghana** | 31.4% (1992 est.) |
| **Gibraltar** | NA% |
| **Greece** | NA% |
| **Greenland** | NA% |
| **Grenada** | NA% |
| **Guadeloupe** | NA% |
| **Guam** | NA% |
| **Guatemala** | 60% (2000 est.) |
| **Guernsey** | NA% |
| **Guinea** | 40% (1994 est.) |
| **Guinea-Bissau** | 50% (1991 est.) |
| **Guyana** | NA% |
| **Haiti** | 80% (1998 est.) |
| **Holy See (Vatican City)** | NA% |
| **Honduras** | 53% (1993 est.) |
| **Hong Kong** | NA% |
| **Hungary** | 8.6% (1993 est.) |
| **Iceland** | NA% |
| **India** | 35% (1994 est.) |
| **Indonesia** | 20% (1998) |
| **Iran** | 53% (1996 est.) |
| **Iraq** | NA% |
| **Ireland** | 10% (1997 est.) |
| **Israel** | NA% |
| **Italy** | NA% |
| **Jamaica** | 34.2% (1992 est.) |
| **Japan** | NA% |
| **Jersey** | NA% |
| **Jordan** | 30% (1998 est.) |
| **Kazakhstan** | 35% (1999 est.) |
| **Kenya** | 42% (1992 est.) |
| **Kiribati** | NA% |
| **Korea, North** | NA% |
| **Korea, South** | NA% |
| **Kuwait** | NA% |
| **Kyrgyzstan** | 51% (1997 est.) |
| **Laos** | 46.1% (1993 est.) |
| **Latvia** | NA% |
| **Lebanon** | 28% (1999 est.) |
| **Lesotho** | 49.2% (1999 est.) |
| **Liberia** | 80% |
| **Libya** | NA% |
| **Liechtenstein** | NA% |
| **Lithuania** | NA% |
| **Luxembourg** | NA% |
| **Macau** | NA% |
| **Macedonia, The Former Yugoslav Republic of** | 25% (2000 est.) |
| **Madagascar** | 70% (1994 est.) |
| **Malawi** | 54% (FY90/91 est.) |
| **Malaysia** | 6.8% (1997 est.) |
| **Maldives** | NA% |
| **Mali** | NA% |
| **Malta** | NA% |
| **Man, Isle of** | NA% |
| **Marshall Islands** | NA% |
| **Martinique** | NA% |
| **Mauritania** | 50% (1996 est.) |
| **Mauritius** | 10.6% (1992 est.) |
| **Mayotte** | NA% |
