CIA - The World Factbook -- Field Listing - Population below poverty line

| Country | Population below poverty line (%) |
| --- | --- |
| **Afghanistan** | NA% |
| **Albania** | 30% (2001 est.) |
| **Algeria** | 23% (1999 est.) |
| **American Samoa** | NA% |
| **Andorra** | NA% |
| **Angola** | NA% |
| **Anguilla** | NA% |
| **Antigua and Barbuda** | NA% |
| **Argentina** | 37% (2001 est.) |
| **Armenia** | 50% (2002 est.) |
| **Aruba** | NA% |
| **Australia** | NA% |
| **Austria** | NA% |
| **Azerbaijan** | 49% (2002 est.) |
| **Bahamas, The** | NA% |
| **Bahrain** | NA% |
| **Bangladesh** | 35.6% (FY 95/96 est.) |
| **Barbados** | NA% |
| **Belarus** | 22% (1995 est.) |
| **Belgium** | 4% |
| **Belize** | 33% (1999 est.) |
| **Benin** | 37% (2001 est.) |
| **Bermuda** | NA% |
| **Bhutan** | NA% |
| **Bolivia** | 70% (1999 est.) |
| **Bosnia and Herzegovina** | NA% |
| **Botswana** | 47% |
| **Brazil** | 22% (1998 est.) |
| **British Virgin Islands** | NA% |
| **Brunei** | NA% |
| **Bulgaria** | 12.6% (2001 est.) |
| **Burkina Faso** | 45% (2001 est.) |
| **Burma** | 25% (2000 est.) |
| **Burundi** | 70% (2002 est.) |
| **Cambodia** | 36% (1997 est.) |
| **Cameroon** | 48% (2000 est.) |
| **Canada** | NA% |
| **Cape Verde** | 30% (2000) |
| **Cayman Islands** | NA% |
| **Central African Republic** | NA% |
| **Chad** | 80% (2001 est.) |
| **Chile** | 21% (1998 est.) |
| **China** | 10% (2001 est.) |
| **Christmas Island** | NA% |
| **Cocos (Keeling) Islands** | NA% |
| **Colombia** | 55% (2001) |
| **Comoros** | 60% (2002 est.) |
| **Congo, Democratic Republic of the** | NA% |
| **Congo, Republic of the** | NA% |
| **Cook Islands** | NA% |
| **Costa Rica** | 20.6% (1999 est.) |
| **Cote d'Ivoire** | 37% (1995) |
| **Croatia** | NA% |
| **Cuba** | NA% |
| **Cyprus** | NA% |
| **Czech Republic** | NA% |
| **Denmark** | NA% |
| **Djibouti** | 50% (2001 est.) |
| **Dominica** | 30% (2002 est.) |
| **Dominican Republic** | 25% |
| **East Timor** | 42% (2002 est.) |
| **Ecuador** | 70% (2001 est.) |
| **Egypt** | 22.9% (FY 95/96 est.) |
| **El Salvador** | 48% (1999 est.) |
| **Equatorial Guinea** | NA% |
| **Eritrea** | 53% (1993/94) |
| **Estonia** | NA% (2000) |
| **Ethiopia** | 45% (2002 est.) |
| **Falkland Islands (Islas Malvinas)** | NA% |
| **Faroe Islands** | NA% |
| **Fiji** | 25.5% (1990-91) |
| **Finland** | NA% |
| **France** | 6.4% (1999) |
| **French Guiana** | NA% |
| **French Polynesia** | NA% |
| **Gabon** | NA% |
| **Gambia, The** | NA% |
| **Gaza Strip** | 60% (2002 est.) |
| **Georgia** | 54% (2001 est.) |
| **Germany** | NA% |
| **Ghana** | 31.4% (1992 est.) |
| **Gibraltar** | NA% |
| **Greece** | NA% |
| **Greenland** | NA% |
| **Grenada** | 32% (2000) |
| **Guadeloupe** | NA% |
| **Guam** | 23% (2001 est.) |
| **Guatemala** | 75% (2002 est.) |
| **Guernsey** | NA% |
| **Guinea** | 40% (1994 est.) |
| **Guinea-Bissau** | NA% |
| **Guyana** | NA% |
| **Haiti** | 80% (2002 est.) |
| **Holy See (Vatican City)** | NA% |
| **Honduras** | 53% (1993 est.) |
| **Hong Kong** | NA% |
| **Hungary** | 8.6% (1993 est.) |
| **Iceland** | NA% |
| **India** | 25% (2002 est.) |
| **Indonesia** | 27% (1999) |
| **Iran** | 40% (2002 est.) |
| **Iraq** | NA |
| **Ireland** | 10% (1997 est.) |
| **Israel** | 18% (2001 est.) |
| **Italy** | NA% |
| **Jamaica** | 34.2% (1992 est.) |
| **Japan** | NA% |
| **Jersey** | NA% |
| **Jordan** | 30% (2001 est.) |
| **Kazakhstan** | 26% (2001 est.) |
| **Kenya** | 50% (2000 est.) |
| **Kiribati** | NA% |
| **Korea, North** | NA% |
| **Korea, South** | 4% (2001 est.) |
| **Kuwait** | NA% |
| **Kyrgyzstan** | 55% (2001 est.) |
| **Laos** | 40% (2002 est.) |
| **Latvia** | NA% |
| **Lebanon** | 28% (1999 est.) |
| **Lesotho** | 49% (1999) |
| **Liberia** | 80% |
| **Libya** | NA% |
| **Liechtenstein** | NA% |
| **Lithuania** | NA% |
| **Luxembourg** | NA% |
| **Macau** | NA% |
| **Macedonia, The Former Yugoslav Republic of** | 24% (2001 est.) |
| **Madagascar** | 71% (1999 est.) |
| **Malawi** | 54% (FY 90/91 est.) |
| **Malaysia** | 8% (1998 est.) |
| **Maldives** | NA% |
| **Mali** | 64% average; 30% of the total population living in urban areas; 70% of the total population living in rural areas) (2001 est.) |
