CIA - The World Factbook --  Maternal mortality rate   

The maternal mortality rate (MMR) is the annual number of female deaths per 100,000 live births from any cause related to or aggravated by pregnancy or its management (excluding accidental or incidental causes). The MMR includes deaths during pregnancy, childbirth, or within 42 days of termination of pregnancy, irrespective of the duration and site of the pregnancy, for a specified year.

| Rank | country | (deaths/100,000 live births) | Date of Information |
| --- | --- | --- | --- |
| 1 | Chad | 1,100.00 | 2010 |
| 2 | Somalia | 1,000.00 | 2010 |
| 3 | Sierra Leone | 890.00 | 2010 |
| 4 | Central African Republic | 890.00 | 2010 |
| 5 | Burundi | 800.00 | 2010 |
| 6 | Guinea-Bissau | 790.00 | 2010 |
| 7 | Liberia | 770.00 | 2010 |
| 8 | Sudan | 730.00 | 2010 |
| 9 | Cameroon | 690.00 | 2010 |
| 10 | Nigeria | 630.00 | 2010 |
| 11 | Lesotho | 620.00 | 2010 |
| 12 | Guinea | 610.00 | 2010 |
| 13 | Niger | 590.00 | 2010 |
| 14 | Zimbabwe | 570.00 | 2010 |
| 15 | Congo, Republic of the | 560.00 | 2010 |
| 16 | Mali | 540.00 | 2010 |
| 17 | Congo, Democratic Republic of the | 540.00 | 2010 |
| 18 | Mauritania | 510.00 | 2010 |
| 19 | Mozambique | 490.00 | 2010 |
| 20 | Laos | 470.00 | 2010 |
| 21 | Afghanistan | 460.00 | 2010 |
| 22 | Malawi | 460.00 | 2010 |
| 23 | Tanzania | 460.00 | 2010 |
| 24 | Angola | 450.00 | 2010 |
| 25 | Zambia | 440.00 | 2010 |
| 26 | Cote d'Ivoire | 400.00 | 2010 |
| 27 | Senegal | 370.00 | 2010 |
| 28 | Gambia, The | 360.00 | 2010 |
| 29 | Kenya | 360.00 | 2010 |
| 30 | Benin | 350.00 | 2010 |
| 31 | Ethiopia | 350.00 | 2010 |
| 32 | Ghana | 350.00 | 2010 |
| 33 | Haiti | 350.00 | 2010 |
| 34 | Rwanda | 340.00 | 2010 |
| 35 | Swaziland | 320.00 | 2010 |
| 36 | Uganda | 310.00 | 2010 |
| 37 | Timor-Leste | 300.00 | 2010 |
| 38 | Burkina Faso | 300.00 | 2010 |
| 39 | Togo | 300.00 | 2010 |
| 40 | South Africa | 300.00 | 2010 |
| 41 | Guyana | 280.00 | 2010 |
| 42 | Comoros | 280.00 | 2010 |
| 43 | Pakistan | 260.00 | 2010 |
| 44 | Cambodia | 250.00 | 2010 |
| 45 | Bangladesh | 240.00 | 2010 |
| 46 | Equatorial Guinea | 240.00 | 2010 |
| 47 | Eritrea | 240.00 | 2010 |
| 48 | Madagascar | 240.00 | 2010 |
| 49 | Gabon | 230.00 | 2010 |
| 50 | Papua New Guinea | 230.00 | 2010 |
| 51 | Indonesia | 220.00 | 2010 |
| 52 | Burma | 200.00 | 2010 |
| 53 | Djibouti | 200.00 | 2010 |
| 54 | India | 200.00 | 2010 |
| 55 | Namibia | 200.00 | 2010 |
| 56 | Yemen | 200.00 | 2010 |
| 57 | Belarus | 190.00 | 2010 |
| 58 | Bhutan | 180.00 | 2010 |
| 59 | Bolivia | 180.00 | 2008 |
| 60 | Nepal | 170.00 | 2010 |
| 61 | Botswana | 160.00 | 2010 |
| 62 | Dominican Republic | 150.00 | 2010 |
| 63 | Suriname | 130.00 | 2010 |
| 64 | Guatemala | 120.00 | 2010 |
| 65 | Tonga | 110.00 | 2010 |
| 66 | Ecuador | 110.00 | 2010 |
| 67 | Jamaica | 110.00 | 2010 |
| 68 | Vanuatu | 110.00 | 2010 |
| 69 | Micronesia, Federated States of | 100.00 | 2010 |
| 70 | Morocco | 100.00 | 2010 |
| 71 | Samoa | 100.00 | 2010 |
| 72 | Honduras | 100.00 | 2010 |
| 73 | Philippines | 99.00 | 2010 |
| 74 | Paraguay | 99.00 | 2010 |
| 75 | Algeria | 97.00 | 2010 |
| 76 | Nicaragua | 95.00 | 2010 |
| 77 | Solomon Islands | 93.00 | 2010 |
| 78 | Venezuela | 92.00 | 2010 |
| 79 | Panama | 92.00 | 2010 |
| 80 | Colombia | 92.00 | 2010 |
| 81 | El Salvador | 81.00 | 2010 |
| 82 | Korea, North | 81.00 | 2010 |
| 83 | Cape Verde | 79.00 | 2010 |
| 84 | Argentina | 77.00 | 2010 |
| 85 | Cuba | 73.00 | 2010 |
| 86 | Kyrgyzstan | 71.00 | 2010 |
| 87 | Sao Tome and Principe | 70.00 | 2010 |
| 88 | Syria | 70.00 | 2010 |
| 89 | Turkmenistan | 67.00 | 2010 |
| 90 | Georgia | 67.00 | 2010 |
| 91 | Peru | 67.00 | 2010 |
| 92 | Egypt | 66.00 | 2010 |
| 93 | Tajikistan | 65.00 | 2010 |
| 94 | West Bank | 64.00 | 2010 |
| 95 | Gaza Strip | 64.00 | 2010 |
| 96 | Iraq | 63.00 | 2010 |
| 97 | Jordan | 63.00 | 2010 |
| 98 | Mongolia | 63.00 | 2010 |
| 99 | Mauritius | 60.00 | 2010 |
| 100 | Maldives | 60.00 | 2010 |
| 101 | Vietnam | 59.00 | 2010 |
| 102 | Libya | 58.00 | 2010 |
| 103 | Tunisia | 56.00 | 2010 |
| 104 | Brazil | 56.00 | 2010 |
| 105 | Belize | 53.00 | 2010 |
| 106 | Kazakhstan | 51.00 | 2010 |
| 107 | Barbados | 51.00 | 2010 |
| 108 | Mexico | 50.00 | 2010 |
| 109 | Saint Vincent and the Grenadines | 48.00 | 2010 |
| 110 | Thailand | 48.00 | 2010 |
| 111 | Bahamas, The | 47.00 | 2010 |
| 112 | Trinidad and Tobago | 46.00 | 2010 |
| 113 | Azerbaijan | 43.00 | 2010 |
| 114 | Moldova | 41.00 | 2010 |
| 115 | Costa Rica | 40.00 | 2010 |
| 116 | China | 37.00 | 2010 |
| 117 | Sri Lanka | 35.00 | 2010 |
| 118 | Saint Lucia | 35.00 | 2010 |
| 119 | Latvia | 34.00 | 2010 |
| 120 | Russia | 34.00 | 2010 |
| 121 | Oman | 32.00 | 2010 |
| 122 | Ukraine | 32.00 | 2010 |
| 123 | Armenia | 30.00 | 2010 |
| 124 | Uruguay | 29.00 | 2010 |
| 125 | Malaysia | 29.00 | 2010 |
| 126 | Uzbekistan | 28.00 | 2010 |
| 127 | Albania | 27.00 | 2010 |
| 128 | Romania | 27.00 | 2010 |
| 129 | Fiji | 26.00 | 2010 |
| 130 | Lebanon | 25.00 | 2010 |
| 131 | Chile | 25.00 | 2010 |
| 132 | Grenada | 24.00 | 2010 |
| 133 | Saudi Arabia | 24.00 | 2010 |
| 134 | Brunei | 24.00 | 2010 |
| 135 | Iran | 21.00 | 2010 |
| 136 | United States | 21.00 | 2010 |
| 137 | Hungary | 21.00 | 2010 |
| 138 | Puerto Rico | 20.00 | 2010 |
| 139 | Bahrain | 20.00 | 2010 |
| 140 | Turkey | 20.00 | 2010 |
| 141 | Luxembourg | 20.00 | 2010 |
| 142 | Croatia | 17.00 | 2010 |
| 143 | Korea, South | 16.00 | 2010 |
| 144 | New Zealand | 15.00 | 2010 |
| 145 | Kuwait | 14.00 | 2010 |
| 146 | United Kingdom | 12.00 | 2010 |
| 147 | Slovenia | 12.00 | 2010 |
| 148 | United Arab Emirates | 12.00 | 2010 |
| 149 | Serbia | 12.00 | 2010 |
| 150 | Canada | 12.00 | 2010 |
| 151 | Denmark | 12.00 | 2010 |
| 152 | Bulgaria | 11.00 | 2010 |
| 153 | Macedonia | 10.00 | 2010 |
| 154 | Cyprus | 10.00 | 2010 |
