CIA - The World Factbook --  Public debt   

This entry records the cumulative total of all government borrowings less repayments that are denominated in a country's home currency. Public debt should not be confused with external debt, which reflects the foreign currency liabilities of both the private and public sector and must be financed out of foreign exchange earnings.

| Rank | country | (% of GDP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Japan | 218.90 | 2012 est. |
| 2 | Zimbabwe | 202.70 | 2012 est. |
| 3 | Greece | 161.30 | 2012 est. |
| 4 | Saint Kitts and Nevis | 144.00 | 2012 est. |
| 5 | Antigua and Barbuda | 130.00 | 2010 est. |
| 6 | Lebanon | 127.90 | 2012 est. |
| 7 | Jamaica | 127.30 | 2012 est. |
| 8 | Italy | 126.10 | 2012 est. |
| 9 | Portugal | 119.70 | 2012 est. |
| 10 | Iceland | 118.90 | 2012 est. |
| 11 | Eritrea | 118.00 | 2012 est. |
| 12 | Ireland | 118.00 | 2012 est. |
| 13 | Grenada | 110.00 | 2012 est. |
| 14 | Singapore | 106.50 | 2012 est. |
| 15 | Belgium | 101.10 | 2012 est. |
| 16 | Belize | 90.80 | 2012 est. |
| 17 | Sudan | 89.30 | 2012 est. |
| 18 | France | 89.10 | 2012 est. |
| 19 | United Kingdom | 88.70 | 2012 est. |
| 20 | Egypt | 85.00 | 2012 est. |
| 21 | Canada | 84.10 | 2012 est. |
| 22 | Spain | 83.20 | 2012 est. |
| 23 | Barbados | 83.10 | 2012 est. |
| 24 | Cape Verde | 83.10 | 2012 est. |
| 25 | Hungary | 81.30 | 2012 est. |
| 26 | Cyprus | 80.90 | 2012 est. |
| 27 | Germany | 80.50 | 2012 est. |
| 28 | Sri Lanka | 79.00 | 2012 est. |
| 29 | Dominica | 78.00 | 2009 est. |
| 30 | Saint Lucia | 77.00 | 2012 est. |
| 31 | Malta | 77.00 | 2012 est. |
| 32 | Sao Tome and Principe | 76.50 | 2012 est. |
| 33 | Israel | 74.40 | 2012 est. |
| 34 | Austria | 74.30 | 2012 est. |
| 35 | United States | 73.60 | 2012 est. |
| 36 | Burundi | 72.30 | 2012 est. |
| 37 | Morocco | 71.70 | 2012 est. |
| 38 | Nicaragua | 70.50 | 2011 est. |
| 39 | Netherlands | 68.70 | 2012 est. |
| 40 | Saint Vincent and the Grenadines | 68.00 | 2011 est. |
| 41 | Croatia | 66.10 | 2012 est. |
| 42 | Guyana | 66.10 | 2012 est. |
| 43 | Bhutan | 64.00 | 2011 est. |
| 44 | Mauritius | 61.80 | 2012 est. |
| 45 | Sierra Leone | 60.80 | 2012 est. |
| 46 | Cote d'Ivoire | 60.80 | 2012 est. |
| 47 | Albania | 60.60 | 2012 est. |
| 48 | Serbia | 60.00 | 2012 est. |
| 49 | Jordan | 59.10 | 2012 est. |
| 50 | El Salvador | 57.40 | 2012 est. |
| 51 | Uruguay | 57.20 | 2012 est. |
| 52 | Bahrain | 56.20 | 2012 est. |
