CIA - The World Factbook --  PUBLIC DEBT

Public debt compares the cumulative total of all government borrowings less repayments that are denominated in a country's home currency. Public debt should not be confused with external debt.

| Rank | Country | (% OF GDP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Japan | 227.70 | 2014 est. |
| 2 | Zimbabwe | 181.00 | 2014 est. |
| 3 | Greece | 174.50 | 2014 est. |
| 4 | Lebanon | 142.40 | 2014 est. |
| 5 | Italy | 134.10 | 2014 est. |
| 6 | Jamaica | 132.00 | 2014 est. |
| 7 | Portugal | 131.00 | 2014 est. |
| 8 | Cyprus | 119.40 | 2014 est. |
| 9 | Ireland | 118.90 | 2014 est. |
| 10 | Grenada | 110.00 | 2012 est. |
| 11 | Singapore | 106.70 | 2014 est. |
| 12 | Belgium | 101.90 | 2014 est. |
| 13 | Eritrea | 101.30 | 2014 est. |
| 14 | Barbados | 101.20 | 2014 est. |
| 15 | Spain | 97.60 | 2014 est. |
| 16 | France | 95.50 | 2014 est. |
| 17 | Iceland | 94.00 | 2014 est. |
| 18 | Egypt | 93.80 | 2014 est. |
| 19 | Puerto Rico | 93.60 | 2014 est. |
| 20 | Canada | 92.60 | 2014 est. |
| 21 | Bhutan | 91.50 | 2014 est. |
| 22 | Jordan | 90.00 | 2014 est. |
| 23 | Antigua and Barbuda | 89.00 | 2012 est. |
| 24 | United Kingdom | 86.60 | 2014 est. |
| 25 | Cabo Verde | 86.20 | 2012 est. |
| 26 | Saint Kitts and Nevis | 83.00 | 2013 est. |
| 27 | Austria | 80.20 | 2014 est. |
| 28 | Belize | 79.60 | 2014 est. |
| 29 | Hungary | 78.20 | 2014 est. |
| 30 | Sri Lanka | 78.20 | 2014 est. |
| 31 | Sao Tome and Principe | 77.10 | 2014 est. |
| 32 | Saint Lucia | 77.00 | 2012 est. |
| 33 | Morocco | 76.60 | 2014 est. |
| 34 | Malta | 75.30 | 2014 est. |
| 35 | Germany | 74.70 | 2014 est. |
| 36 | Ghana | 72.70 | 2014 est. |
| 37 | Albania | 71.40 | 2014 est. |
| 38 | Sudan | 71.30 | 2014 est. |
| 39 | United States | 71.20 | 2014 est. |
| 40 | Croatia | 70.30 | 2014 est. |
| 41 | Dominica | 70.00 | 2012 est. |
| 42 | Netherlands | 69.40 | 2014 est. |
| 43 | Israel | 67.40 | 2014 est. |
| 44 | Saint Vincent and the Grenadines | 67.00 | 2013 est. |
| 45 | Aruba | 67.00 | 2013 |
| 46 | Ukraine | 66.20 | 2014 est. |
| 47 | Serbia | 65.00 | 2014 est. |
| 48 | Uruguay | 64.70 | 2014 est. |
| 49 | Seychelles | 64.50 | 2014 est. |
| 50 | Pakistan | 64.30 | FY2014 est. |
| 51 | El Salvador | 63.40 | 2014 est. |
| 52 | Mauritius | 61.40 | 2014 est. |
| 53 | Slovenia | 59.80 | 2014 est. |
| 54 | Finland | 59.60 | 2014 est. |
| 55 | Costa Rica | 59.40 | 2014 est. |
| 56 | Brazil | 59.30 | 2014 est. |
| 57 | Kenya | 58.90 | 2014 est. |
| 58 | Slovakia | 58.50 | 2014 est. |
| 59 | Guyana | 58.00 | 2014 est. |
| 60 | Bahamas, The | 57.60 | 2013 est. |
| 61 | Syria | 57.30 | 2014 est. |
| 62 | Ethiopia | 55.10 | 2014 est. |
| 63 | Malaysia | 54.20 | 2014 est. |
| 64 | Fiji | 52.30 | 2014 est. |
| 65 | Montenegro | 52.10 | 2012 est. |
