CIA - The World Factbook --  Public debt   

This entry records the cumulative total of all government borrowings less repayments that are denominated in a country's home currency. Public debt should not be confused with external debt, which reflects the foreign currency liabilities of both the private and public sector and must be financed out of foreign exchange earnings.

| Rank | country | (% of GDP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Zimbabwe | 265.60 | 2008 est. |
| 2 | Japan | 172.10 | 2008 est. |
| 3 | Lebanon | 160.30 | 2008 est. |
| 4 | Jamaica | 116.30 | 2008 est. |
| 5 | Italy | 105.80 | 2008 est. |
| 6 | Sudan | 100.00 | 2008 est. |
| 7 | Singapore | 99.20 | 2008 est. |
| 8 | Greece | 97.40 | 2008 est. |
| 9 | Belgium | 89.60 | 2008 est. |
| 10 | Egypt | 86.50 | 2008 est. |
| 11 | Bhutan | 81.40 | 2004 |
| 12 | Israel | 76.80 | 2008 est. |
| 13 | Sri Lanka | 76.70 | 2008 est. |
| 14 | Nicaragua | 74.80 | 2008 est. |
| 15 | Seychelles | 74.20 | 2008 est. |
| 16 | France | 68.10 | 2008 est. |
| 17 | Hungary | 67.70 | 2008 est. |
| 18 | Cote d'Ivoire | 66.40 | 2008 est. |
| 19 | Portugal | 66.40 | 2008 est. |
| 20 | Germany | 66.00 | 2008 est. |
| 21 | Canada | 63.80 | 2008 est. |
| 22 | Austria | 62.60 | 2008 est. |
| 23 | Jordan | 62.20 | 2008 est. |
| 24 | Kenya | 60.10 | 2008 est. |
| 25 | Uruguay | 59.80 | 2008 est. |
| 26 | Netherlands | 58.20 | 2008 est. |
| 27 | Philippines | 56.90 | 2008 est. |
| 28 | Iceland | 56.50 | 2008 est. |
| 29 | Mauritius | 56.50 | 2008 est. |
| 30 | India | 56.40 | 2008 est. |
| 31 | Norway | 55.70 | 2008 est. |
| 32 | Morocco | 55.60 | 2008 est. |
| 33 | Ghana | 53.80 | 2008 est. |
| 34 | Albania | 51.90 | 2008 est. |
| 35 | United Kingdom | 51.80 | 2008 est. |
| 36 | Pakistan | 51.20 | 2008 est. |
| 37 | Cyprus | 49.10 | 2008 est. |
| 38 | Malawi | 49.10 | 2008 est. |
| 39 | Vietnam | 48.80 | 2008 est. |
| 40 | Argentina | 48.60 | 2008 est. |
| 41 | Tunisia | 48.40 | 2008 est. |
| 42 | Aruba | 46.30 | 2005 |
| 43 | Bolivia | 45.20 | 2008 est. |
| 44 | Poland | 45.20 | 2008 est. |
| 45 | Panama | 45.00 | 2008 est. |
| 46 | El Salvador | 44.70 | 2008 est. |
| 47 | Ireland | 44.20 | 2008 est. |
| 48 | Croatia | 42.70 | 2008 est. |
| 49 | Colombia | 42.60 | 2008 est. |
| 50 | Costa Rica | 42.20 | 2008 est. |
| 51 | United Arab Emirates | 40.70 | 2008 est. |
| 52 | Spain | 40.70 | 2008 est. |
| 53 | Switzerland | 40.20 | 2008 est. |
| 54 | Bosnia and Herzegovina | 40.00 | 2008 est. |
| 55 | Turkey | 40.00 | 2008 est. |
| 56 | Malaysia | 40.00 | 2008 est. |
| 57 | Bangladesh | 39.40 | 2008 est. |
| 58 | Brazil | 38.80 | 2008 est. |
| 59 | Montenegro | 38.00 | 2006 |
| 60 | Thailand | 37.90 | 2008 est. |
| 61 | United States | 37.50 | 2008 est. |
| 62 | Dominican Republic | 37.40 | 2008 est. |
| 63 | Serbia | 37.00 | 2007 est. |
| 64 | Sweden | 36.70 | 2008 est. |
| 65 | Mexico | 35.80 | 2008 est. |
| 66 | Cuba | 34.80 | 2008 est. |
| 67 | Finland | 33.70 | 2008 est. |
| 68 | Denmark | 33.50 | 2008 est. |
| 69 | Papua New Guinea | 32.20 | 2008 est. |
| 70 | Ethiopia | 32.00 | 2008 est. |
| 71 | South Africa | 31.60 | 2008 est. |
| 72 | Zambia | 29.50 | 2008 est. |
| 73 | Taiwan | 29.40 | 2008 est. |
| 74 | Indonesia | 29.30 | 2008 est. |
| 75 | Bahrain | 28.70 | 2008 est. |
| 76 | Slovakia | 28.70 | 2008 est. |
| 77 | Yemen | 28.10 | 2008 est. |
| 78 | Czech Republic | 26.80 | 2008 est. |
| 79 | Trinidad and Tobago | 26.60 | 2008 est. |
| 80 | Guatemala | 25.70 | 2008 est. |
| 81 | Syria | 25.40 | 2008 est. |
| 82 | Ecuador | 25.10 | 2008 est. |
| 83 | Gabon | 24.70 | 2008 est. |
| 84 | Korea, South | 24.40 | 2008 est. |
| 85 | New Zealand | 24.40 | 2008 est. |
| 86 | Peru | 24.00 | 2008 est. |
| 87 | Tanzania | 23.20 | 2008 est. |
| 88 | Slovenia | 23.00 | 2008 est. |
| 89 | Moldova | 22.30 | 2008 est. |
| 90 | Mozambique | 21.40 | 2008 est. |
| 91 | Senegal | 21.40 | 2008 est. |
| 92 | Macedonia | 20.80 | 2008 est. |
| 93 | Honduras | 20.40 | 2008 est. |
| 94 | Namibia | 20.00 | 2008 est. |
| 95 | Paraguay | 19.90 | 2008 est. |
| 96 | Latvia | 19.50 | 2008 est. |
| 97 | Iran | 19.40 | 2008 est. |
| 98 | Saudi Arabia | 18.90 | 2008 est. |
| 99 | Uganda | 18.80 | 2008 est. |
| 100 | Gibraltar | 15.70 | 2005 est. |
| 101 | China | 15.60 | 2008 est. |
| 102 | Lithuania | 15.60 | 2008 est. |
| 103 | Angola | 15.50 | 2008 est. |
| 104 | Australia | 14.70 | 2008 est. |
| 105 | Romania | 14.70 | 2008 est. |
| 106 | Bulgaria | 14.10 | 2008 est. |
| 107 | Hong Kong | 13.90 | 2008 est. |
| 108 | Venezuela | 13.80 | 2008 est. |
| 109 | Cameroon | 13.50 | 2008 est. |
| 110 | Nigeria | 13.40 | 2008 est. |
| 111 | Uzbekistan | 10.40 | 2008 est. |
| 112 | Ukraine | 10.30 | 2008 est. |
| 113 | Luxembourg | 10.20 | 2008 est. |
| 114 | Kazakhstan | 8.60 | 2008 est. |
| 115 | Algeria | 8.40 | 2008 est. |
| 116 | Kuwait | 7.60 | 2008 est. |
| 117 | Russia | 6.50 | 2008 est. |
| 118 | Botswana | 5.90 | 2008 est. |
| 119 | Wallis and Futuna | 5.60 | 2004 est. |
| 120 | Chile | 5.20 | 2008 est. |
