CIA - The World Factbook -- Field Listing - Dependency status

| Country | Dependency status |
| --- | --- |
| **Akrotiri** | overseas territory of UK; administered by an administrator who is also the Commander, British Forces Cyprus |
| **American Samoa** | unincorporated and unorganized territory of the US; administered by the Office of Insular Affairs, US Department of the Interior |
| **Anguilla** | overseas territory of the UK |
| **Aruba** | part of the Kingdom of the Netherlands; full autonomy in internal affairs obtained in 1986 upon separation from the Netherlands Antilles; Dutch Government responsible for defense and foreign affairs |
| **Ashmore and Cartier Islands** | territory of Australia; administered by the Australian Department of Transport and Regional Services |
| **Baker Island** | unincorporated territory of the US; administered from Washington, DC, by the Fish and Wildlife Service of the US Department of the Interior as part of the National Wildlife Refuge system |
| **Bassas da India** | possession of France; administered by a high commissioner of the Republic, resident in Reunion |
| **Bermuda** | overseas territory of the UK |
| **Bouvet Island** | territory of Norway; administered by the Polar Department of the Ministry of Justice and Police from Oslo |
| **British Indian Ocean Territory** | overseas territory of the UK; administered by a commissioner, resident in the Foreign and Commonwealth Office in London |
| **British Virgin Islands** | overseas territory of the UK; internal self-governing |
| **Cayman Islands** | overseas territory of the UK |
| **Christmas Island** | territory of Australia; administered by the Australian Department of Transport and Regional Services |
| **Clipperton Island** | possession of France; administered by France from French Polynesia by a high commissioner of the Republic |
| **Cocos (Keeling) Islands** | territory of Australia; administered from Canberra by the Australian Department of Transport and Regional Services |
| **Cook Islands** | self-governing in free association with New Zealand; Cook Islands is fully responsible for internal affairs; New Zealand retains responsibility for external affairs and defense, in consultation with the Cook Islands |
| **Coral Sea Islands** | territory of Australia; administered from Canberra by the Department of the Environment, Sport, and Territories |
| **Dhekelia** | overseas territory of UK; administered by an administrator who is also the Commander, British Forces Cyprus |
| **Europa Island** | possession of France; administered by a high commissioner of the Republic, resident in Reunion |
| **Falkland Islands (Islas Malvinas)** | overseas territory of the UK; also claimed by Argentina |
| **Faroe Islands** | part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark since 1948 |
| **French Guiana** | overseas department of France |
| **French Polynesia** | overseas territory of France since 1946 |
| **French Southern and Antarctic Lands** | overseas territory of France since 1955; administered from Paris by Administrateur Superieur Michel CHAMPON (since 20 December 2004), assisted by Secretary General Jean-Yves HERMOSO (since NA) |
| **Gibraltar** | overseas territory of the UK |
| **Glorioso Islands** | possession of France; administered by a high commissioner of the Republic, resident in Reunion |
| **Greenland** | part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark since 1979 |
| **Guadeloupe** | overseas department of France |
| **Guam** | organized, unincorporated territory of the US with policy relations between Guam and the US under the jurisdiction of the Office of Insular Affairs, US Department of the Interior |
| **Guernsey** | British crown dependency |
| **Heard Island and McDonald Islands** | territory of Australia; administered from Canberra by the Australian Antarctic Division of the Department of the Environment and Heritage |
| **Hong Kong** | special administrative region of China |
| **Howland Island** | unincorporated territory of the US; administered from Washington, DC, by the Fish and Wildlife Service of the US Department of the Interior as part of the National Wildlife Refuge system |
| **Jan Mayen** | territory of Norway; since August 1994, administered from Oslo through the county governor (fylkesmann) of Nordland; however, authority has been delegated to a station commander of the Norwegian Defense Communication Service |
| **Jarvis Island** | unincorporated territory of the US; administered from Washington, DC, by the Fish and Wildlife Service of the US Department of the Interior as part of the National Wildlife Refuge system |
| **Jersey** | British crown dependency |
| **Johnston Atoll** | unincorporated territory of the US; administered from Honolulu, HI, by Pacific Air Forces, Hickam Air Force Base, and the Fish and Wildlife Service of the US Department of the Interior as part of the National Wildlife Refuge system |
| **Juan de Nova Island** | possession of France; administered by a high commissioner of the Republic, resident in Reunion |
| **Kingman Reef** | unincorporated territory of the US; administered from Washington, DC, by the US Fish and Wildlife Service of the Department of the Interior |
| | *note:* on 1 September 2000, the Department of the Interior accepted restoration of its administrative jurisdiction over Kingman Reef from the Department of the Navy; Executive Order 3223 signed 18 January 2001 established Kingman Reef National Wildlife Refuge to be administered by the Director, US Fish and Wildlife Service; this refuge is managed to protect the terrestrial and aquatic wildlife of Kingman Reef out to the 12-nautical-mile territorial sea limit |
| **Macau** | special administrative region of China |
| **Man, Isle of** | British crown dependency |
| **Martinique** | overseas department of France |
| **Mayotte** | territorial collectivity of France |
| **Midway Islands** | unincorporated territory of the US; formerly administered from Washington, DC, by the US Navy, under Naval Facilities Engineering Command, Pacific Division; this facility has been operationally closed since 10 September 1993; on 31 October 1996, through a presidential executive order, the jurisdiction and control of the atoll was transferred to the Fish and Wildlife Service of the US Department of the Interior as part of the National Wildlife Refuge system |
| **Montserrat** | overseas territory of the UK |
| **Navassa Island** | unincorporated territory of the US; administered by the Fish and Wildlife Service, US Department of the Interior, from the Caribbean Islands National Wildlife Refuge in Boqueron, Puerto Rico; in September 1996, the Coast Guard ceased operations and maintenance of Navassa Island Light, a 46-meter-tall lighthouse on the southern side of the island; there has also been a private claim advanced against the island |
| **Netherlands Antilles** | part of the Kingdom of the Netherlands; full autonomy in internal affairs granted in 1954; Dutch Government responsible for defense and foreign affairs |
| **New Caledonia** | overseas territory of France since 1956 |
| **Niue** | self-governing in free association with New Zealand since 1974; Niue fully responsible for internal affairs; New Zealand retains responsibility for external affairs and defense; however, these responsibilities confer no rights of control and are only exercised at the request of the Government of Niue |
| **Norfolk Island** | territory of Australia; Canberra administers Commonwealth responsibilities on Norfolk Island through the Department of Environment, Sport, and Territories |
| **Northern Mariana Islands** | commonwealth in political union with the US; federal funds to the Commonwealth administered by the US Department of the Interior, Office of Insular Affairs |
| **Palmyra Atoll** | incorporated territory of the US; privately owned, but administered from Washington, DC, by the Fish and Wildlife Service of the US Department of the Interior; the Office of Insular Affairs of the US Department of the Interior continues to administer nine excluded areas comprising certain tidal and submerged lands within the 12 nm territorial sea or within the lagoon |
| **Pitcairn Islands** | overseas territory of the UK |
| **Puerto Rico** | commonwealth associated with the US |
| **Reunion** | overseas department of France |
| **Saint Helena** | overseas territory of the UK |
| **Saint Pierre and Miquelon** | self-governing territorial collectivity of France |
| **South Georgia and the South Sandwich Islands** | overseas territory of the UK, also claimed by Argentina; administered from the Falkland Islands by a commissioner, who is concurrently governor of the Falkland Islands, representing Queen ELIZABETH II; Grytviken, formerly a whaling station on South Georgia, is a scientific base |
| **Svalbard** | territory of Norway; administered by the Polar Department of the Ministry of Justice, through a governor (sysselmann) residing in Longyearbyen, Spitsbergen; by treaty (9 February 1920) sovereignty was awarded to Norway |
| **Tokelau** | self-administering territory of New Zealand; note - Tokelauans are drafting a constitution and developing institutions and patterns of self-government as Tokelau moves toward free association with New Zealand |
| **Tromelin Island** | possession of France; administered by a high commissioner of the Republic, resident in Reunion |
| **Turks and Caicos Islands** | overseas territory of the UK |
| **Virgin Islands** | organized, unincorporated territory of the US with policy relations between the Virgin Islands and the US under the jurisdiction of the Office of Insular Affairs, US Department of the Interior |
| **Wake Island** | unincorporated territory of the US; administered from Washington, DC, by the Department of the Interior; activities on the island are conducted by the US Army under a caretaker permit from the US Air Force |
| **Wallis and Futuna** | overseas territory of France |

This page was last updated on 10 February, 2005
 
