CIA - The World Factbook --  Heliports   

This entry gives the total number of heliports with hard-surface runways, helipads, or landing areas that support routine sustained helicopter operations exclusively and have support facilities including one or more of the following facilities: lighting, fuel, passenger handling, or maintenance. It includes former airports used exclusively for helicopter operations but excludes heliports limited to day operations and natural clearings that could support helicopter landings and takeoffs.

| Rank | country | Heliports | Date of Information |
| --- | --- | --- | --- |
| 1 | Korea, South | 516.00 | 2009 |
| 2 | United States | 126.00 | 2009 |
| 3 | European Union | 100.00 | 2007 |
| 4 | Antarctica | 53.00 | 2007 |
| 5 | Russia | 48.00 | 2009 |
| 6 | China | 45.00 | 2009 |
| 7 | India | 37.00 | 2009 |
| 8 | Indonesia | 36.00 | 2009 |
| 9 | Germany | 25.00 | 2009 |
| 10 | Korea, North | 22.00 | 2009 |
| 11 | Iraq | 21.00 | 2009 |
| 12 | Turkey | 21.00 | 2009 |
| 13 | Iran | 19.00 | 2009 |
| 14 | Pakistan | 19.00 | 2009 |
| 15 | Japan | 15.00 | 2009 |
| 16 | Brazil | 13.00 | 2009 |
| 17 | Canada | 12.00 | 2009 |
| 18 | Afghanistan | 11.00 | 2009 |
| 19 | United Kingdom | 11.00 | 2009 |
| 20 | Cyprus | 9.00 | 2009 |
| 21 | Saudi Arabia | 9.00 | 2009 |
| 22 | Spain | 9.00 | 2009 |
| 23 | Greece | 9.00 | 2009 |
| 24 | Hong Kong | 9.00 | 2009 |
| 25 | New Caledonia | 8.00 | 2009 |
| 26 | Timor-Leste | 8.00 | 2009 |
| 27 | Poland | 7.00 | 2009 |
| 28 | Ukraine | 7.00 | 2009 |
| 29 | Syria | 7.00 | 2009 |
| 30 | Egypt | 6.00 | 2009 |
| 31 | Italy | 6.00 | 2009 |
| 32 | United Arab Emirates | 5.00 | 2009 |
| 33 | Bosnia and Herzegovina | 5.00 | 2009 |
| 34 | Burma | 5.00 | 2009 |
| 35 | Hungary | 5.00 | 2009 |
| 36 | Kuwait | 4.00 | 2009 |
| 37 | Sudan | 4.00 | 2009 |
| 38 | Kazakhstan | 4.00 | 2009 |
| 39 | Thailand | 4.00 | 2009 |
| 40 | Venezuela | 4.00 | 2009 |
| 41 | Taiwan | 4.00 | 2009 |
| 42 | Solomon Islands | 3.00 | 2009 |
| 43 | Bulgaria | 3.00 | 2009 |
| 44 | Georgia | 3.00 | 2009 |
| 45 | Brunei | 3.00 | 2009 |
| 46 | Israel | 3.00 | 2009 |
| 47 | Panama | 3.00 | 2009 |
| 48 | Spratly Islands | 3.00 | 2009 |
| 49 | Nigeria | 3.00 | 2009 |
| 50 | Oman | 3.00 | 2009 |
| 51 | Algeria | 2.00 | 2009 |
| 52 | Argentina | 2.00 | 2009 |
| 53 | Papua New Guinea | 2.00 | 2009 |
| 54 | Romania | 2.00 | 2009 |
| 55 | Sweden | 2.00 | 2009 |
| 56 | Sierra Leone | 2.00 | 2009 |
| 57 | Philippines | 2.00 | 2009 |
| 58 | Serbia | 2.00 | 2007 |
| 59 | Kosovo | 2.00 | 2009 |
| 60 | Malaysia | 2.00 | 2009 |
| 61 | Macau | 2.00 | 2009 |
| 62 | Libya | 2.00 | 2009 |
| 63 | Ecuador | 2.00 | 2009 |
| 64 | Colombia | 2.00 | 2009 |
| 65 | Azerbaijan | 1.00 | 2009 |
| 66 | Qatar | 1.00 | 2009 |
| 67 | Peru | 1.00 | 2009 |
| 68 | Norway | 1.00 | 2009 |
| 69 | Netherlands | 1.00 | 2009 |
| 70 | Mexico | 1.00 | 2009 |
| 71 | Morocco | 1.00 | 2009 |
| 72 | Monaco | 1.00 | 2007 |
| 73 | Montenegro | 1.00 | 2007 |
| 74 | Mongolia | 1.00 | 2009 |
| 75 | Luxembourg | 1.00 | 2009 |
| 76 | Slovakia | 1.00 | 2009 |
| 77 | Jordan | 1.00 | 2009 |
| 78 | Croatia | 1.00 | 2009 |
| 79 | Gaza Strip | 1.00 | 2009 |
| 80 | France | 1.00 | 2009 |
| 81 | Vietnam | 1.00 | 2009 |
| 82 | Turkmenistan | 1.00 | 2009 |
| 83 | Switzerland | 1.00 | 2009 |
| 84 | Svalbard | 1.00 | 2009 |
| 85 | South Africa | 1.00 | 2009 |
| 86 | French Polynesia | 1.00 | 2009 |
| 87 | Czech Republic | 1.00 | 2009 |
| 88 | El Salvador | 1.00 | 2009 |
| 89 | Eritrea | 1.00 | 2009 |
| 90 | Estonia | 1.00 | 2009 |
| 91 | Northern Mariana Islands | 1.00 | 2009 |
| 92 | Cambodia | 1.00 | 2009 |
| 93 | Burundi | 1.00 | 2009 |
| 94 | Belarus | 1.00 | 2009 |
| 95 | Bahamas, The | 1.00 | 2009 |
| 96 | Belgium | 1.00 | 2009 |
| 97 | Albania | 1.00 | 2009 |
| 98 | Australia | 1.00 | 2009 |
| 99 | Bahrain | 1.00 | 2009 |
| 100 | Austria | 1.00 | 2009 |
