CIA - The World Factbook --  HIV/AIDS - PEOPLE LIVING WITH HIV/AIDS

HIV/AIDS - people living with HIV/AIDS compares all people (adults and children) alive at yearend with HIV infection, whether or not they have developed symptoms of AIDS.

| Rank | Country | HIV/AIDS - PEOPLE LIVING WITH HIV/AIDS | Date of Information |
| --- | --- | --- | --- |
| 1 | South Africa | 6,836,500 | 2014 est. |
| 2 | Nigeria | 3,228,600 | 2013 est. |
| 3 | India | 2,079,700 | 2013 est. |
| 4 | Zimbabwe | 1,550,300 | 2014 est. |
| 5 | Mozambique | 1,543,000 | 2014 est. |
| 6 | Tanzania | 1,499,400 | 2014 est. |
| 7 | Uganda | 1,486,600 | 2014 est. |
| 8 | Kenya | 1,366,900 | 2014 est. |
| 9 | Zambia | 1,150,400 | 2014 est. |
| 10 | Malawi | 1,063,900 | 2014 est. |
| 11 | China | 780,000 | 2012 est. |
| 12 | Ethiopia | 730,300 | 2014 est. |
| 13 | Brazil | 726,000 | 2013 est. |
| 14 | Indonesia | 660,300 | 2014 est. |
| 15 | Cameroon | 657,500 | 2014 est. |
| 16 | Cote d'Ivoire | 460,100 | 2014 est. |
| 17 | Congo, Democratic Republic of the | 446,600 | 2014 est. |
| 18 | Thailand | 445,600 | 2014 est. |
| 19 | Botswana | 392,400 | 2014 est. |
| 20 | Lesotho | 314,600 | 2014 est. |
| 21 | Angola | 304,400 | 2014 est. |
| 22 | Vietnam | 250,200 | 2014 est. |
| 23 | Ghana | 250,200 | 2014 est. |
| 24 | Namibia | 245,400 | 2013 est. |
| 25 | Chad | 215,000 | 2014 est. |
| 26 | Swaziland | 214,300 | 2014 est. |
| 27 | Burma | 212,600 | 2014 est. |
| 28 | Ukraine | 210,700 | 2013 est. |
| 29 | Rwanda | 210,500 | 2014 est. |
| 30 | Mexico | 194,100 | 2014 est. |
| 31 | South Sudan | 193,400 | 2014 est. |
| 32 | Spain | 150,400 | 2013 est. |
| 33 | Haiti | 141,300 | 2014 est. |
| 34 | Central African Republic | 135,400 | 2014 est. |
| 35 | Mali | 133,400 | 2014 est. |
| 36 | United Kingdom | 126,700 | 2013 est. |
| 37 | Argentina | 126,600 | 2014 est. |
| 38 | Colombia | 124,400 | 2014 est. |
| 39 | Italy | 122,000 | 2013 est. |
| 40 | Guinea | 118,000 | 2014 est. |
| 41 | Togo | 113,700 | 2014 est. |
| 42 | Burkina Faso | 107,700 | 2014 est. |
| 43 | Venezuela | 106,900 | 2014 est. |
| 44 | Malaysia | 100,800 | 2014 est. |
| 45 | Burundi | 84,700 | 2014 est. |
| 46 | Congo, Republic of the | 80,700 | 2014 est. |
| 47 | Benin | 77,900 | 2014 est. |
| 48 | Germany | 77,500 | 2013 est. |
| 49 | Cambodia | 74,600 | 2014 est. |
| 50 | Iran | 74,400 | 2014 est. |
| 51 | Peru | 71,900 | 2014 est. |
| 52 | Dominican Republic | 69,300 | 2014 est. |
| 53 | Pakistan | 68,000 | 2013 est. |
| 54 | Sierra Leone | 54,000 | 2014 est. |
| 55 | Sudan | 53,200 | 2014 est. |
| 56 | Guatemala | 49,100 | 2014 est. |
| 57 | Gabon | 47,500 | 2014 est. |
| 58 | Senegal | 44,000 | 2014 est. |
| 59 | Guinea-Bissau | 42,000 | 2014 est. |
| 60 | Niger | 40,500 | 2013 est. |
| 61 | Chile | 39,300 | 2014 est. |
| 62 | Madagascar | 39,100 | 2014 est. |
| 63 | Nepal | 38,800 | 2013 est. |
| 64 | Philippines | 35,600 | 2014 est. |
| 65 | Somalia | 34,900 | 2014 est. |
| 66 | Liberia | 33,100 | 2014 est. |
| 67 | Ecuador | 32,700 | 2014 est. |
| 68 | Uzbekistan | 32,300 | 2014 est. |
| 69 | Papua New Guinea | 31,900 | 2013 est. |
| 70 | Equatorial Guinea | 31,600 | 2014 est. |
| 71 | Jamaica | 29,400 | 2014 est. |
| 72 | Belarus | 29,400 | 2014 est. |
| 73 | Morocco | 28,700 | 2014 est. |
| 74 | Australia | 28,200 | 2013 est. |
| 75 | Honduras | 23,000 | 2014 est. |
| 76 | El Salvador | 20,900 | 2014 est. |
| 77 | Gambia, The | 20,300 | 2014 est. |
| 78 | Kazakhstan | 20,300 | 2014 est. |
