CIA - The World Factbook --  HIV/AIDS - people living with HIV/AIDS   

HIV/AIDS - people living with HIV/AIDS compares all people (adults and children) alive at yearend with HIV infection, whether or not they have developed symptoms of AIDS.

| Rank | country | HIV/AIDS - people living with HIV/AIDS | Date of Information |
| --- | --- | --- | --- |
| 1 | South Africa | 6,070,800 | 2012 est. |
| 2 | Nigeria | 3,426,600 | 2012 est. |
| 3 | India | 2,085,000 | 2012 est. |
| 4 | Kenya | 1,646,000 | 2012 est. |
| 5 | Mozambique | 1,554,700 | 2012 est. |
| 6 | Uganda | 1,549,200 | 2012 est. |
| 7 | Tanzania | 1,472,400 | 2012 est. |
| 8 | Zimbabwe | 1,368,100 | 2012 est. |
| 9 | United States | 1,200,000 | 2009 est. |
| 10 | Malawi | 1,129,800 | 2012 est. |
| 11 | Zambia | 1,106,400 | 2012 est. |
| 12 | Russia | 980,000 | 2009 est. |
| 13 | China | 780,000 | 2012 est. |
| 14 | Ethiopia | 758,600 | 2012 est. |
| 15 | Indonesia | 605,500 | 2012 est. |
| 16 | Cameroon | 600,500 | 2012 est. |
| 17 | Congo, Democratic Republic of the | 481,500 | 2012 est. |
| 18 | Cote d'Ivoire | 450,000 | 2012 est. |
| 19 | Thailand | 443,100 | 2012 est. |
| 20 | Lesotho | 358,700 | 2012 est. |
| 21 | Botswana | 337,700 | 2012 est. |
| 22 | Sudan | 260,000 | 2009 est. |
| 23 | Vietnam | 259,200 | 2012 est. |
| 24 | Angola | 248,800 | 2012 est. |
| 25 | Ghana | 235,800 | 2012 est. |
| 26 | Ukraine | 230,500 | 2012 est. |
| 27 | Namibia | 220,100 | 2012 est. |
| 28 | Chad | 213,100 | 2012 est. |
| 29 | Swaziland | 212,900 | 2012 est. |
| 30 | Rwanda | 206,900 | 2012 est. |
| 31 | Burma | 195,700 | 2012 est. |
| 32 | Mexico | 174,300 | 2012 est. |
| 33 | South Sudan | 153,800 | 2012 est. |
| 34 | France | 150,000 | 2009 est. |
| 35 | Colombia | 146,500 | 2012 est. |
| 36 | Haiti | 146,000 | 2012 est. |
| 37 | Italy | 140,000 | 2009 est. |
| 38 | Spain | 130,000 | 2009 est. |
| 39 | Central African Republic | 130,000 | 2009 est. |
| 40 | Togo | 128,100 | 2012 est. |
| 41 | Guinea | 118,100 | 2012 est. |
