CIA - The World Factbook --  HIV/AIDS - PEOPLE LIVING WITH HIV/AIDS

HIV/AIDS - people living with HIV/AIDS compares all people (adults and children) alive at yearend with HIV infection, whether or not they have developed symptoms of AIDS.

| Rank | Country | HIV/AIDS - PEOPLE LIVING WITH HIV/AIDS | Date of Information |
| --- | --- | --- | --- |
| 1 | India | 20,797,000 | 2013 est. |
| 2 | South Africa | 6,274,100 | 2013 est. |
| 3 | Nigeria | 3,228,600 | 2013 est. |
| 4 | Kenya | 1,594,400 | 2013 est. |
| 5 | Mozambique | 1,567,000 | 2013 est. |
| 6 | Uganda | 1,561,900 | 2013 est. |
| 7 | Tanzania | 1,400,500 | 2013 est. |
| 8 | Zimbabwe | 1,390,300 | 2013 est. |
| 9 | Zambia | 1,110,400 | 2013 est. |
| 10 | Malawi | 1,022,000 | 2013 est. |
| 11 | Ethiopia | 793,700 | 2013 est. |
| 12 | China | 780,000 | 2012 est. |
| 13 | Brazil | 726,000 | 2013 est. |
| 14 | Indonesia | 641,400 | 2013 est. |
| 15 | Cameroon | 603,800 | 2013 est. |
| 16 | Congo, Democratic Republic of the | 442,700 | 2013 est. |
| 17 | Thailand | 435,300 | 2013 est. |
| 18 | Cote d'Ivoire | 371,600 | 2013 est. |
| 19 | Lesotho | 364,400 | 2013 est. |
| 20 | Botswana | 319,700 | 2013 est. |
| 21 | Angola | 252,500 | 2013 est. |
| 22 | Vietnam | 248,600 | 2013 est. |
| 23 | Namibia | 245,400 | 2013 est. |
| 24 | Ghana | 224,500 | 2013 est. |
| 25 | Ukraine | 210,700 | 2013 est. |
| 26 | Chad | 205,400 | 2013 est. |
| 27 | Swaziland | 204,100 | 2013 est. |
| 28 | Rwanda | 195,400 | 2013 est. |
| 29 | Burma | 192,500 | 2013 est. |
| 30 | Mexico | 175,100 | 2013 est. |
| 31 | South Sudan | 153,100 | 2013 est. |
| 32 | Spain | 150,400 | 2013 est. |
| 33 | Haiti | 138,900 | 2013 est. |
| 34 | Colombia | 136,500 | 2013 est. |
| 35 | United Kingdom | 126,700 | 2013 est. |
| 36 | Guinea | 125,800 | 2013 est. |
| 37 | Italy | 122,000 | 2013 est. |
| 38 | Central African Republic | 118,800 | 2013 est. |
| 39 | Togo | 113,200 | 2013 est. |
| 40 | Burkina Faso | 112,800 | 2013 est. |
| 41 | Venezuela | 101,900 | 2013 est. |
| 42 | Argentina | 97,900 | 2012 est. |
| 43 | Mali | 97,000 | 2013 est. |
| 44 | Malaysia | 86,300 | 2013 est. |
| 45 | Burundi | 82,600 | 2013 est. |
| 46 | Germany | 77,500 | 2013 est. |
| 47 | Cambodia | 75,200 | 2013 est. |
| 48 | Benin | 73,900 | 2013 est. |
| 49 | Iran | 70,400 | 2013 est. |
| 50 | Congo, Republic of the | 68,900 | 2013 est. |
| 51 | Pakistan | 68,000 | 2013 est. |
| 52 | Peru | 65,100 | 2013 est. |
| 53 | Sierra Leone | 57,100 | 2013 est. |
| 54 | Madagascar | 54,200 | 2013 est. |
| 55 | Guatemala | 52,800 | 2013 est. |
| 56 | Sudan | 49,300 | 2013 est. |
| 57 | Dominican Republic | 45,500 | 2013 est. |
| 58 | Guinea-Bissau | 41,400 | 2013 est. |
| 59 | Gabon | 40,700 | 2013 est. |
| 60 | Niger | 40,500 | 2013 est. |
| 61 | Nepal | 38,800 | 2013 est. |
| 62 | Senegal | 38,700 | 2013 est. |
| 63 | Chile | 37,900 | 2013 est. |
| 64 | Ecuador | 37,500 | 2013 est. |
| 65 | Uzbekistan | 34,700 | 2013 est. |
| 66 | Somalia | 32,300 | 2013 est. |
| 67 | Papua New Guinea | 31,900 | 2013 est. |
| 68 | Equatorial Guinea | 31,400 | 2012 est. |
| 69 | Morocco | 30,600 | 2013 est. |
| 70 | Liberia | 30,400 | 2013 est. |
| 71 | Jamaica | 30,300 | 2013 est. |
| 72 | Australia | 28,200 | 2013 est. |
| 73 | Belarus | 25,200 | 2013 est. |
| 74 | Algeria | 25,200 | 2013 est. |
| 75 | Honduras | 24,500 | 2013 est. |
| 76 | El Salvador | 21,300 | 2013 est. |
| 77 | Switzerland | 20,200 | 2013 est. |
| 78 | Eritrea | 17,600 | 2013 est. |
| 79 | Romania | 16,200 | 2013 est. |
| 80 | Paraguay | 15,800 | 2013 est. |
| 81 | Cuba | 15,600 | 2013 est. |
| 82 | Panama | 15,500 | 2013 est. |
| 83 | Bolivia | 15,500 | 2013 est. |
| 84 | Philippines | 14,800 | 2012 est. |
| 85 | Moldova | 14,800 | 2013 est. |
| 86 | Uruguay | 14,000 | 2013 est. |
| 87 | Trinidad and Tobago | 14,000 | 2013 est. |
| 88 | Tajikistan | 13,800 | 2013 est. |
| 89 | Gambia, The | 12,900 | 2013 est. |
| 90 | Mauritania | 10,500 | 2012 est. |
| 91 | Mauritius | 9,600 | 2013 est. |
| 92 | Bangladesh | 9,500 | 2013 est. |
| 93 | Azerbaijan | 9,200 | 2013 est. |
| 94 | Estonia | 8,600 | 2013 est. |
| 95 | Kyrgyzstan | 8,000 | 2013 est. |
| 96 | Bahamas, The | 7,700 | 2013 est. |
| 97 | Guyana | 7,700 | 2013 est. |
| 98 | Costa Rica | 7,600 | 2013 est. |
| 99 | Egypt | 7,400 | 2013 est. |
| 100 | Nicaragua | 6,600 | 2013 est. |
| 101 | Georgia | 6,400 | 2013 est. |
| 102 | Djibouti | 6,200 | 2013 est. |
| 103 | Yemen | 6,000 | 2013 est. |
| 104 | Denmark | 5,800 | 2013 est. |
| 105 | Laos | 5,800 | 2013 est. |
| 106 | Afghanistan | 4,500 | 2013 est. |
| 107 | Armenia | 3,700 | 2013 est. |
| 108 | Czech Republic | 3,400 | 2013 est. |
| 109 | Tunisia | 3,400 | 2013 est. |
| 110 | Belize | 3,300 | 2013 est. |
| 111 | Suriname | 3,200 | 2013 est. |
| 112 | Serbia | 3,000 | 2013 est. |
| 113 | Sri Lanka | 2,900 | 2013 est. |
| 114 | Sao Tome and Principe | 2,300 | 2013 est. |
| 115 | Cabo Verde | 1,500 | 2013 est. |
| 116 | Barbados | 1,500 | 2012 est. |
| 117 | Bhutan | 600 | 2013 est. |
| 118 | Mongolia | 600 | 2013 est. |
| 119 | Fiji | 500 | 2013 est. |
| 120 | Cyprus | 400 | 2013 est. |
| 121 | Macedonia | 200 | 2013 est. |
| 122 | Maldives | 100 | 2013 est. |


