CIA - The World Factbook --  HIV/AIDS - people living with HIV/AIDS   

This entry gives an estimate of all people (adults and children) alive at yearend with HIV infection, whether or not they have developed symptoms of AIDS.

| Rank | country | HIV/AIDS - people living with HIV/AIDS | Date of Information |
| --- | --- | --- | --- |
| 1 | World | 33,000,000 | 2007 est. |
| 2 | South Africa | 5,700,000 | 2007 est. |
| 3 | Nigeria | 2,600,000 | 2007 est. |
| 4 | India | 2,400,000 | 2007 est. |
| 5 | Mozambique | 1,500,000 | 2007 est. |
| 6 | Tanzania | 1,400,000 | 2007 est. |
| 7 | Zimbabwe | 1,300,000 | 2007 est. |
| 8 | Kenya | 1,200,000 | 2003 est. |
| 9 | United States | 1,200,000 | 2007 est. |
| 10 | Congo, Democratic Republic of the | 1,100,000 | 2003 est. |
| 11 | Zambia | 1,100,000 | 2007 est. |
| 12 | Ethiopia | 980,000 | 2007 est. |
| 13 | Russia | 940,000 | 2007 est. |
| 14 | Uganda | 940,000 | 2007 est. |
| 15 | Malawi | 930,000 | 2007 est. |
| 16 | Brazil | 730,000 | 2007 est. |
| 17 | China | 700,000 | 2007 est. |
| 18 | Thailand | 610,000 | 2007 est. |
| 19 | Cameroon | 540,000 | 2007 est. |
| 20 | Cote d'Ivoire | 480,000 | 2007 est. |
| 21 | Ukraine | 440,000 | 2007 est. |
| 22 | Sudan | 320,000 | 2007 est. |
| 23 | Botswana | 300,000 | 2007 est. |
| 24 | Vietnam | 290,000 | 2007 est. |
| 25 | Indonesia | 270,000 | 2007 est. |
| 26 | Lesotho | 270,000 | 2007 est. |
| 27 | Ghana | 260,000 | 2007 est. |
| 28 | Burma | 240,000 | 2007 est. |
| 29 | Chad | 200,000 | 2007 est. |
| 30 | Mexico | 200,000 | 2007 est. |
| 31 | Namibia | 200,000 | 2007 est. |
| 32 | Angola | 190,000 | 2007 est. |
| 33 | Swaziland | 190,000 | 2007 est. |
| 34 | Colombia | 170,000 | 2007 est. |
| 35 | Central African Republic | 160,000 | 2007 est. |
| 36 | Italy | 150,000 | 2007 est. |
| 37 | Rwanda | 150,000 | 2007 est. |
| 38 | France | 140,000 | 2007 est. |
| 39 | Spain | 140,000 | 2007 est. |
| 40 | Burkina Faso | 130,000 | 2007 est. |
| 41 | Togo | 130,000 | 2007 est. |
| 42 | Argentina | 120,000 | 2007 est. |
| 43 | Haiti | 120,000 | 2007 est. |
| 44 | Burundi | 110,000 | 2007 est. |
| 45 | Venezuela | 110,000 | 1999 est. |
| 46 | Mali | 100,000 | 2007 est. |
| 47 | Pakistan | 96,000 | 2007 est. |
| 48 | Guinea | 87,000 | 2007 est. |
| 49 | Iran | 86,000 | 2007 est. |
| 50 | Malaysia | 80,000 | 2007 est. |
| 51 | Congo, Republic of the | 79,000 | 2007 est. |
| 52 | United Kingdom | 77,000 | 2007 est. |
| 53 | Peru | 76,000 | 2007 est. |
| 54 | Cambodia | 75,000 | 2007 est. |
| 55 | Canada | 73,000 | 2007 est. |
| 56 | Nepal | 70,000 | 2007 est. |
| 57 | Senegal | 67,000 | 2007 est. |
| 58 | Benin | 64,000 | 2007 est. |
| 59 | Dominican Republic | 62,000 | 2007 est. |
| 60 | Niger | 60,000 | 2007 est. |
| 61 | Guatemala | 59,000 | 2007 est. |
| 62 | Sierra Leone | 55,000 | 2007 est. |
| 63 | Papua New Guinea | 54,000 | 2007 est. |
| 64 | Germany | 53,000 | 2007 est. |
| 65 | Gabon | 49,000 | 2007 est. |
| 66 | Eritrea | 38,000 | 2007 est. |
| 67 | El Salvador | 35,000 | 2007 est. |
| 68 | Liberia | 35,000 | 2007 est. |
| 69 | Portugal | 34,000 | 2007 est. |
| 70 | Chile | 31,000 | 2007 est. |
| 71 | Honduras | 28,000 | 2007 est. |
| 72 | Jamaica | 27,000 | 2007 est. |
| 73 | Ecuador | 26,000 | 2007 est. |
| 74 | Switzerland | 25,000 | 2007 est. |
| 75 | Somalia | 24,000 | 2007 est. |
| 76 | Algeria | 21,000 | 2007 est. |
| 77 | Morocco | 21,000 | 2007 est. |
| 78 | Paraguay | 21,000 | 2007 est. |
| 79 | Panama | 20,000 | 2007 est. |
| 80 | Poland | 20,000 | 2007 est. |
| 81 | Australia | 18,000 | 2007 est. |
| 82 | Netherlands | 18,000 | 2007 est. |
| 83 | Djibouti | 16,000 | 2007 est. |
