CIA - The World Factbook --  Pipelines   

This entry gives the lengths and types of pipelines for transporting products like natural gas, crude oil, or petroleum products.

| Rank | country | (km) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 1,984,321.00 | 2013 |
| 2 | United States | 240,711.00 | 2013 |
| 3 | Russia | 163,872.00 | 2013 |
| 4 | Canada | 100,000.00 | 2013 |
| 5 | Russia | 80,820.00 | 2013 |
| 6 | China | 48,502.00 | 2013 |
| 7 | Ukraine | 36,720.00 | 2013 |
| 8 | Australia | 30,054.00 | 2013 |
| 9 | Argentina | 29,930.00 | 2013 |
| 10 | United Kingdom | 28,603.00 | 2013 |
| 11 | Germany | 26,985.00 | 2013 |
| 12 | China | 23,072.00 | 2013 |
| 13 | Iran | 20,794.00 | 2013 |
| 14 | Italy | 20,223.00 | 2013 |
| 15 | Hungary | 19,028.00 | 2013 |
| 16 | Mexico | 18,074.00 | 2013 |
| 17 | Brazil | 17,312.00 | 2013 |
| 18 | Algeria | 16,415.00 | 2013 |
| 19 | France | 15,322.00 | 2013 |
| 20 | China | 15,298.00 | 2013 |
| 21 | Poland | 14,198.00 | 2013 |
| 22 | Russia | 13,658.00 | 2013 |
| 23 | India | 13,581.00 | 2013 |
| 24 | Pakistan | 12,646.00 | 2013 |
| 25 | Turkey | 12,603.00 | 2013 |
| 26 | Kazakhstan | 12,432.00 | 2013 |
| 27 | Indonesia | 11,702.00 | 2013 |
| 28 | Kazakhstan | 11,313.00 | 2013 |
| 29 | India | 11,069.00 | 2013 |
| 30 | Spain | 10,481.00 | 2013 |
| 31 | Uzbekistan | 10,401.00 | 2013 |
| 32 | India | 8,943.00 | 2013 |
| 33 | Mexico | 8,775.00 | 2013 |
| 34 | Iran | 8,625.00 | 2013 |
| 35 | Netherlands | 8,531.00 | 2013 |
| 36 | Norway | 8,044.00 | 2013 |
| 37 | Egypt | 7,986.00 | 2013 |
| 38 | Iran | 7,937.00 | 2013 |
| 39 | Indonesia | 7,767.00 | 2013 |
| 40 | Venezuela | 7,588.00 | 2013 |
| 41 | Mexico | 7,565.00 | 2013 |
| 42 | Turkmenistan | 7,500.00 | 2013 |
| 43 | Czech Republic | 7,160.00 | 2013 |
| 44 | Algeria | 7,036.00 | 2013 |
| 45 | Libya | 7,005.00 | 2013 |
| 46 | Colombia | 6,796.00 | 2013 |
| 47 | Slovakia | 6,774.00 | 2013 |
| 48 | Malaysia | 6,439.00 | 2013 |
| 49 | Argentina | 6,248.00 | 2013 |
| 50 | Venezuela | 5,941.00 | 2013 |
| 51 | Thailand | 5,900.00 | 2013 |
| 52 | Bolivia | 5,457.00 | 2013 |
| 53 | Iraq | 5,432.00 | 2013 |
| 54 | Belarus | 5,386.00 | 2013 |
| 55 | United Kingdom | 5,256.00 | 2013 |
| 56 | Egypt | 5,225.00 | 2013 |
| 57 | Saudi Arabia | 5,117.00 | 2013 |
| 58 | France | 5,084.00 | 2013 |
| 59 | Colombia | 4,991.00 | 2013 |
| 60 | United Kingdom | 4,919.00 | 2013 |
| 61 | Brazil | 4,831.00 | 2013 |
| 62 | Austria | 4,736.00 | 2013 |
| 63 | Brazil | 4,722.00 | 2013 |
| 64 | Ukraine | 4,514.00 | 2013 |
| 65 | Germany | 4,479.00 | 2013 |
| 66 | Japan | 4,456.00 | 2013 |
| 67 | Nigeria | 4,441.00 | 2013 |
| 68 | Denmark | 4,377.00 | 2013 |
| 69 | Ukraine | 4,363.00 | 2013 |
| 70 | Oman | 4,224.00 | 2013 |
| 71 | Sudan | 4,070.00 | 2013 |
| 72 | Nigeria | 4,045.00 | 2013 |
| 73 | Nigeria | 3,940.00 | 2013 |
| 74 | Azerbaijan | 3,890.00 | 2013 |
| 75 | Norway | 3,794.00 | 2013 |
| 76 | Libya | 3,743.00 | 2013 |
| 77 | Burma | 3,739.00 | 2013 |
| 78 | Romania | 3,726.00 | 2013 |
| 79 | Argentina | 3,631.00 | 2013 |
| 80 | Australia | 3,609.00 | 2013 |
| 81 | Oman | 3,558.00 | 2013 |
| 82 | Spain | 3,461.00 | 2013 |
| 83 | Algeria | 3,447.00 | 2013 |
| 84 | Colombia | 3,429.00 | 2013 |
| 85 | United Arab Emirates | 3,287.00 | 2013 |
| 86 | United Arab Emirates | 3,277.00 | 2013 |
| 87 | Syria | 3,170.00 | 2013 |
| 88 | Chile | 3,160.00 | 2013 |
| 89 | Belgium | 3,139.00 | 2013 |
| 90 | Tunisia | 3,111.00 | 2013 |
| 91 | Turkey | 3,038.00 | 2013 |
| 92 | Bangladesh | 2,950.00 | 2013 |
| 93 | Saudi Arabia | 2,940.00 | 2013 |
| 94 | France | 2,939.00 | 2013 |
| 95 | Bulgaria | 2,887.00 | 2013 |
| 96 | Germany | 2,826.00 | 2013 |
| 97 | Algeria | 2,600.00 | 2013 |
| 98 | Pakistan | 2,576.00 | 2013 |
| 99 | Bolivia | 2,511.00 | 2013 |
| 100 | Iraq | 2,455.00 | 2013 |
| 101 | Romania | 2,451.00 | 2013 |
| 102 | Azerbaijan | 2,446.00 | 2013 |
| 103 | Croatia | 2,410.00 | 2011 |
| 104 | Qatar | 2,383.00 | 2013 |
| 105 | Armenia | 2,233.00 | 2013 |
| 106 | Korea, South | 2,216.00 | 2013 |
| 107 | Ireland | 2,147.00 | 2013 |
| 108 | Ecuador | 2,131.00 | 2013 |
| 109 | Mexico | 2,102.00 | 2013 |
| 110 | India | 2,054.00 | 2013 |
| 111 | Syria | 2,029.00 | 2013 |
| 112 | Malaysia | 1,937.00 | 2013 |
| 113 | New Zealand | 1,936.00 | 2013 |
| 114 | Lithuania | 1,921.00 | 2013 |
| 115 | Moldova | 1,906.00 | 2013 |
| 116 | Switzerland | 1,800.00 | 2013 |
| 117 | Venezuela | 1,778.00 | 2013 |
| 118 | Belarus | 1,730.00 | 2013 |
| 119 | Finland | 1,689.00 | 2010 |
| 120 | Gabon | 1,639.00 | 2013 |
| 121 | Iraq | 1,637.00 | 2013 |
| 122 | Bolivia | 1,627.00 | 2013 |
| 123 | Sweden | 1,626.00 | 2013 |
| 124 | Sudan | 1,613.00 | 2013 |
| 125 | Georgia | 1,596.00 | 2013 |
| 126 | Belarus | 1,589.00 | 2013 |
| 127 | Italy | 1,574.00 | 2013 |
| 128 | Trinidad and Tobago | 1,567.00 | 2013 |
| 129 | Ecuador | 1,526.00 | 2013 |
| 130 | Peru | 1,526.00 | 2013 |
| 131 | Turkmenistan | 1,501.00 | 2013 |
| 132 | Kazakhstan | 1,465.00 | 2013 |
| 133 | South Africa | 1,460.00 | 2013 |
| 134 | Italy | 1,393.00 | 2013 |
