CIA - The World Factbook --  Pipelines   

This entry gives the lengths and types of pipelines for transporting products like natural gas, crude oil, or petroleum products.

| Rank | country | (km) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 548,665.00 | 2006 |
| 2 | United States | 244,620.00 | 2006 |
| 3 | Russia | 158,767.00 | 2008 |
| 4 | Canada | 74,980.00 | 2006 |
| 5 | Russia | 74,285.00 | 2008 |
| 6 | Ukraine | 33,327.00 | 2008 |
| 7 | Argentina | 28,138.00 | 2008 |
| 8 | China | 28,132.00 | 2008 |
| 9 | Australia | 27,105.00 | 2008 |
| 10 | Germany | 24,364.00 | 2008 |
| 11 | Canada | 23,564.00 | 2006 |
| 12 | Mexico | 22,705.00 | 2006 |
| 13 | China | 20,204.00 | 2008 |
| 14 | Iran | 19,246.00 | 2008 |
| 15 | Italy | 17,544.00 | 2008 |
| 16 | France | 14,688.00 | 2008 |
| 17 | Algeria | 14,648.00 | 2008 |
| 18 | Russia | 13,658.00 | 2008 |
| 19 | Poland | 13,631.00 | 2008 |
| 20 | Kazakhstan | 11,146.00 | 2008 |
| 21 | Pakistan | 10,402.00 | 2008 |
| 22 | Kazakhstan | 10,376.00 | 2008 |
| 23 | Brazil | 9,892.00 | 2008 |
| 24 | China | 9,746.00 | 2008 |
| 25 | Uzbekistan | 9,706.00 | 2008 |
| 26 | Mexico | 8,688.00 | 2006 |
| 27 | Iran | 7,936.00 | 2008 |
| 28 | Spain | 7,738.00 | 2008 |
| 29 | India | 7,678.00 | 2008 |
| 30 | Algeria | 7,579.00 | 2008 |
| 31 | Turkey | 7,555.00 | 2008 |
| 32 | United Kingdom | 7,541.00 | 2008 |
| 33 | Iran | 7,018.00 | 2008 |
| 34 | Czech Republic | 7,010.00 | 2008 |
| 35 | Libya | 6,987.00 | 2008 |
| 36 | India | 6,876.00 | 2008 |
| 37 | Slovakia | 6,769.00 | 2008 |
| 38 | Venezuela | 6,695.00 | 2008 |
| 39 | Mexico | 6,520.00 | 2006 |
| 40 | Turkmenistan | 6,417.00 | 2008 |
| 41 | Colombia | 6,094.00 | 2008 |
| 42 | India | 6,061.00 | 2008 |
| 43 | Argentina | 5,939.00 | 2008 |
| 44 | Indonesia | 5,797.00 | 2008 |
| 45 | Indonesia | 5,721.00 | 2008 |
| 46 | Egypt | 5,586.00 | 2008 |
| 47 | Iraq | 5,418.00 | 2008 |
| 48 | Belarus | 5,250.00 | 2008 |
| 49 | France | 5,080.00 | 2008 |
| 50 | Venezuela | 5,036.00 | 2008 |
| 51 | Bolivia | 4,883.00 | 2008 |
| 52 | Colombia | 4,560.00 | 2008 |
| 53 | Brazil | 4,517.00 | 2008 |
| 54 | Ukraine | 4,514.00 | 2008 |
| 55 | Brazil | 4,465.00 | 2008 |
| 56 | United Kingdom | 4,417.00 | 2008 |
| 57 | Hungary | 4,407.00 | 2008 |
| 58 | Egypt | 4,314.00 | 2008 |
| 59 | Saudi Arabia | 4,239.00 | 2008 |
| 60 | Ukraine | 4,211.00 | 2008 |
| 61 | Oman | 4,126.00 | 2008 |
| 62 | Nigeria | 4,090.00 | 2008 |
| 63 | Sudan | 4,070.00 | 2008 |
| 64 | Japan | 3,862.00 | 2008 |
| 65 | Germany | 3,843.00 | 2008 |
| 66 | Netherlands | 3,816.00 | 2008 |
| 67 | Turkey | 3,636.00 | 2008 |
| 68 | Argentina | 3,629.00 | 2008 |
| 69 | Romania | 3,588.00 | 2008 |
| 70 | Oman | 3,558.00 | 2008 |
| 71 | Spain | 3,445.00 | 2008 |
| 72 | Nigeria | 3,396.00 | 2008 |
| 73 | Colombia | 3,383.00 | 2008 |
| 74 | Germany | 3,379.00 | 2008 |
| 75 | Azerbaijan | 3,361.00 | 2008 |
| 76 | Australia | 3,258.00 | 2008 |
| 77 | France | 3,036.00 | 2008 |
| 78 | Algeria | 2,933.00 | 2008 |
| 79 | Bulgaria | 2,926.00 | 2008 |
| 80 | Syria | 2,900.00 | 2008 |
| 81 | Libya | 2,860.00 | 2008 |
| 82 | Denmark | 2,858.00 | 2008 |
| 83 | Austria | 2,721.00 | 2008 |
| 84 | Chile | 2,676.00 | 2008 |
| 85 | Bangladesh | 2,597.00 | 2008 |
| 86 | Nigeria | 2,560.00 | 2008 |
| 87 | Iraq | 2,501.00 | 2008 |
| 88 | Bolivia | 2,475.00 | 2008 |
