CIA - The World Factbook --  Pipelines   

This entry gives the lengths and types of pipelines for transporting products like natural gas, crude oil, or petroleum products.

| Rank | country | (km) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 548,665.00 | 2010 |
| 2 | United States | 244,620.00 | 2010 |
| 3 | Russia | 160,952.00 | 2010 |
| 4 | Russia | 77,630.00 | 2010 |
| 5 | Canada | 75,000.00 | 2010 |
| 6 | China | 38,566.00 | 2010 |
| 7 | Ukraine | 36,493.00 | 2010 |
| 8 | Argentina | 29,401.00 | 2010 |
| 9 | Australia | 27,900.00 | 2010 |
| 10 | Germany | 24,688.00 | 2010 |
| 11 | China | 23,470.00 | 2010 |
| 12 | Iran | 20,155.00 | 2010 |
| 13 | Italy | 18,348.00 | 2010 |
| 14 | Mexico | 16,594.00 | 2010 |
| 15 | Algeria | 16,360.00 | 2010 |
| 16 | France | 15,276.00 | 2010 |
| 17 | United Kingdom | 14,071.00 | 2010 |
| 18 | Poland | 13,860.00 | 2010 |
| 19 | China | 13,706.00 | 2010 |
| 20 | Russia | 13,658.00 | 2010 |
| 21 | Brazil | 13,514.00 | 2010 |
| 22 | Kazakhstan | 12,317.00 | 2010 |
| 23 | Kazakhstan | 11,201.00 | 2010 |
| 24 | Turkey | 10,706.00 | 2010 |
| 25 | Pakistan | 10,514.00 | 2010 |
| 26 | India | 10,486.00 | 2010 |
| 27 | Uzbekistan | 10,253.00 | 2010 |
| 28 | India | 9,596.00 | 2010 |
| 29 | Spain | 9,359.00 | 2010 |
| 30 | Iran | 7,937.00 | 2010 |
| 31 | Algeria | 7,611.00 | 2010 |
| 32 | Mexico | 7,499.00 | 2010 |
| 33 | India | 7,448.00 | 2010 |
| 34 | Turkmenistan | 7,352.00 | 2010 |
| 35 | Mexico | 7,264.00 | 2010 |
| 36 | Indonesia | 7,165.00 | 2010 |
| 37 | Iran | 7,123.00 | 2010 |
| 38 | Czech Republic | 7,010.00 | 2010 |
| 39 | Libya | 6,960.00 | 2010 |
| 40 | Slovakia | 6,769.00 | 2010 |
| 41 | Venezuela | 6,694.00 | 2010 |
| 42 | Egypt | 6,628.00 | 2010 |
| 43 | Colombia | 6,334.00 | 2010 |
| 44 | Argentina | 6,166.00 | 2010 |
| 45 | Indonesia | 5,984.00 | 2010 |
| 46 | Venezuela | 5,347.00 | 2010 |
| 47 | Bolivia | 5,330.00 | 2010 |
| 48 | Belarus | 5,250.00 | 2010 |
| 49 | Iraq | 5,104.00 | 2010 |
| 50 | France | 5,084.00 | 2010 |
| 51 | United Kingdom | 4,907.00 | 2010 |
| 52 | Germany | 4,875.00 | 2010 |
| 53 | Colombia | 4,801.00 | 2010 |
| 54 | Hungary | 4,716.00 | 2010 |
| 55 | Brazil | 4,684.00 | 2010 |
| 56 | Ukraine | 4,514.00 | 2010 |
| 57 | Netherlands | 4,413.00 | 2010 |
