CIA - The World Factbook 2000 -- Household income or consumption by percentage share

| Country | Household income or consumption by percentage share |
| --- | --- |
| **Afghanistan** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Albania** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Algeria** | *lowest 10%:* 2.8% |
| | *highest 10%:* 26.8% (1995) |
| **American Samoa** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Andorra** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Angola** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Anguilla** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Antigua and Barbuda** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Argentina** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Armenia** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Aruba** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Australia** | *lowest 10%:* 2.5% |
| | *highest 10%:* 24.8% (1989) |
| **Azerbaijan** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Bahamas, The** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Bahrain** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Bangladesh** | *lowest 10%:* 4.1% |
| | *highest 10%:* 23.7% (1992) |
| **Barbados** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Belarus** | *lowest 10%:* 4.9% |
| | *highest 10%:* 19.4% (1993) |
| **Belgium** | *lowest 10%:* 3.7% |
| | *highest 10%:* 20.2% (1992) |
| **Belize** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Benin** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Bermuda** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Bhutan** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Bolivia** | *lowest 10%:* 2.3% |
| | *highest 10%:* 31.7% (1990) |
| **Bosnia and Herzegovina** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Botswana** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Brazil** | *lowest 10%:* 0.8% |
| | *highest 10%:* 47.9% (1995) |
