CIA - The World Factbook -- Field Listing - Household income or consumption by percentage share

| Country | Household income or consumption by percentage share (%) |
| --- | --- |
| **Afghanistan** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Albania** | *lowest 10%:* 3.4% |
| | *highest 10%:* 24.4% (2004) |
| **Algeria** | *lowest 10%:* 2.8% |
| | *highest 10%:* 26.8% (1995) |
| **American Samoa** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Andorra** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Angola** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Anguilla** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Antigua and Barbuda** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Argentina** | *lowest 10%:* 1% |
| | *highest 10%:* 35% (January-March 2007) |
| **Armenia** | *lowest 10%:* 1.6% |
| | *highest 10%:* 41.3% (2004) |
| **Aruba** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Australia** | *lowest 10%:* 2% |
| | *highest 10%:* 25.4% (1994) |
| **Austria** | *lowest 10%:* 3.3% |
| | *highest 10%:* 22.5% (2004) |
| **Azerbaijan** | *lowest 10%:* 3.1% |
| | *highest 10%:* 29.5% (2001) |
| **Bahamas, The** | *lowest 10%:* NA% |
| | *highest 10%:* 27% (2000) |
| **Bahrain** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Bangladesh** | *lowest 10%:* 3.7% |
| | *highest 10%:* 27.9% (2000) |
| **Barbados** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Belarus** | *lowest 10%:* 3.4% |
| | *highest 10%:* 23.5% (2002) |
| **Belgium** | *lowest 10%:* 3.4% |
| | *highest 10%:* 28.4% (2006) |
| **Belize** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Benin** | *lowest 10%:* 3.1% |
| | *highest 10%:* 29% (2003) |
| **Bermuda** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Bhutan** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Bolivia** | *lowest 10%:* 0.3% |
| | *highest 10%:* 47.2% (2002) |
| **Bosnia and Herzegovina** | *lowest 10%:* 3.9% |
