CIA - The World Factbook -- Field Listing - Household income or consumption by percentage share

| Country | Household income or consumption by percentage share (%) |
| --- | --- |
| **Afghanistan** | *lowest 10%:* NA |
| | *highest 10%:* NA |
| **Albania** | *lowest 10%:* NA |
| | *highest 10%:* NA |
| **Algeria** | *lowest 10%:* 2.8% |
| | *highest 10%:* 26.8% (1995) |
| **American Samoa** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Andorra** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Angola** | *lowest 10%:* NA |
| | *highest 10%:* NA |
| **Anguilla** | *lowest 10%:* NA |
| | *highest 10%:* NA |
| **Antigua and Barbuda** | *lowest 10%:* NA |
| | *highest 10%:* NA |
| **Argentina** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Armenia** | *lowest 10%:* 2.3% |
| | *highest 10%:* 46.2% (1999) |
| **Aruba** | *lowest 10%:* NA |
| | *highest 10%:* NA |
| **Australia** | *lowest 10%:* 2% |
| | *highest 10%:* 25.4% (1994) |
| **Austria** | *lowest 10%:* 2.5% |
| | *highest 10%:* 22.5% (1995) |
| **Azerbaijan** | *lowest 10%:* 2.8% |
| | *highest 10%:* 27.8% (1995) |
| **Bahamas, The** | *lowest 10%:* NA |
| | *highest 10%:* 27% (2000) |
| **Bahrain** | *lowest 10%:* NA |
| | *highest 10%:* NA |
| **Bangladesh** | *lowest 10%:* 3.9% |
| | *highest 10%:* 28.6% (1995-96 est.) |
| **Barbados** | *lowest 10%:* NA |
| | *highest 10%:* NA |
| **Belarus** | *lowest 10%:* 5.1% |
| | *highest 10%:* 20% (1998) |
| **Belgium** | *lowest 10%:* 3.2% |
| | *highest 10%:* 23% (1996) |
| **Belize** | *lowest 10%:* NA |
| | *highest 10%:* NA |
| **Benin** | *lowest 10%:* NA |
| | *highest 10%:* NA |
| **Bermuda** | *lowest 10%:* NA |
| | *highest 10%:* NA |
| **Bhutan** | *lowest 10%:* NA |
| | *highest 10%:* NA |
| **Bolivia** | *lowest 10%:* 1.3% |
| | *highest 10%:* 32% (1999) |
| **Bosnia and Herzegovina** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Botswana** | *lowest 10%:* NA |
| | *highest 10%:* NA |
