CIA - The World Factbook 2002 -- Field Listing - Household income or consumption by percentage share

| Country | Household income or consumption by percentage share (%) |
| --- | --- |
| **Afghanistan** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Albania** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Algeria** | *lowest 10%:* 4% |
| | *highest 10%:* 25% (1995) (1995) |
| **American Samoa** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Andorra** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Angola** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Anguilla** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Antigua and Barbuda** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Argentina** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Armenia** | *lowest 10%:* 2% |
| | *highest 10%:* 35% (1996) |
| **Aruba** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Australia** | *lowest 10%:* 2% |
| | *highest 10%:* 25% (1994) |
| **Austria** | *lowest 10%:* 3% |
| | *highest 10%:* 23% (1995) |
| **Azerbaijan** | *lowest 10%:* 3% |
| | *highest 10%:* 28% (1995) |
| **Bahamas, The** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Bahrain** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Bangladesh** | *lowest 10%:* 4% |
| | *highest 10%:* 29% |
| **Barbados** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Belarus** | *lowest 10%:* 5% |
| | *highest 10%:* 20% (1998) |
| **Belgium** | *lowest 10%:* 3% |
| | *highest 10%:* 23% (1992) (1996) |
| **Belize** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Benin** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Bermuda** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Bhutan** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Bolivia** | *lowest 10%:* 1% |
| | *highest 10%:* 46% (1997) (1997) |
| **Bosnia and Herzegovina** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Botswana** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
