CIA - The World Factbook --  Population below poverty line   

National estimates of the percentage of the population falling below the poverty line are based on surveys of sub-groups, with the results weighted by the number of people in each group. Definitions of poverty vary considerably among nations. For example, rich nations generally employ more generous standards of poverty than poor nations.

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Chad | 80.00 | 2001 est. |
| 2 | Liberia | 80.00 | 2000 est. |
| 3 | Haiti | 80.00 | 2003 est. |
| 4 | Congo, Democratic Republic of the | 71.00 | 2006 est. |
| 5 | Sierra Leone | 70.20 | 2004 |
| 6 | Suriname | 70.00 | 2002 est. |
| 7 | Nigeria | 70.00 | 2010 est. |
| 8 | Swaziland | 69.00 | 2006 |
| 9 | Zimbabwe | 68.00 | 2004 |
| 10 | Burundi | 68.00 | 2002 est. |
| 11 | Sao Tome and Principe | 66.20 | 2009 est. |
| 12 | Zambia | 64.00 | 2006 |
| 13 | Niger | 63.00 | 1993 est. |
| 14 | Comoros | 60.00 | 2002 est. |
| 15 | Honduras | 60.00 | 2010 est. |
| 16 | Namibia | 55.80 | 2005 est. |
| 17 | Senegal | 54.00 | 2001 est. |
| 18 | Mozambique | 54.00 | 2008 est. |
| 19 | Guatemala | 54.00 | 2011 est. |
| 20 | Malawi | 53.00 | 2004 |
| 21 | Bolivia | 51.30 | 2009 est. |
| 22 | Mexico | 51.30 | 2010 est. |
| 23 | South Sudan | 50.60 | 2009 |
| 24 | Kenya | 50.00 | 2000 est. |
| 25 | Eritrea | 50.00 | 2004 est. |
| 26 | Madagascar | 50.00 | 2004 est. |
| 27 | South Africa | 50.00 | 2000 est. |
| 28 | Lesotho | 49.00 | 1999 |
| 29 | Gambia, The | 48.40 | NA |
| 30 | Cameroon | 48.00 | 2000 est. |
| 31 | Guinea | 47.00 | 2006 est. |
| 32 | Tajikistan | 46.70 | 2009 est. |
| 33 | Burkina Faso | 46.70 | 2009 est. |
| 34 | Sudan | 46.50 | 2009 est. |
| 35 | Nicaragua | 46.20 | 2005 |
| 36 | Yemen | 45.20 | 2003 |
| 37 | Rwanda | 44.90 | 2011 est. |
| 38 | Belize | 43.00 | 2010 est. |
| 39 | Djibouti | 42.00 | 2007 est. |
| 40 | Cote d'Ivoire | 42.00 | 2006 est. |
| 41 | Timor-Leste | 41.00 | 2009 est. |
| 42 | Angola | 40.50 | 2006 est. |
| 43 | Mauritania | 40.00 | 2004 est. |
| 44 | Mongolia | 39.20 | 2010 est. |
| 45 | Grenada | 38.00 | 2008 |
| 46 | Gaza Strip | 38.00 | 2010 est. |
| 47 | Benin | 37.40 | 2007 est. |
| 48 | Colombia | 37.20 | 2010 est. |
| 49 | Papua New Guinea | 37.00 | 2002 est. |
| 50 | El Salvador | 36.50 | 2010 est. |
| 51 | Mali | 36.10 | 2005 est. |
| 52 | Afghanistan | 36.00 | FY08/09 |
| 53 | Tanzania | 36.00 | 2002 est. |
| 54 | Armenia | 35.80 | 2010 est. |
| 55 | Ukraine | 35.00 | 2009 |
| 56 | Guyana | 35.00 | 2006 |
| 57 | Paraguay | 34.70 | 2010 est. |
| 58 | Dominican Republic | 34.40 | 2010 est. |
| 59 | Kyrgyzstan | 33.70 | 2011 est. |
| 60 | Burma | 32.70 | 2007 est. |
| 61 | Togo | 32.00 | 1989 est. |
| 62 | Venezuela | 31.60 | 2011 est. |
| 63 | Bangladesh | 31.51 | 2010 est. |
| 64 | Peru | 31.30 | 2010 est. |
| 65 | Cambodia | 31.00 | 2007 est. |
| 66 | Fiji | 31.00 | 2009 est. |
| 67 | Macedonia | 30.90 | 2010 |
| 68 | Botswana | 30.30 | 2003 |
| 69 | Kosovo | 30.00 | 2010 est. |
| 70 | Turkmenistan | 30.00 | 2004 est. |
| 71 | Argentina | 30.00 | 2010 |
| 72 | Cape Verde | 30.00 | 2000 |
| 73 | India | 29.80 | 2010 est. |
| 74 | Ethiopia | 29.20 | FY09/10 est. |
| 75 | Dominica | 29.00 | 2009 est. |
| 76 | Panama | 29.00 | 2011 est. |
| 77 | Virgin Islands | 28.90 | 2002 |
| 78 | Ecuador | 28.60 | December 2011 |
| 79 | Ghana | 28.50 | 2007 est. |
| 80 | Lebanon | 28.00 | 1999 est. |
| 81 | Belarus | 27.10 | 2003 est. |
| 82 | Micronesia, Federated States of | 26.70 | 2000 |
| 83 | Philippines | 26.50 | 2009 est. |
| 84 | Uzbekistan | 26.00 | 2008 est. |
| 85 | Laos | 26.00 | 2010 est. |
| 86 | Nepal | 25.20 | 2011 est. |
| 87 | Iraq | 25.00 | 2008 est. |
| 88 | Uganda | 24.50 | 2009 est. |
| 89 | Costa Rica | 24.20 | 2010 est. |
| 90 | Tonga | 24.00 | FY03/04 |
| 91 | Israel | 23.60 | 2007 |
| 92 | Bhutan | 23.20 | 2008 |
| 93 | Algeria | 23.00 | 2006 est. |
| 94 | Guam | 23.00 | 2001 est. |
| 95 | Anguilla | 23.00 | 2002 |
| 96 | Pakistan | 22.30 | FY05/06 est. |
| 97 | Moldova | 21.90 | 2010 est. |
| 98 | Bulgaria | 21.80 | 2008 |
| 99 | Brazil | 21.40 | 2009 est. |
| 100 | Romania | 21.10 | 2010 |
| 101 | Slovakia | 21.00 | 2002 |
| 102 | Croatia | 20.60 | 2010 |
| 103 | Greece | 20.00 | 2009 est. |
| 104 | Egypt | 20.00 | 2005 est. |
| 105 | Spain | 19.80 | 2005 |
| 106 | United Arab Emirates | 19.50 | 2003 |
| 107 | Bermuda | 19.00 | 2000 |
| 108 | Iran | 18.70 | 2007 est. |
| 109 | Bosnia and Herzegovina | 18.60 | 2007 est. |
| 110 | Uruguay | 18.60 | 2010 est. |
| 111 | West Bank | 18.30 | 2010 est. |
| 112 | Portugal | 18.00 | 2006 |
| 113 | Estonia | 17.50 | 2010 |
| 114 | Trinidad and Tobago | 17.00 | 2007 est. |
| 115 | Poland | 17.00 | 2003 est. |
| 116 | Turkey | 16.90 | 2010 |
| 117 | Jamaica | 16.50 | 2009 est. |
| 118 | Maldives | 16.00 | 2008 |
| 119 | Japan | 16.00 | 2010 |
| 120 | Germany | 15.50 | 2010 est. |
| 121 | Belgium | 15.20 | 2007 est. |
| 122 | Chile | 15.10 | 2009 est. |
| 123 | United States | 15.10 | 2010 est. |
| 124 | Korea, South | 15.00 | 2006 est. |
| 125 | Morocco | 15.00 | 2007 est. |
| 126 | Vietnam | 14.50 | 2010 est. |
| 127 | Jordan | 14.20 | 2002 |
| 128 | United Kingdom | 14.00 | 2006 est. |
| 129 | Hungary | 13.90 | 2010 |
| 130 | China | 13.40 | 2011 |
| 131 | Denmark | 13.40 | 2011 |
| 132 | Russia | 13.10 | 2010 |
| 133 | Albania | 12.50 | 2008 est. |
| 134 | Indonesia | 12.50 | 2011 est. |
| 135 | Slovenia | 12.30 | 2008 |
| 136 | Syria | 11.90 | 2006 est. |
| 137 | Azerbaijan | 11.00 | 2009 est. |
| 138 | Netherlands | 10.50 | 2005 |
| 139 | Georgia | 9.70 | 2010 |
| 140 | Canada | 9.40 | 2008 |
| 141 | Bahamas, The | 9.30 | 2004 |
| 142 | Serbia | 9.20 | 2010 est. |
| 143 | Greenland | 9.20 | 2007 est. |
| 144 | Czech Republic | 9.00 | 2010 est. |
| 145 | Sri Lanka | 8.90 | 2010 est. |
| 146 | Kazakhstan | 8.20 | 2009 est. |
| 147 | Thailand | 8.10 | 2009 est. |
| 148 | Mauritius | 8.00 | 2006 est. |
| 149 | Switzerland | 6.90 | 2010 |
| 150 | Montenegro | 6.60 | 2010 est. |
| 151 | France | 6.20 | 2004 |
| 152 | Austria | 6.00 | 2008 |
| 153 | Ireland | 5.50 | 2009 |
| 154 | Lithuania | 4.00 | 2008 |
| 155 | Tunisia | 3.80 | 2005 est. |
| 156 | Malaysia | 3.80 | 2009 est. |
| 157 | Taiwan | 1.16 | 2010 est. |
