Field Listing :: Terrorist groups - foreign based :: The World Factbook - Central Intelligence Agency

This entry provides information on the US State Department's designated Foreign Terrorist Organizations operating in countries other than where a particular group is headquartered. Details on each organization's aim(s) and area(s) of operation are provided.

| Country | Terrorist groups - foreign based |
| --- | --- |
| **Afghanistan** | *al-Qa'ida in the Indian Subcontinent (AQIS):* |
| | *aim(s):* establish an Islamic caliphate in the Indian subcontinent |
| | *area(s) of operation:* heaviest presence is in Afghanistan, especially in the eastern and southern regions, where most of the Afghan-based leaders are located |
| | *note:* targets primarily Afghan military and security personnel and US interests (April 2018) |
| | *Haqqani Taliban Network (HQN):* |
| | *aim(s):* expel US and Coalition forces and replace the Afghan Government with an Islamic state operating according to a strict Salafi Muslim interpretation of sharia under the Afghan Taliban |
| | *area(s) of operation:* stages attacks from Kurram and North Waziristan Agency in Pakistan's Federally Administered Tribal Areas (FATA) across from Afghanistan's southeastern border; operational throughout the country, especially in Kabul and Paktiya and Khost provinces |
| | *note:* plays a leading role in planning and executing high-profile attacks against Afghan personnel, NATO's Resolute Support Mission, US and Coalition Forces, and other US and Western interests (April 2018) |
| | *Harakat ul-Jihad-i-Islami (HUJI):* |
| | *aim(s):* implement sharia in Afghanistan; enhance its networks and drive foreign troops from Afghanistan |
| | *area(s) of operation:* operations throughout Afghanistan, targeting primarily Afghan Government personnel and Coalition forces (April 2018) |
| | *Harakat ul-Mujahidin (HUM):* |
| | *aim(s):* enhance its networks and paramilitary training in Afghanistan and, ultimately, incorporate Kashmir into Pakistan; establish an Islamic state in Kashmir |
| | *area(s) of operation:* maintains paramilitary training camps in eastern Afghanistan (April 2018) |
| | *Jaish-e-Mohammed (JEM):* |
| | *aim(s):* participate in the insurgency against Afghan and international forces to support a Taliban return to power in Afghanistan and annex the Indian state of Jammu and Kashmir to Pakistan |
| | *area(s) of operation:* historically operated in Afghanistan's eastern provinces (April 2018) |
| | *Jaysh al Adl:* |
| | *aim(s):* enhance its operational networks and capabilities for staging cross-border attacks into Pakistan and Iran |
| | *area(s) of operation:* operational in the greater Balochistan area, where fighters stage attacks targeting Shia Muslims in Iran and Pakistan |
| | *note:* formerly known as Jundallah (April 2018) |
| | *Lashkar i Jhangvi (LJ):* |
| | *aim(s):* enhance its networks and paramilitary training in Afghanistan; exterminate Shia Muslims, rid the Afghanistan-Pakistan region of Western influence |
| | *area(s) of operation:* headquartered in the east; operates paramilitary training camps near the Afghanistan-Pakistan border across from the central area of Pakistan's Federally Administered Tribal Areas (FATA) region; operatives conduct operations inside Afghanistan (April 2018) |
| | *Lashkar-e Tayyiba (LT):* |
| | *aim(s):* annex the Indian state of Jammu and Kashmir to Pakistan and foment Islamic insurgency in India; attack Western, Indian, and Afghan interests in Afghanistan; support the Taliban's return to power; enhance its recruitment networks and paramilitary training in Afghanistan, and, ultimately, install Islamic rule throughout South Asia |
| | *area(s) of operation:* targets Coalition forces and Western interests throughout the country; maintains several facilities, such as paramilitary training camps, medical clinics serving locals, and schools for youths; targets Pashtun youth for recruitmentAdministered Tribal Areas (FATA) region; operatives conduct operations inside Afghanistan (April 2018) |
| **Argentina** | *Hizballah:* |
| | *aim(s):* largely limited to generating political and financial support from the Lebanese diaspora |
| | *area(s) of operation:* conducted operations in the 1990s; maintains a limited presence (April 2018) |
| **Bangladesh** | *al-Qa'ida (AQ):* |
| | *aim(s):* overthrow the Bangladesh Government and, ultimately, establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| | *area(s) of operation:* operates in collaboration with its al-Qa'ida in the Indian Subcontinent affiliate (April 2018) |
| | *al-Qa'ida in the Indian Subcontinent (AQIS):* |
| | *aim(s):* protect Muslims in Bangladesh from perceived injustices and, ultimately, establish an Islamic caliphate in the Indian subcontinent |
| | *area(s) of operation:* active throughout the country, targeting primarily military and security personnel and US interests (April 2018) |
| **Burkina Faso** | *al-Mulathamun Battalion:* |
| | *aim(s):* replace several African governments, including Burkina Faso's government, with an Islamic state |
| | *area(s) of operation:* engages in kidnappings for ransom and violent activities across the country, including in the capital Ouagadougou |
| | (November 2018) |
| | *al-Qa'ida-affiliated Jama'at Nusrat al-Islam wal-Muslimin (JNIM):* |
| | *aim(s):* establish an Islamic state centered in Mali |
| | *area(s) of operation:* primarily based in northern and central Mali; targets Western and local interests in West Africa and Sahel; has claimed responsibility for attacks in Mali, Niger, and Burkina Faso |
| | *note:* pledged allegiance to al-Qa'ida and AQIM; holds Western hostages; wages attacks against security and peacekeeping forces in Mali (April 2018) |
| **Cameroon** | *Boko Haram:* |
| | *aim(s):* establish an Islamic caliphate across Africa |
| | *area(s) of operation:* conducts lethal bombing attacks and assaults, displacing thousands of people, especially in the Far North Region |
| | *note:* violently opposes any political or social activity associated with Western society, including voting, attending secular schools, and wearing Western dress (April 2018) |
| | *Islamic State of Iraq and ash-Sham (ISIS)-West Africa:* |
| | *aim(s):* implement ISIS's strict interpretation of Sharia; replace the Nigerian Government with an Islamic state |
| | *area(s) of operation:* based primarily in Northeast Nigeria along the border with Niger, with its largest presence in northeast Nigeria and the Lake Chad region; targets primarily regional military installations (April 2018) |
| **Chad** | *Boko Haram:* |
| | *aim(s):* establish an Islamic caliphate across Africa |
| | *area(s) of operation:* conducts kidnappings, bombings, and assaults, including in the capital, N'Djamena |
| | *note:* violently opposes any political or social activity associated with Western society, including voting, attending secular schools, and wearing Western dress (April 2018) |
| | *Islamic State of Iraq and ash-Sham (ISIS)-West Africa:* |
| | *aim(s):* implement ISIS's strict interpretation of Sharia; replace the Nigerian Government with an Islamic state |
| | *area(s) of operation:* based primarily in Northeast Nigeria along the border with Niger, with its largest presence in northeast Nigeria and the Lake Chad region; targets primarily regional military installations (April 2018) |
| **Djibouti** | *al-Shabaab:* |
| | *aim(s):* punish Djibouti for participating in the African Union Mission in Somalia; compel Djibouti to withdraw troops from Somalia |
| | *area(s) of operation:* maintains minimal operational presence (April 2018) |
| **Egypt** | *al-Qa'ida (AQ):* |
| | *aim(s):* overthrow the Egyptian Government and, ultimately, establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| | *area(s) of operation:* maintains a longtime operational presence and established networks (April 2018) |
| | *Army of Islam (AOI):* |
| | *aim(s):* disrupt the Egyptian Government's efforts to provide security and, ultimately, establish an Islamic caliphate |
| | area(s) of operation:Â operational mainly in Cairo and the Sinai Peninsula |
| | *note:* associated with ISIS Sinai Province (formerly known as Ansar Bayt al-Maqdis); targets Israeli Government interests, sometimes in collaboration with the Mujahidin Shura Council in the Environs of Jerusalem (April 2018) |
| **Ethiopia** | *al-Shabaab:* |
| | *aim(s):* punish Ethiopia for participating in the African Union Mission in Somalia; compel Ethiopia to withdraw troops from Somalia |
| | *area(s) of operation:* aspires to conduct attacks in Addis Ababa; no permanent presence (April 2018) |
| **France** | *Basque Fatherland and Liberty (ETA):* |
| | *aim(s):* establish an independent Basque homeland based on Marxist principles in what is now southwestern France and northern Spain |
| | *area(s) of operation:* maintains a presence in the southwest (April 2018) |
| **Gaza Strip** | *Abdallah Azzam Brigades (AAB):* |
| | *aim(s):* bolster its staging capabilities in the Gaza Strip against Israel to continue its attempts to disrupt Israel's economy and its efforts to establish security |
| | *area(s) of operation:* launches homemade rockets from the Gaza Strip into populated Israeli territory, primarily the cities of Nahariya and Ashkelon (April 2018) |
| | *al-Aqsa Martyrs Brigade (AAMB):* |
| | *aim(s):* bolster its staging capabilities in the Gaza Strip against Israel and, ultimately, establish a Palestinian state comprising the West Bank, Gaza Strip, and Jerusalem |
| | *area(s) of operation:* stages attacks from the Gaza Strip against Israeli soldiers and civilians inside Israel, including launching rockets and missiles (April 2018) |
| | *Islamic State of Iraq and ash-Sham (ISIS)-Sinai:* |
| | *aim(s):* bolster its staging capabilities in the Gaza Strip against Israel and, ultimately, establish a regional Islamic caliphate |
| | *area(s) of operation:* stages attacks against Egyptian forces along the Gaza Strip-Egypt border and launches rockets into southern Israel from the border closest to Israel |
| | *note:* formerly known as Ansar Bayt al-Maqdis (April 2018) |
| **India** | *al-Qa'ida (AQ):* |
| | *aim(s):* overthrow the Indian Government and, ultimately, establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| | *area(s) of operation:* maintains an operational presence as al-Qa'ida in the Indian Subcontinent (April 2018) |
| | *al-Qa'ida in the Indian Subcontinent (AQIS):* |
| | *aim(s):* establish an Islamic caliphate in the Indian subcontinent |
| | *area(s) of operation:* targets primarily military and security personnel, especially in the states of Assam, Gujarat, and Jammu and Kashmir; present in large cities, including Delhi (April 2018) |
| | *Harakat ul-Jihad-i-Islami (HUJI):* |
| | *aim(s):* enhance its networks and operational capabilities in India |
| | *area(s) of operation:* maintains an operational presence, especially in the south, including in Bangalore and Hubli (April 2018) |
| | *Harakat ul-Jihad-i-Islami/Bangladesh (HUJI-B):* |
| | *aim(s):* enhance its networks in India and, ultimately, install an Islamic state in Bangladesh |
| | *area(s) of operation:* maintains a low-profile presence (April 2018) |
| | *Harakat ul-Mujahidin (HUM):* |
| | *aim(s):* enhance its networks and paramilitary training in India and, ultimately, annex Kashmir into Pakistan and establish an Islamic state in Kashmir |
| | *area(s) of operation:* conducts attacks against Indian troops and civilians in Kashmir (April 2018) |
| | *Islamic State of Iraq and ash-Sham-Khorasan (ISIS-K):* |
| | aim(s):Â  spread the ISIS caliphate by eliminating the Indian Government and, ultimately, unite Kashmir with Pakistan |
| | area(s) of operation:Â  maintains a recruitment presence in major cities |
| | *Jaish-e-Mohammed (JEM):* |
| | *aim(s):* annex Jammu and Kashmir to Pakistan |
| | *area(s) of operation:* operates primarily in Jammu and Kashmir State (April 2018) |
| | *Lashkar-e Tayyiba (LT):* |
| | *aim(s):* annex Jammu and Kashmir State to Pakistan and, ultimately, install Islamic rule throughout South Asia |
| | *area(s) of operation:* operational throughout India, especially in the north in Jammu and Kashmir State, since at least 1993 |
| | *note:* continues to be one of the largest and most deadly of the anti-India-focused armed groups (April 2018) |
| | *Liberation Tigers of Tamil Eelam (LTTE):* |
| | *aim(s):* enhance its networks in India and, ultimately, revive the movement to establish a Tamil homeland |
| | *area(s) of operation:* maintains safe havens, transit routes, human trafficking, and an operational presence in an effort to revive the movement and conduct attacks (April 2018) |
| **Iran** | *al-Qa'ida (AQ):* |
| | *aim(s):* unite the worldwide Muslim community, overthrow governments perceived as un-Islamic, and, ultimately, establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia (April 2018) |
| | *Kurdistan Workers' Party (PKK):* |
| | *aim(s):* advance Kurdish autonomy, political, and cultural rights in Iran, Turkey, Iraq, and Syria |
| | *area(s) of operation:* operational in the northwest; majority of members inside Iran are Iranian Kurds, along with Kurds from Iraq, Syria, and Turkey (April 2018) |
| **Iraq** | *Islamic State of Iraq and ash-Sham (ISIS):* |
| | *aim(s):* replace the world order with a global Islamic state based in Iraq and Syria; expand its branches and networks in other countries; rule according to ISIS's strict interpretation of Islamic law |
| | *area(s) of operation:* operational in the rural and desert areas of central and northern Iraq, primarily within and near Sunni populations, with some presence in major population areas (April 2018) |
| **Ireland** | Continuity Irish Republican Army (CIRA): aim(s): to bring about a united Ireland |
| | area(s) of operation:Â maintains an operational presence (April 2018) |
| | *New Irish Republican Army (NIRA):* |
| | *aim(s):* to bring about a united Ireland |
| | *area(s) of operation:* maintains an operational presence |
| | *note:* formerly known as the Real Irish Republican Army (RIRA) (April 2018) |
| **Israel** | |
| **Kenya** | *al-Shabaab:* |
| | *aim(s):* establish Islamic rule in Kenyaâ€™s northeastern border region and coast; avenge Kenya's past intervention in Somalia against al-Shabaab and its ongoing participation in the African Union mission; compel Kenya to withdraw troops from Somalia; attract Kenyan recruits to support operations in Somalia |
| | *area(s) of operation:* maintains an operational and recruitment presence, mostly along the coast and the northeastern border (April 2018) |
| **Lebanon** | *al-Aqsa Martyrs Brigade (AAMB):* |
| | *aim(s):* bolster its recruitment presence in Lebanon and, ultimately, establish a Palestinian state comprising the West Bank, Gaza Strip, and Jerusalem |
| | *area(s) of operation:* recruits youths in Palestinian refugee camps (April 2018) |
| | *al-Nusrah Front/al-Qa'ida:* |
| | *aim(s):* bolster networks in Lebanon and, ultimately, establish a regional Islamic caliphate |
| | *area(s) of operation:* in the east in the Bekaa Valley and along the Lebanon-Syria border; targets Lebanese Government institutions, security forces, and Lebanese civilians (April 2018) |
| | *Palestine Liberation Front (PLF):* |
| | *aim(s):* enhance its networks in Lebanon and, ultimately, destroy the state of Israel to establish a secular, Marxist Palestinian state with Jerusalem as its capital |
| | *area(s) of operation:* maintains a recruitment and training presence in many refugee camps (April 2018) |
| | *PFLP-General Command (PFLP-GC):* |
| | *aim(s):* enhance recruitment and operational networks in Lebanon |
| | *area(s) of operation:* recruits young men living in Palestinian refugee camps, including camps in the Bekaa Valley (April 2018) |
| | *Popular Front for the Liberation of Palestine (PFLP):* |
| | *aim(s):* enhance its recruitment network in Lebanon and, ultimately, establish a secular, Marxist Palestinian state |
| | *area(s) of operation:* recruits youths residing in the country's Palestinian refugee camps (April 2018) |
| **Libya** | *al-Mulathamun Battalion:* |
| | *aim(s):* replace several African governments, including Libya's transitional government, with an Islamic state |
| | *area(s) of operation:* maintains an operational presence; engages in kidnappings for ransom (November 2018) |
| **Malaysia** | *Jemaah Islamiyah (JI):* |
| | *aim(s):* enhance networks in Malaysia and, ultimately, overthrow the secular Malaysian Government and establish a pan-Islamic state across Southeast Asia |
| | *area(s) of operation:* maintains a recruitment and operational presence, primarily in major cities (April 2018) |
| **Montenegro** | *Aum Shinrikyo (AUM):* |
| | *aim(s):* enhance its networks in Montenegro for recruitment and fundraising |
| | *area(s) of operation:* maintains a limited presence; membership drastically depleted in March 2016 when authorities expelled 58 foreign members (April 2018) |
| **Nepal** | *Indian Mujahedeen (IM):* |
| | *aim(s):* enhance networks in Nepal to carry out attacks against Indians in Nepal and India |
| | *area(s) of operation:* maintains active hubs of small, loosely connected networks (April 2018) |
| **Niger** | *al-Mulathamun Battalion:* |
| | *aim(s):* replace several African governments, including Niger's government, with an Islamic state |
| | *area(s) of operation:* conducts attacks against Nigerien military and security personnel; targets Westerners for kidnappings for ransom |
| | (November 2018) |
| | *al-Qa'ida-affiliated Jama'at Nusrat al-Islam wal-Muslimin (JNIM):* |
| | *aim(s):* establish an Islamic state centered in Mali |
| | *area(s) of operation:* primarily based in northern and central Mali; targets Western and local interests in West Africa and Sahel; has claimed responsibility for attacks in Mali, Niger, and Burkina Faso |
| | *note:* pledged allegiance to al-Qa'ida and AQIM; holds Western hostages; wages attacks against security and peacekeeping forces in Mali (April 2018) |
| | *Boko Haram:* |
| | *aim(s):* establish an Islamic caliphate across Africa |
| | *area(s) of operation:* conducts kidnappings, bombings, and assaults; responsible for displacing thousands of people and contributing to food insecurity |
| | *note:* violently opposes any political or social activity associated with Western society, including voting, attending secular schools, and wearing Western dress (April 2018) |
| **Pakistan** | *Indian Mujahedeen (IM):* |
| | *aim(s):* stated goal is to carry out terrorist attacks against Indians for perceived atrocities against Indian Muslims following the 2002 Gujarat riots |
| | *area(s) of operation:* Punjab and Sindh Provinces and Pakistan-controlled Kashmir (April 2018) |
| | *Islamic State of Iraq and ash-Sham-Khorasan (ISIS-K):* |
| | *aim(s):* establish an Islamic caliphate in the Afghanistan-Pakistan region; oppose Pakistan Government and Westerners; oppose Shia Muslim population |
| | *area(s) of operation:* maintains an operational and recruitment presence throughout the country, primarily along the Pakistan-Afghanistan border to stage attacks inside Afghanistan and Pakistan |
| | *note:* recruits from among the local population and other militant groups such as Tehrik-e Taliban Pakistan, the Afghan Taliban, and the Islamic Movement of Uzbekistan (April 2018) |
| | *Tehrik-e-Taliban Pakistan (TTP):* |
| | *aim(s):* remove Pakistani forces from the Federally Administered Tribal Areas (FATA) region; overthrow the Pakistan Government to implement TTP's strict interpretation of sharia |
| | *area(s) of operation:* maintains a large presence in Karachi, the capital of Sindh Province; trains and deploys fighters in the tribal belt in the Pashtun areas along the Pakistan-Afghanistan border, especially in Kunar and Paktika provinces where TTP has established sanctuaries; operationally active in the North Waziristan, South Waziristan, and Balochistan regions; targets Pakistan Government officials and military, security, and police personnel, as well as Westerners, pro-government tribal elders, Shia Muslims, and education figures and advocates (April 2018) |
| **Philippines** | *Jemaah Islamiyah (JI):* |
