Field Listing :: Terrorist groups - foreign based :: The World Factbook - Central Intelligence Agency

This entry provides information on the US State Department's designated Foreign Terrorist Organizations operating in countries other than where a particular group is headquartered. Details on each organization's aim(s) and area(s) of operation are provided.

| Country | Terrorist groups - foreign based |
| --- | --- |
| **Afghanistan** | *al-Qa'ida in the Indian Subcontinent (AQIS):* aim(s):Â  unite local jihadist movements in the Indian subcontinent, pursue the overthrow of local governments, exacerbate tensions between Hindus and Muslims, establish an Islamic caliphate in the Indian subcontinent |
| | *area(s) of operation:* heaviest presence is in Afghanistan, especially in the eastern and southern regions, where most of the Afghan-based leaders are located |
| | *note:* targets primarily Afghan military and security personnel and US interests (2019) |
| | Haqqani Taliban Network (HQN): aim(s): expel US and Coalition forces and replace the Afghan Government with an Islamic state operating according to a strict Salafi Muslim interpretation of sharia under the Afghan Taliban |
| | *area(s) of operation:* stages attacks from Kurram and North Waziristan Agency in Pakistan's Federally Administered Tribal Areas (FATA) across from Afghanistan's southeastern border; operational throughout the country, especially in Kabul and Paktiya and Khost provinces |
| | *note:* plays a leading role in planning and executing high-profile attacks against Afghan personnel, NATO's Resolute Support Mission, US and Coalition Forces, and other US and Western interests; strong ties with al-Qa'ida (2019) |
| | Harakat ul-Mujahidin (HUM): aim(s): enhance its networks and paramilitary training in Afghanistan and, ultimately, incorporate Kashmir into Pakistan; establish an Islamic state in Kashmir |
| | *area(s) of operation:* maintains paramilitary training camps in eastern Afghanistan (2019) |
| | Harakat ul-Jihad-i-Islami (HUJI): im(s): seeks the annexation of the state of Jammu and Kashmir and the expulsion of foreign forces from Afghanistan; implement sharia in Afghanistan |
| | *area(s) of operation:* operations throughout Afghanistan, targeting primarily Afghan Government personnel and Coalition forces; has supplied fighters to the Taliban (2019) |
| | *Islamic Revolutionary Guard Corps -- Qods Force (IRGC-QF):* |
| | aim(s):Â  initially supported anti-Taliban initiatives that complemented US goals in 2001, however, it gradually adopted an anti-NATO/anti-Afghan government strategy and began supplying financial assistance, training, and weapons to the Taliban |
| | area(s) of operations:Â  Taliban-dominated areas of Afghanistan |
| | (2019) |
| | Jaish-e-Mohammed (JEM): aim(s): annex the state of Jammu and Kashmir to Pakistan and expel international forces from Afghanistan. |
| | *area(s) of operation:* historically operated in Afghanistan's eastern provinces (2019) |
| | *Jaysh al Adl:* aim(s): enhance its operational networks and capabilities for staging cross-border attacks into Iran |
| | *area(s) of operation:* operational in the greater Balochistan area, where fighters stage attacks targeting Iranian security forces |
| | *note:* formerly known as Jundallah (2019) |
| | Lashkar i Jhangvi (LJ): aim(s): enhance its networks and paramilitary training in Afghanistan; exterminate Shia Muslims, rid the Afghanistan-Pakistan region of Western influence |
| | *area(s) of operation:* headquartered in the east; operates paramilitary training camps near the Afghanistan-Pakistan border across from the central area of Pakistan's Federally Administered Tribal Areas (FATA) region; operatives conduct operations mostly against targets in Pakistan, but also in Afghanistan; ties with al-Qa'ida and the Taliban (2019) |
| | Lashkar-e Tayyiba (LT): aim(s): annex the Indian state of Jammu and Kashmir to Pakistan and foment Islamic insurgency in India; attack Western, Indian, and Afghan interests in Afghanistan; support the Taliban's return to power; enhance its recruitment networks and paramilitary training in Afghanistan, and, ultimately, install Islamic rule throughout South Asia |
| | *area(s) of operation:* mostly focused on Indian troops and civilian targets, particularly in the states of Jammu and Kashmir, but has also targeted Coalition forces in Afghanistan; maintains several facilities, such as paramilitary training camps, medical clinics serving locals, and schools for youths; targets Pashtun youth for recruitment in the Administered Tribal Areas (FATA) region (2019) |
| **Algeria** | *al-Mulathamun Battalion:* aim(s):Â  expel Westerners from North and West Africa; create Islamic state |
| | area(s) of operation:Â most active in Mali, but claimed responsibility for the January 2013 attack against the Tiguentourine gas facility near In Amenas, in southeastern Algeria (2018) |
| **Argentina** | *Hizballah:* aim(s): largely limited to generating political and financial support from the Lebanese diaspora |
| | *area(s) of operation:* conducted operations in the 1990s; maintains a limited presence (2019) |
| **Bahrain** | *Islamic Revolutionary Guard Corps -- Qods Force (IRGC-QF):* |
| | *aim(s):* seeks to overthrow the Sunni al-Khalifa ruling family, and to expel Americaâ€™s military presence; supports anti-government insurgent groups with funding, weapons, and training |
| | *area(s) of operation:* Bahrain |
| | (2019) |
| **Bangladesh** | al-Qa'ida (AQ): aim(s): overthrow the Bangladesh Government and, ultimately, establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| | *area(s) of operation:* operates in collaboration with its al-Qa'ida in the Indian Subcontinent affiliate |
| | *note:*Â  also known as Ansar al-Islam in Bangladesh (2019) |
| | al-Qa'ida in the Indian Subcontinent (AQIS): aim(s): protect Muslims in Bangladesh from perceived injustices and, ultimately, establish an Islamic caliphate in the Indian subcontinent |
| | *area(s) of operation:* active throughout the country, targeting primarily military and security personnel, but also activists, bloggers, academics, and religious minorities |
| | *note:*Â  also known as Ansar al-Islam in Bangladesh (2019) |
| **Burkina Faso** | al-Mulathamun Battalion: aim(s): replace several African governments, including Burkina Faso's government, with an Islamic state |
| | *area(s) of operation:* engages in kidnappings for ransom and violent activities across the country, including in the capital Ouagadougou |
| | (2018) |
| | al-Qa'ida-affiliated Jama'at Nusrat al-Islam wal-Muslimin (JNIM): aim(s): establish an Islamic state centered in Mali |
| | *area(s) of operation:* primarily based in northern and central Mali; targets Western and local interests in West Africa and Sahel; has claimed responsibility for attacks in Mali, Niger, and Burkina Faso |
| | *note:* JNIM is an umbrella coalition of al-Qaeda-aligned groups, including Ansar al-Dine, al-Qa'ida in the Islamic Maghreb, al-Mouabitoun, and the Macina Liberation Front; it conducts attacks, assassinations, and improvised explosive device (IED) attacks on UN, French, and local security forces (2019) |
| | Â  |
| **Cameroon** | *Boko Haram:* aim(s): establish an Islamic caliphate across Africa |
| | *area(s) of operation:* conducts attacks, suicide bombings, targeted killings, kidnappings, and raids for supplies, especially in the Far North Region along Cameroon's border with Nigeria; perpetrates multiple and indiscriminate killings against civilians â€“ Muslim and Christian alike â€“ but also against government officials and security forces |
| | *note:* violently opposes any political or social activity associated with Western society, including voting, attending secular schools, and wearing Western dress (2019) |
| | Islamic State of Iraq and ash-Sham (ISIS)-West Africa: aim(s): implement ISIS's strict interpretation of Sharia; replace the Nigerian Government with an Islamic state |
| | *area(s) of operation:* based primarily in Northeast Nigeria along the border with Niger, with its largest presence in northeast Nigeria and the Lake Chad region; targets primarily regional military installations (2019) |
| **Chad** | *Boko Haram:* aim(s): establish an Islamic state under strict Sharia across northern Nigeria and the Lake Chad Basin region bordering Cameroon, Chad, and Niger |
| | *area(s) of operation:* most active in northeastern Nigeria (states of Yobe and Borno), but also operates in northern Cameroon, southeast Niger, and areas of Chad along the Nigerian border, particularly in the Lake Chad Basin; police also have arrested suspected Boko Haram members in Chad's capital, N'Djamena |
| | *note:* Boko Haram conducts attacks, suicide bombings, targeted killings, kidnappings, and raids for supplies against both civilians and security forces; violently opposes any political or social activity associated with Western society, including voting, attending secular schools, and wearing Western dress (2019) |
| | Islamic State of Iraq and ash-Sham (ISIS)-West Africa: aim(s): implement ISIS's strict interpretation of Sharia; replace regional governments with an Islamic state |
| | *area(s) of operation:* based primarily in northeast Nigeria along the border with Niger and Chad, with its largest presence in northeast Nigeria and the Lake Chad Basin area (2018) |
