CIA - The World Factbook --  RAILWAYS

Railways compares the total route length of the railway network and of its component parts.

| Rank | Country | (KM) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 293,564 | 2014 |
| 2 | China | 191,270 | 2014 |
| 3 | Russia | 87,157 | 2014 |
| 4 | Canada | 77,932 | 2014 |
| 5 | India | 68,525 | 2014 |
| 6 | Germany | 43,468 | 2014 |
| 7 | Australia | 36,968 | 2014 |
| 8 | Argentina | 36,917 | 2014 |
| 9 | United Kingdom | 30,859 | 2014 |
| 10 | France | 29,640 | 2014 |
| 11 | Brazil | 28,538 | 2014 |
| 12 | Japan | 27,155 | 2012 |
| 13 | Ukraine | 21,733 | 2014 |
| 14 | South Africa | 20,986 | 2014 |
| 15 | Italy | 20,182 | 2014 |
| 16 | Poland | 19,837 | 2014 |
| 17 | Spain | 16,102 | 2014 |
| 18 | Mexico | 15,389 | 2014 |
| 19 | Kazakhstan | 14,184 | 2014 |
| 20 | Turkey | 12,008 | 2014 |
| 21 | Sweden | 11,915 | 2014 |
| 22 | Romania | 11,268 | 2014 |
| 23 | Czechia | 9,622 | 2014 |
| 24 | Iran | 8,484 | 2014 |
| 25 | Cuba | 8,285 | 2014 |
| 26 | Indonesia | 8,159 | 2014 |
| 27 | Hungary | 8,049 | 2014 |
| 28 | Pakistan | 7,789 | 2014 |
| 29 | Korea, North | 7,435 | 2014 |
| 30 | Chile | 7,282 | 2014 |
| 31 | Sudan | 7,251 | 20014 |
| 32 | Finland | 5,919 | 2014 |
| 33 | Switzerland | 5,652 | 2014 |
| 34 | Belarus | 5,528 | 2014 |
| 35 | Austria | 5,268 | 2014 |
| 36 | Bulgaria | 5,114 | 2014 |
| 37 | Egypt | 5,085 | 2014 |
| 38 | Burma | 5,031 | 2008 |
| 39 | Mozambique | 4,787 | 2014 |
| 40 | Tanzania | 4,567 | 2014 |
| 41 | Norway | 4,250 | 2014 |
| 42 | New Zealand | 4,128 | 2014 |
| 43 | Thailand | 4,071 | 2014 |
| 44 | Congo, Democratic Republic of the | 4,007 | 2014 |
| 45 | Algeria | 3,973 | 2014 |
| 46 | Serbia | 3,808 | 2014 |
| 47 | Nigeria | 3,798 | 2014 |
| 48 | Uzbekistan | 3,645 | 2014 |
| 49 | Slovakia | 3,624 | 2014 |
| 50 | Belgium | 3,592 | 2014 |
| 51 | Bolivia | 3,504 | 2014 |
| 52 | Korea, South | 3,460 | 2014 |
| 53 | Zimbabwe | 3,427 | 2014 |
| 54 | Kenya | 3,334 | 2014 |
| 55 | Ireland | 3,237 | 2014 |
| 56 | Netherlands | 3,223 | 2014 |
| 57 | Zambia | 3,126 | 2014 |
| 58 | Portugal | 3,075 | 2014 |
| 59 | Turkmenistan | 2,980 | 2014 |
| 60 | Angola | 2,852 | 2014 |
| 61 | Croatia | 2,722 | 2014 |
| 62 | Namibia | 2,628 | 2014 |
| 63 | Vietnam | 2,600 | 2014 |
| 64 | Greece | 2,548 | 2014 |
| 65 | Bangladesh | 2,460 | 2014 |
| 66 | Denmark | 2,414 | 2014 |
| 67 | Iraq | 2,272 | 2014 |
| 68 | Latvia | 2,239 | 2008 |
| 69 | Tunisia | 2,173 | 2014 |
| 70 | Azerbaijan | 2,068 | 2014 |
| 71 | Morocco | 2,067 | 2014 |
| 72 | Syria | 2,052 | 2014 |
| 73 | Peru | 1,854 | 2014 |
| 74 | Malaysia | 1,849 | 2014 |
| 75 | Mongolia | 1,815 | 2014 |
| 76 | Lithuania | 1,768 | 2014 |
| 77 | Uruguay | 1,641 | 2014 |
| 78 | Taiwan | 1,597 | 2014 |
| 79 | Sri Lanka | 1,447 | 2014 |
| 80 | Saudi Arabia | 1,378 | 2014 |
| 81 | Georgia | 1,363 | 2014 |
| 82 | Israel | 1,250 | 2014 |
| 83 | Uganda | 1,244 | 2014 |
| 84 | Slovenia | 1,229 | 2014 |
| 85 | Estonia | 1,196 | 2014 |
| 86 | Moldova | 1,171 | 2014 |
| 87 | Cameroon | 987 | 2014 |
| 88 | Bosnia and Herzegovina | 965 | 2014 |
| 89 | Ecuador | 965 | 2014 |
| 90 | Ghana | 947 | 2014 |
| 91 | Senegal | 906 | 2014 |
| 92 | Philippines | 897 | 2014 |
| 93 | Botswana | 888 | 2014 |
| 94 | Colombia | 874 | 2014 |
| 95 | Madagascar | 836 | 2014 |
| 96 | Guatemala | 800 | 2014 |
| 97 | Armenia | 780 | 2014 |
| 98 | Malawi | 767 | 2014 |
| 99 | Mauritania | 728 | 2014 |
| 100 | Honduras | 699 | 2014 |
| 101 | Macedonia | 699 | 2014 |
| 102 | Ethiopia | 681 | 2015 |
| 103 | Tajikistan | 680 | 2014 |
| 104 | Albania | 677 | 2014 |
| 105 | Guinea | 662 | 20014 |
| 106 | Cote d'Ivoire | 660 | 2008 |
| 107 | Gabon | 649 | 2014 |
| 108 | Cambodia | 642 | 2014 |
| 109 | Burkina Faso | 622 | 2014 |
| 110 | Fiji | 597 | 2008 |
| 111 | Mali | 593 | 2014 |
| 112 | Togo | 568 | 2014 |
| 113 | Congo, Republic of the | 510 | 2014 |
| 114 | Jordan | 507 | 2008 |
| 115 | Dominican Republic | 496 | 2014 |
| 116 | Kyrgyzstan | 470 | 2014 |
| 117 | Venezuela | 447 | 2014 |
| 118 | Benin | 438 | 2014 |
| 119 | Liberia | 429 | 2008 |
| 120 | Lebanon | 401 | 2008 |
| 121 | Kosovo | 333 | 2014 |
| 122 | Eritrea | 306 | 2014 |
| 123 | Swaziland | 301 | 2014 |
| 124 | Costa Rica | 278 | 2014 |
| 125 | Luxembourg | 275 | 2014 |
| 126 | Montenegro | 250 | 2014 |
| 127 | South Sudan | 248 | 2014 |
| 128 | Djibouti | 100 | 2008 |
| 129 | Panama | 77 | 2014 |
| 130 | Isle of Man | 63 | 2008 |
| 131 | Nepal | 53 | 2014 |
| 132 | Saint Kitts and Nevis | 50 | 2008 |
| 133 | Paraguay | 30 | 2014 |
| 134 | Christmas Island | 18 | 2010 |
| 135 | El Salvador | 13 | 2014 |
| 136 | Liechtenstein | 9 | 2008 |


