CIA - The World Factbook --  Railways   

This entry states the total route length of the railway network and of its component parts by gauge: broad, standard, narrow, and dual. Other gauges are listed under note.

| Rank | country | (km) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 226,427 | 2007 |
| 2 | Russia | 87,157 | 2006 |
| 3 | China | 77,834 | 2008 |
| 4 | India | 63,327 | 2007 |
| 5 | Canada | 46,688 | 2008 |
| 6 | Germany | 41,896 | 2008 |
| 7 | Australia | 37,855 | 2008 |
| 8 | Argentina | 31,409 | 2008 |
| 9 | France | 29,213 | 2008 |
| 10 | Brazil | 28,857 | 2008 |
| 11 | Japan | 23,506 | 2008 |
| 12 | Poland | 22,314 | 2007 |
| 13 | Ukraine | 21,655 | 2008 |
| 14 | South Africa | 20,872 | 2008 |
| 15 | Italy | 19,729 | 2008 |
| 16 | Mexico | 17,516 | 2008 |
| 17 | United Kingdom | 16,454 | 2008 |
| 18 | Spain | 15,288 | 2008 |
| 19 | Kazakhstan | 13,700 | 2008 |
| 20 | Sweden | 11,633 | 2008 |
| 21 | Romania | 10,788 | 2008 |
| 22 | Czech Republic | 9,620 | 2008 |
| 23 | Turkey | 8,697 | 2008 |
| 24 | Cuba | 8,598 | 2006 |
| 25 | Indonesia | 8,529 | 2008 |
| 26 | Iran | 8,442 | 2008 |
| 27 | Hungary | 8,057 | 2008 |
| 28 | Pakistan | 7,791 | 2007 |
| 29 | Austria | 6,399 | 2008 |
| 30 | Sudan | 5,978 | 2008 |
| 31 | Finland | 5,794 | 2008 |
| 32 | Belarus | 5,538 | 2008 |
| 33 | Chile | 5,481 | 2008 |
| 34 | Korea, North | 5,235 | 2006 |
| 35 | Egypt | 5,063 | 2008 |
| 36 | Switzerland | 4,888 | 2008 |
| 37 | Mozambique | 4,787 | 2008 |
| 38 | Bulgaria | 4,294 | 2008 |
| 39 | New Zealand | 4,128 | 2008 |
| 40 | Norway | 4,114 | 2009 |
| 41 | Thailand | 4,071 | 2008 |
| 42 | Congo, Democratic Republic of the | 4,007 | 2008 |
| 43 | Algeria | 3,973 | 2008 |
| 44 | Burma | 3,955 | 2008 |
| 45 | Colombia | 3,802 | 2008 |
| 46 | Tanzania | 3,689 | 2008 |
| 47 | Uzbekistan | 3,645 | 2008 |
| 48 | Slovakia | 3,622 | 2008 |
| 49 | Nigeria | 3,505 | 2008 |
