CIA - The World Factbook --  ELECTRICITY - IMPORTS

Electricity - imports is the total imported electricity in kilowatt-hours.

| Rank | Country | (KWH) | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | 349,500,000,000 | 2013 est. |
| 2 | United States | 80,660,000,000 | 2016 est. |
| 3 | Italy | 43,180,000,000 | 2016 est. |
| 4 | Brazil | 34,640,000,000 | 2015 est. |
| 5 | Switzerland | 34,100,000,000 | 2016 est. |
| 6 | Germany | 28,340,000,000 | 2016 est. |
| 7 | Austria | 26,340,000,000 | 2016 est. |
| 8 | Netherlands | 24,260,000,000 | 2016 est. |
| 9 | Finland | 22,110,000,000 | 2016 est. |
| 10 | Spain | 21,850,000,000 | 2016 est. |
| 11 | France | 20,790,000,000 | 2016 est. |
| 12 | United Kingdom | 19,700,000,000 | 2016 est. |
| 13 | Hungary | 17,950,000,000 | 2016 est. |
| 14 | Denmark | 14,980,000,000 | 2016 est. |
| 15 | Belgium | 14,650,000,000 | 2016 est. |
| 16 | Thailand | 14,410,000,000 | 2015 est. |
| 17 | Sweden | 14,290,000,000 | 2016 est. |
| 18 | Poland | 14,020,000,000 | 2016 est. |
| 19 | Czechia | 13,820,000,000 | 2016 est. |
| 20 | Slovakia | 13,250,000,000 | 2016 est. |
| 21 | Uzbekistan | 13,000,000,000 | 2014 est. |
| 22 | Iraq | 12,000,000,000 | 2016 est. |
| 23 | Hong Kong | 11,620,000,000 | 2016 est. |
| 24 | South Africa | 10,560,000,000 | 2016 est. |
| 25 | Mozambique | 10,550,000,000 | 2015 est. |
| 26 | Greece | 9,833,000,000 | 2016 est. |
| 27 | Canada | 9,303,000,000 | 2016 est. |
| 28 | Argentina | 9,018,000,000 | 2015 est. |
| 29 | Croatia | 8,640,000,000 | 2015 est. |
| 30 | Slovenia | 8,325,000,000 | 2016 est. |
| 31 | Lithuania | 7,938,000,000 | 2015 est. |
| 32 | Luxembourg | 7,718,000,000 | 2016 est. |
| 33 | Turkey | 6,400,000,000 | 2016 est. |
| 34 | China | 6,185,000,000 | 2016 est. |
| 35 | Belarus | 6,104,000,000 | 2015 est. |
| 36 | Norway | 5,700,000,000 | 2016 est. |
| 37 | West Bank | 5,403,000,000 | 2015 est. |
| 38 | India | 5,244,000,000 | 2015 est. |
| 39 | Morocco | 5,140,000,000 | 2015 est. |
| 40 | Serbia | 5,065,000,000 | 2016 est. |
| 41 | Latvia | 4,828,000,000 | 2016 est. |
| 42 | Portugal | 4,616,000,000 | 2016 est. |
| 43 | Romania | 4,492,000,000 | 2015 est. |
| 44 | Macau | 4,306,000,000 | 2016 est. |
| 45 | Bulgaria | 4,250,000,000 | 2015 est. |
| 46 | Iran | 4,148,000,000 | 2015 est. |
| 47 | Bosnia and Herzegovina | 3,872,000,000 | 2015 est. |
| 48 | Afghanistan | 3,779,000,000 | 2015 est. |
| 49 | Estonia | 3,573,000,000 | 2016 est. |
| 50 | Russia | 3,194,000,000 | 2016 est. |
| 51 | Namibia | 2,623,000,000 | 2015 est. |
| 52 | Vietnam | 2,393,000,000 | 2015 est. |
| 53 | Ukraine | 2,241,000,000 | 2015 est. |
| 54 | Macedonia | 2,191,000,000 | 2016 est. |
| 55 | Laos | 2,050,000,000 | 2015 est. |
| 56 | Albania | 1,827,000,000 | 2016 est. |
| 57 | Nepal | 1,758,000,000 | FY 2016 est. |
| 58 | Kazakhstan | 1,618,000,000 | 2015 est. |
| 59 | Cambodia | 1,526,000,000 | 2015 est. |
| 60 | Botswana | 1,468,000,000 | 2015 est. |
| 61 | Mongolia | 1,427,000,000 | 2015 est. |
| 62 | Cameroon | 1,414,000,000 | 2015 est. |
| 63 | Togo | 1,242,000,000 | 2015 est. |
| 64 | Zimbabwe | 1,139,000,000 | 2015 est. |
| 65 | Swaziland | 1,080,000,000 | 2015 est. |
| 66 | Benin | 1,078,000,000 | 2015 est. |
| 67 | El Salvador | 1,066,000,000 | 2016 est. |
| 68 | Malta | 1,054,000,000 | 2015 est. |
| 69 | Montenegro | 1,040,000,000 | 2015 est. |
| 70 | Ireland | 871,000,000 | 2016 est. |
| 71 | Zambia | 785,000,000 | 2015 est. |
| 72 | Niger | 782,000,000 | 2015 est. |
| 73 | Guatemala | 746,900,000 | 2016 est. |
| 74 | Kyrgyzstan | 729,000,000 | 2015 est. |
