CIA - The World Factbook --  Electricity - imports   

This entry is the total imported electricity in kilowatt-hours.

| Rank | country | (kWh) | Date of Information |
| --- | --- | --- | --- |
| 1 | Paraguay | 45,130,000,000.00 | 2009 est. |
| 2 | Italy | 44,450,000,000.00 | 2009 est. |
| 3 | Brazil | 39,670,000,000.00 | 2009 est. |
| 4 | United States | 34,320,000,000.00 | 2009 est. |
| 5 | Canada | 33,620,000,000.00 | 2009 est. |
| 6 | France | 25,700,000,000.00 | 2009 est. |
| 7 | Russia | 14,630,000,000.00 | 2009 est. |
| 8 | Czech Republic | 13,640,000,000.00 | 2009 est. |
| 9 | Germany | 12,280,000,000.00 | 2009 est. |
| 10 | Hong Kong | 12,260,000,000.00 | 2010 est. |
| 11 | Finland | 12,090,000,000.00 | 2009 est. |
| 12 | Uzbekistan | 11,440,000,000.00 | 2009 est. |
| 13 | China | 11,380,000,000.00 | 2009 est. |
| 14 | Hungary | 9,879,000,000.00 | 2010 est. |
| 15 | Norway | 8,983,000,000.00 | 2009 est. |
| 16 | Spain | 8,104,000,000.00 | 2009 est. |
| 17 | Ukraine | 6,730,000,000.00 | 2008 est. |
| 18 | Bhutan | 5,693,000,000.00 | 2008 est. |
| 19 | Iraq | 5,600,000,000.00 | 2009 est. |
| 20 | Argentina | 5,530,000,000.00 | 2009 est. |
| 21 | India | 5,270,000,000.00 | 2009 est. |
| 22 | Zimbabwe | 5,268,000,000.00 | 2008 est. |
| 23 | Croatia | 5,073,000,000.00 | 2009 est. |
| 24 | Bulgaria | 5,073,000,000.00 | 2009 est. |
| 25 | Netherlands | 4,888,000,000.00 | 2009 est. |
| 26 | Portugal | 4,776,000,000.00 | 2009 est. |
| 27 | Sweden | 4,686,000,000.00 | 2009 est. |
| 28 | Greece | 4,368,000,000.00 | 2009 est. |
| 29 | Vietnam | 3,850,000,000.00 | 2009 est. |
| 30 | Israel | 3,666,000,000.00 | 2008 est. |
| 31 | Mozambique | 3,436,000,000.00 | 2008 est. |
| 32 | Morocco | 3,429,000,000.00 | 2009 est. |
| 33 | Luxembourg | 3,418,000,000.00 | 2009 est. |
| 34 | West Bank | 3,200,000,000.00 | 2008 est. |
| 35 | Slovenia | 3,041,000,000.00 | 2009 est. |
| 36 | Estonia | 3,025,000,000.00 | 2009 est. |
| 37 | Moldova | 2,958,000,000.00 | 2008 est. |
| 38 | Lithuania | 2,932,000,000.00 | 2009 est. |
| 39 | United Kingdom | 2,861,000,000.00 | 2009 est. |
| 40 | Macau | 2,790,000,000.00 | 2010 est. |
| 41 | Thailand | 2,313,000,000.00 | 2009 est. |
| 42 | Romania | 2,295,000,000.00 | 2009 est. |
| 43 | Poland | 2,191,000,000.00 | 2009 est. |
| 44 | Switzerland | 2,157,000,000.00 | 2009 est. |
| 45 | Namibia | 2,100,000,000.00 | 2008 est. |
| 46 | Iran | 2,060,000,000.00 | 2009 est. |
| 47 | Botswana | 1,959,000,000.00 | 2009 est. |
| 48 | Kazakhstan | 1,940,000,000.00 | 2009 est. |
| 49 | Albania | 1,884,000,000.00 | 2009 est. |
| 50 | Belarus | 1,840,000,000.00 | 2008 est. |
| 51 | Belgium | 1,837,000,000.00 | 2009 est. |
| 52 | South Africa | 1,757,000,000.00 | 2009 est. |
| 53 | Latvia | 1,654,000,000.00 | 2009 est. |
| 54 | Turkmenistan | 1,476,000,000.00 | 2008 est. |
| 55 | Colombia | 1,396,000,000.00 | 2008 est. |
| 56 | Macedonia | 1,370,000,000.00 | 2010 est. |
| 57 | Slovakia | 1,312,000,000.00 | 2009 est. |
| 58 | Bosnia and Herzegovina | 1,200,000,000.00 | 2009 est. |
| 59 | Lebanon | 1,114,000,000.00 | 2009 est. |
| 60 | Ecuador | 1,099,000,000.00 | 2008 est. |
| 61 | Laos | 999,000,000.00 | 2010 est. |
| 62 | Egypt | 896,000,000.00 | 2008 est. |
| 63 | Chile | 818,000,000.00 | 2009 est. |
| 64 | Austria | 776,000,000.00 | 2009 est. |
| 65 | Serbia | 770,000,000.00 | 2010 |
| 66 | Swaziland | 756,000,000.00 | 2009 est. |
| 67 | Ireland | 756,000,000.00 | 2010 est. |
| 68 | Turkey | 737,000,000.00 | 2009 est. |
| 69 | Mexico | 699,200,000.00 | 2009 est. |
| 70 | Togo | 666,000,000.00 | 2008 est. |
| 71 | Benin | 651,000,000.00 | 2008 est. |
| 72 | Cote d'Ivoire | 599,000,000.00 | 2008 est. |
| 73 | Azerbaijan | 596,000,000.00 | 2008 est. |
| 74 | Congo, Democratic Republic of the | 591,000,000.00 | 2008 est. |
| 75 | Kyrgyzstan | 535,000,000.00 | 2008 est. |
| 76 | Andorra | 497,700,000.00 | 2009 |
| 77 | Niger | 440,000,000.00 | 2008 est. |
| 78 | Congo, Republic of the | 436,000,000.00 | 2008 est. |
| 79 | Uruguay | 386,800,000.00 | 2010 est. |
| 80 | Cambodia | 374,000,000.00 | 2008 est. |
| 81 | Venezuela | 373,000,000.00 | 2009 est. |
| 82 | Tajikistan | 338,500,000.00 | 2010 est. |
| 83 | Denmark | 333,000,000.00 | 2009 est. |
| 84 | Zambia | 279,000,000.00 | 2008 est. |
| 85 | Ghana | 263,000,000.00 | 2008 est. |
| 86 | Jordan | 224,000,000.00 | 2008 est. |
| 87 | Mongolia | 214,100,000.00 | 2010 |
| 88 | El Salvador | 208,400,000.00 | 2009 est. |
| 89 | Burkina Faso | 144,600,000.00 | 2009 est. |
| 90 | Afghanistan | 120,000,000.00 | 2008 est. |
| 91 | Georgia | 117,000,000.00 | 2008 est. |
| 92 | Lesotho | 107,000,000.00 | 2009 est. |
| 93 | Rwanda | 88,000,000.00 | 2008 est. |
| 94 | Uganda | 82,040,000.00 | 2009 est. |
| 95 | Burundi | 80,000,000.00 | 2008 est. |
| 96 | Panama | 73,000,000.00 | 2008 est. |
| 97 | Guatemala | 71,000,000.00 | 2008 est. |
| 98 | Costa Rica | 70,000,000.00 | 2008 est. |
| 99 | Nepal | 70,000,000.00 | 2008 est. |
| 100 | Algeria | 49,000,000.00 | 2008 est. |
| 101 | Libya | 48,000,000.00 | 2008 est. |
| 102 | Armenia | 17,000,000.00 | 2008 est. |
| 103 | Kenya | 16,000,000.00 | 2008 est. |
| 104 | Tunisia | 7,000,000.00 | 2008 est. |
| 105 | Nicaragua | 2,000,000.00 | 2009 est. |
| 106 | Gaza Strip | 120,000.00 | 2009 |
| 107 | Mauritania | 0.00 | 2009 est. |
| 108 | Malta | 0.00 | 2009 est. |
| 109 | Oman | 0.00 | 2009 est. |
| 110 | Maldives | 0.00 | 2009 est. |
| 111 | Malaysia | 0.00 | 2009 est. |
| 112 | New Caledonia | 0.00 | 2009 est. |
| 113 | Niue | 0.00 | 2009 est. |
| 114 | Vanuatu | 0.00 | 2009 est. |
| 115 | Nigeria | 0.00 | 2009 est. |
| 116 | Nauru | 0.00 | 2009 est. |
| 117 | Suriname | 0.00 | 2009 est. |
| 118 | New Zealand | 0.00 | 2009 est. |
| 119 | Peru | 0.00 | 2010 est. |
| 120 | Pakistan | 0.00 | 2009 est. |
| 121 | Papua New Guinea | 0.00 | 2009 est. |
| 122 | Guinea-Bissau | 0.00 | 2009 est. |
| 123 | Qatar | 0.00 | 2009 est. |
| 124 | Philippines | 0.00 | 2009 est. |
| 125 | Puerto Rico | 0.00 | 2009 est. |
| 126 | Saudi Arabia | 0.00 | 2009 est. |
| 127 | Saint Pierre and Miquelon | 0.00 | 2009 est. |
| 128 | Saint Kitts and Nevis | 0.00 | 2009 est. |
| 129 | Seychelles | 0.00 | 2009 est. |
| 130 | Senegal | 0.00 | 2009 est. |
| 131 | Saint Helena, Ascension, and Tristan da Cunha | 0.00 | 2009 est. |
| 132 | Sierra Leone | 0.00 | 2009 est. |
| 133 | Singapore | 0.00 | 2009 est. |
| 134 | Somalia | 0.00 | 2009 est. |
| 135 | Saint Lucia | 0.00 | 2009 est. |
| 136 | Sudan | 0.00 | 2009 est. |
| 137 | Syria | 0.00 | 2009 est. |
| 138 | Trinidad and Tobago | 0.00 | 2009 est. |
| 139 | Turks and Caicos Islands | 0.00 | 2009 est. |
| 140 | Tonga | 0.00 | 2009 est. |
| 141 | Sao Tome and Principe | 0.00 | 2009 est. |
| 142 | Timor-Leste | 0.00 | 2009 est. |
| 143 | Taiwan | 0.00 | 2009 est. |
| 144 | Tanzania | 0.00 | 2008 est. |
| 145 | Saint Vincent and the Grenadines | 0.00 | 2009 est. |
| 146 | British Virgin Islands | 0.00 | 2009 est. |
| 147 | Virgin Islands | 0.00 | 2009 est. |
| 148 | Wallis and Futuna | 0.00 | 2002 |
