CIA - The World Factbook -- Field Listing - Merchant marine

| Country | Merchant marine |
| --- | --- |
| **Albania** | *total:* 13 ships (1,000 GRT or over) 21,954 GRT/34,412 DWT |
| | *ships by type:* bulk 1, cargo 11, roll on/roll off 1, includes some foreign-owned ships registered here as a flag of convenience: Croatia 1, Honduras 1 (2002 est.) |
| **Algeria** | *total:* 69 ships (1,000 GRT or over) 884,032 GRT/1,010,777 DWT |
| | *ships by type:* bulk 9, cargo 23, chemical tanker 6, liquefied gas 10, petroleum tanker 4, roll on/roll off 12, short-sea passenger 4, specialized tanker 1, includes some foreign-owned ships registered here as a flag of convenience: United Arab Emirates 2 (2002 est.) |
| **American Samoa** | none (2002 est.) |
| **Angola** | *total:* 8 ships (1,000 GRT or over) 30,311 GRT/48,924 DWT |
| | *ships by type:* cargo 7, petroleum tanker 1 (2002 est.) |
| **Anguilla** | none (2002 est.) |
| **Antigua and Barbuda** | *total:* 816 ships (1,000 GRT or over) 5,135,866 GRT/6,648,143 DWT |
| | *ships by type:* bulk 16, cargo 474, chemical tanker 8, combination bulk 3, container 255, liquefied gas 10, multi-functional large-load carrier 6, petroleum tanker 1, refrigerated cargo 8, roll on/roll off 35 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Australia 1, Bangladesh 2, Belgium 3, Colombia 1, Cuba 1, Estonia 1, Germany 747, Greece 1, Iceland 8, Latvia 1, Lebanon 2, Lithuania 1, Netherlands 22, New Zealand 2, Portugal 1, Slovenia 6, South Africa 1, Sweden 2, United Kingdom 1, United States 7 (2002 est.) |
| **Argentina** | *total:* 23 ships (1,000 GRT or over) 141,851 GRT/208,821 DWT |
| | *ships by type:* cargo 9, petroleum tanker 8, railcar carrier 1, refrigerated cargo 2, roll on/roll off 1, short-sea passenger 1, specialized tanker 1, includes some foreign-owned ships registered here as a flag of convenience: United Arab Emirates 1, Uruguay 1 (2002 est.) |
| **Aruba** | *total:* 3 |
| | *ships by type:* bulk 1, cargo 1, petroleum tanker 1 |
| | *note:* there is one foreign-owned ship registered here as a flag of convenience: Monaco 1 (2002 est.) |
| **Australia** | *total:* 51 ships (1,000 GRT or over) 1,415,810 GRT/1,806,554 DWT |
| | *ships by type:* bulk 20, cargo 6, chemical tanker 3, combination bulk 1, container 2, liquefied gas 4, passenger 2, petroleum tanker 7, roll on/roll off 6 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: France 2, UK 2, US 14 (2002 est.) |
| **Austria** | *total:* 5 ships (1,000 GRT or over) 27,551 GRT/34,225 DWT |
| | *ships by type:* cargo 4, container 1 (2002 est.) |
| **Azerbaijan** | *total:* 55 ships (1,000 GRT or over) 251,004 GRT/313,193 DWT |
| | *ships by type:* cargo 13, petroleum tanker 40, roll on/roll off 2 (2002 est.) |
| **Bahamas, The** | *total:* 1,090 ships (1,000 GRT or over) 33,065,778 GRT/46,202,085 DWT |
| | *ships by type:* bulk 150, cargo 223, chemical tanker 45, combination bulk 12, combination ore/oil 18, container 108, liquefied gas 26, livestock carrier 2, multi-functional large-load carrier 8, passenger 102, passenger/cargo 1, petroleum tanker 178, refrigerated cargo 135, roll on/roll off 40, short-sea passenger 17, specialized tanker 2, vehicle carrier 23 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Angola 1, Argentina 1, Australia 4, Belgium 18, Bermuda 1, Canada 5, Chile 1, China 3, Croatia 2, Cuba 3, Cyprus 2, Denmark 27, Ecuador 1, Estonia 2, Finland 9, France 15, Germany 26, Greece 173, Hong Kong 6, India 2, Indonesia 2, Ireland 1, Israel 3, Italy 9, Jamaica 1, Japan 32, Kenya 3, Malaysia 10, Malta 2, Monaco 67, Netherlands 32, New Zealand 2, Norway 237, Panama 2, Philippines 3, Poland 13, Reunion 1, Russia 6, Saudi Arabia 9, Singapore 13, Slovenia 1, South Korea 2, Spain 7, Sweden 12, Switzerland 8, Thailand 1, Trinidad and Tobago 2, Turkey 2, Ukraine 2, United Arab Emirates 10, United Kingdom 107, United States 159, Uruguay 1 (2002 est.) |
| **Bahrain** | *total:* 7 ships (1,000 GRT or over) 234,599 GRT/336,528 DWT |
| | *ships by type:* bulk 3, cargo 1, container 2, petroleum tanker 1, includes a foreign-owned ship registered here as a flag of convenience: Kuwait 1 (2002 est.) |
| **Bangladesh** | *total:* 40 ships (1,000 GRT or over) 314,437 GRT/436,465 DWT |
| | *ships by type:* bulk 2, cargo 23, container 11, passenger 1, petroleum tanker 2, refrigerated cargo 1 (2002 est.) |
| **Barbados** | *total:* 34 ships (1,000 GRT or over) 284,222 GRT/439,810 DWT |
| | *ships by type:* bulk 8, cargo 22, combination bulk 1, container 1, petroleum tanker 2 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Australia 1, The Bahamas 1, Canada 4, Germany 1, Greece 2, Hong Kong 7, Norway 7, UK 18 (2002 est.) |
| **Belgium** | *total:* 20 ships (1,000 GRT or over) 32,215 GRT/55,725 DWT |
| | *ships by type:* cargo 6, chemical tanker 10, petroleum tanker 4, includes some foreign-owned ships registered here as a flag of convenience: Finland 1, Netherlands 3 (2002 est.) |
| **Belize** | *total:* 292 ships (1,000 GRT or over) 1,030,141 GRT/1,499,777 DWT |
| | *ships by type:* bulk 15, cargo 200, chemical tanker 7, combination ore/oil 1, container 12, petroleum tanker 31, refrigerated cargo 18, roll on/roll off 5, specialized tanker 2, vehicle carrier 1 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Albania 2, Belgium 3, British Virgin Islands 6, Cambodia 1, China 38, Cyprus 1, Ecuador 1, Egypt 1, Equatorial Guinea 1, Eritrea 1, Estonia 7, Germany 3, Greece 4, Grenada 1, Honduras 1, Hong Kong 20, Indonesia 6, Italy 2, Japan 4, Jordan 1, Lebanon 1, Liberia 5, Malaysia 3, Malta 2, Man, Isle of 1, Marshall Islands 13, Mexico 1, Netherlands 1, Nigeria 1, Panama 12, Philippines 4, Portugal 1, Romania 1, Russia 3, Saint Vincent and the Grenadines 3, Saudi Arabia 1, Singapore 22, South Korea 10, Spain 4, Switzerland 1, Taiwan 1, Thailand 6, Tunisia 1, Turkey 1, Ukraine 3, United Arab Emirates 9, United Kingdom 2, United States 4, Virgin Islands (UK) 6, Yemen 1 (2002 est.) |
| **Benin** | none (2002 est.) |
| **Bermuda** | *total:* 93 ships (1,000 GRT or over) 4,993,227 GRT/7,089,760 DWT |
| | *ships by type:* bulk 25, cargo 4, chemical tanker 1, container 14, liquefied gas 9, passenger 5, petroleum tanker 11, refrigerated cargo 13, roll on/roll off 7, short-sea passenger 4 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Croatia 5, Denmark 2, Germany 1, Greece 1, Hong Kong 9, Indonesia 1, Norway 2, Sweden 11, United Kingdom 52, United States 13 (2002 est.) |
| **Bolivia** | *total:* 53 ships (1,000 GRT or over) 347,535 GRT/591,113 DWT |
| | *ships by type:* bulk 2, cargo 25, chemical tanker 4, container 4, livestock carrier 1, petroleum tanker 12, roll on/roll off 1, short-sea passenger 3, specialized tanker 1 |
| | *note:* includes some foreign-owned ships registered here as a flag of Belize 2, China 2, Cuba 1, Cyprus 1, Egypt 1, Honduras 1, Latvia 2, Liberia 2, Panama 1, Saint Vincent and the Grenadines 1, Saudi Arabia 1, Singapore 1, South Korea 3, Switzerland 1, Ukraine 1, UAE 5, US 1 (2002 est.) |
| **Bosnia and Herzegovina** | none (2002 est.) |
| **Brazil** | *total:* 159 ships (1,000 GRT or over) 3,257,186 GRT/5,101,578 DWT |
| | *ships by type:* bulk 29, cargo 23, chemical tanker 7, combination ore/oil 7, container 12, liquefied gas 11, multi-functional large-load carrier 1, passenger/cargo 5, petroleum tanker 53, roll on/roll off 10, short-sea passenger 1 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Chile 2, Germany 6, Greece 1, Monaco 1 (2002 est.) |
| **British Virgin Islands** | *total:* 1 ship (1,000 GRT or over) 19,203 GRT/28,864 DWT |
| | *ships by type:* cargo 1 (2002 est.) |
| **Brunei** | *total:* 8 ships (1,000 GRT or over) 465,937 GRT/413,393 DWT |
| | *ships by type:* liquefied gas 8 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: UK 7 (2002 est.) |
| **Bulgaria** | *total:* 69 ships (1,000 GRT or over) 829,421 GRT/1,252,496 DWT |
| | *ships by type:* bulk 42, cargo 10, chemical tanker 4, container 2, passenger/cargo 1, petroleum tanker 4, railcar carrier 2, roll on/roll off 2, short-sea passenger 1, specialized tanker 1 (2002 est.) |
