CIA - The World Factbook -- Field Listing - Merchant marine

| Country | Merchant marine |
| | *by type:* bulk carrier 41, cargo 443, chemical tanker 11, container 10, livestock carrier 3, passenger/cargo 4, petroleum tanker 9, refrigerated cargo 19, roll on/roll off 2, specialized tanker 1, vehicle carrier 1 |
| | *foreign-owned:* 407 (Bulgaria 1, Canada 6, China 128, Cyprus 12, Egypt 8, Gabon 1, Greece 8, Hong Kong 15, Indonesia 1, Japan 4, South Korea 23, Latvia 2, Lebanon 6, Nigeria 2, Norway 1, Philippines 1, Russia 105, Singapore 4, Spain 1, Syria 20, Taiwan 2, Turkey 26, UAE 1, Ukraine 17, US 8, Yemen 3, unknown 1) (2006) |
| **Cameroon** | *total:* 1 ship (1000 GRT or over) 38,613 GRT/68,820 DWT |
| | *by type:* petroleum tanker 1 |
| | *foreign-owned:* 1 (France 1) (2006) |
| **Canada** | *total:* 173 ships (1000 GRT or over) 2,129,243 GRT/2,716,340 DWT |
| | *by type:* bulk carrier 62, cargo 10, chemical tanker 9, container 2, passenger 6, passenger/cargo 63, petroleum tanker 13, roll on/roll off 8 |
| | *foreign-owned:* 7 (Germany 3, Netherlands 1, Norway 1, US 2) |
| | *registered in other countries:* 111 (Australia 1, Bahamas 18, Barbados 8, Cambodia 6, Cyprus 2, Denmark 1, Honduras 1, Hong Kong 28, Liberia 2, Malta 18, Marshall Islands 6, Panama 4, Russia 1, Saint Vincent and the Grenadines 6, US 4, Vanuatu 5) (2006) |
| **Cape Verde** | *total:* 7 ships (1000 GRT or over) 12,300 GRT/7,726 DWT |
| | *by type:* cargo 2, chemical tanker 1, passenger/cargo 4 |
| | *foreign-owned:* 2 (Spain 1, UK 1) (2006) |
| **Cayman Islands** | *total:* 132 ships (1000 GRT or over) 2,746,290 GRT/4,366,790 DWT |
| | *by type:* bulk carrier 32, cargo 14, chemical tanker 42, liquefied gas 1, passenger 1, petroleum tanker 14, refrigerated cargo 23, roll on/roll off 3, specialized tanker 1, vehicle carrier 1 |
| | *foreign-owned:* 130 (Denmark 5, Germany 13, Greece 21, Italy 12, Japan 1, Malaysia 1, Netherlands 4, Norway 2, Philippines 1, Singapore 10, Sweden 9, UK 10, US 41) (2006) |
| **Chile** | *total:* 46 ships (1000 GRT or over) 649,091 GRT/898,110 DWT |
| | *by type:* bulk carrier 10, cargo 6, chemical tanker 10, container 1, liquefied gas 2, passenger 4, passenger/cargo 2, petroleum tanker 7, roll on/roll off 1, vehicle carrier 3 |
| | *foreign-owned:* 1 (Argentina 1) |
| | *registered in other countries:* 17 (Argentina 6, Brazil 1, Marshall Islands 1, Panama 9) (2006) |
| **China** | *total:* 1,723 ships (1000 GRT or over) 21,405,633 GRT/32,411,260 DWT |
| | *by type:* barge carrier 2, bulk carrier 387, cargo 695, chemical tanker 45, combination ore/oil 1, container 152, liquefied gas 31, passenger 8, passenger/cargo 83, petroleum tanker 261, refrigerated cargo 30, roll on/roll off 8, specialized tanker 6, vehicle carrier 14 |
| | *foreign-owned:* 13 (Hong Kong 7, Japan 3, South Korea 2, Norway 1) |
| | *registered in other countries:* 1,191 (Bahamas 3, Bangladesh 1, Belize 103, Bolivia 1, Cambodia 128, Cyprus 11, Georgia 2, Honduras 3, Hong Kong 274, India 2, North Korea 1, Liberia 35, Malaysia 1, Malta 14, Mongolia 4, Norway 3, Panama 420, Saint Vincent and the Grenadines 103, Sierra Leone 2, Singapore 23, Thailand 1, Tuvalu 23, unknown 33) (2006) |
| **Colombia** | *total:* 17 ships (1000 GRT or over) 42,413 GRT/58,737 DWT |
| | *by type:* cargo 13, liquefied gas 1, petroleum tanker 3 |
| | *registered in other countries:* 7 (Antigua and Barbuda 2, Panama 5) (2006) |
| **Comoros** | *total:* 121 ships (1000 GRT or over) 564,882 GRT/801,238 DWT |
| | *by type:* bulk carrier 10, cargo 85, chemical tanker 1, container 1, livestock carrier 1, passenger 2, passenger/cargo 1, petroleum tanker 9, refrigerated cargo 5, roll on/roll off 5, specialized tanker 1 |
| | *foreign-owned:* 72 (Bangladesh 1, Bulgaria 1, Greece 10, India 1, Kenya 1, Kuwait 1, Lebanon 6, Nigeria 2, Norway 1, Pakistan 2, Philippines 1, Russia 4, Saint Vincent and the Grenadines 1, Saudi Arabia 3, Syria 4, Turkey 11, UAE 6, Ukraine 14, US 2) (2006) |
| **Congo, Democratic Republic of the** | *total:* 1 ship (1000 GRT or over) 1,004 GRT/1,640 DWT |
| | *by type:* petroleum tanker 1 |
| | *foreign-owned:* 1 (Congo, Republic of the 1) (2006) |
| **Congo, Republic of the** | *registered in other countries:* 1 (Congo, Democratic Republic of the 1) (2006) |
| **Cook Islands** | *total:* 6 ships (1000 GRT or over) 48,422 GRT/51,900 DWT |
| | *by type:* cargo 2, petroleum tanker 1, refrigerated cargo 3 |
| | *foreign-owned:* 5 (Norway 1, NZ 1, Sweden 3) (2006) |
