CIA -- The World Factbook -- Ethnic groups

| Country | Ethnic groups |
| --- | --- |
| **Afghanistan** | Pashtun 38%, Tajik 25%, Hazara 19%, minor ethnic groups (Aimaks, Turkmen, Baloch, and others) 12%, Uzbek 6% |
| **Albania** | Albanian 95%, Greeks 3%, other 2% (Vlachs, Gypsies, Serbs, and Bulgarians) (1989 est.) |
| | *note:*  in 1989, other estimates of the Greek population ranged from 1% (official Albanian statistics) to 12% (from a Greek organization) |
| **Algeria** | Arab-Berber 99%, European less than 1% |
| **American Samoa** | Samoan (Polynesian) 89%, Caucasian 2%, Tongan 4%, other 5% |
| **Andorra** | Spanish 43%, Andorran 33%, Portuguese 11%, French 7%, other 6% (1998) |
| **Angola** | Ovimbundu 37%, Kimbundu 25%, Bakongo 13%, mestico (mixed European and Native African) 2%, European 1%, other 22% |
| **Anguilla** | black |
| **Antigua and Barbuda** | black, British, Portuguese, Lebanese, Syrian |
| **Argentina** | white (mostly Spanish and Italian) 97%, mestizo, Amerindian, or other nonwhite groups 3% |
| **Armenia** | Armenian 93%, Azeri 3%, Russian 2%, other (mostly Yezidi Kurds) 2% (1989) |
| | *note:*  as of the end of 1993, virtually all Azeris had emigrated from Armenia |
| **Aruba** | mixed white/Caribbean Amerindian 80% |
| **Australia** | Caucasian 92%, Asian 7%, aboriginal and other 1% |
| **Austria** | German 98%, Croatian, Slovene, other (includes Hungarians, Czechs, Slovaks, Roma) |
| **Azerbaijan** | Azeri 90%, Dagestani 3.2%, Russian 2.5%, Armenian 2%, other 2.3% (1998 est.) |
| | *note:*  almost all Armenians live in the separatist Nagorno-Karabakh region |
| **Bahamas, The** | black 85%, white 12%, Asian and Hispanic 3% |
| **Bahrain** | Bahraini 63%, Asian 19%, other Arab 10%, Iranian 8% |
| **Bangladesh** | Bengali 98%, tribal groups, non-Bengali Muslims (1998) |
| **Barbados** | black 80%, white 4%, other 16% |
| **Belarus** | Byelorussian 81.2%, Russian 11.4%, Polish, Ukrainian, and other 7.4% |
| **Belgium** | Fleming 58%, Walloon 31%, mixed or other 11% |
| **Belize** | mestizo 43.7%, Creole 29.8%, Maya 10%, Garifuna 6.2%, other 10.3% |
| **Benin** | African 99% (42 ethnic groups, most important being Fon, Adja, Yoruba, Bariba), Europeans 5,500 |
| **Bermuda** | black 58%, white 36%, other 6% |
| **Bhutan** | Bhote 50%, ethnic Nepalese 35%, indigenous or migrant tribes 15% |
| **Bolivia** | Quechua 30%, Aymara 25%, mestizo (mixed white and Amerindian ancestry) 30%, white 15% |
| **Bosnia and Herzegovina** | Serb 31%, Bosniak 44%, Croat 17%, Yugoslav 5.5%, other 2.5% (1991) |
| | *note:*  Bosniak has replaced muslim as an ethnic term in part to avoid confusion with the religious term Muslim - an adherent of Islam |
| **Botswana** | Tswana (or Setswana) 79%, Kalanga 11%, Basarwa 3%, other, including Kgalagadi and white 7% |
| **Brazil** | white (includes Portuguese, German, Italian, Spanish, Polish) 55%, mixed white and black 38%, black 6%, other (includes Japanese, Arab, Amerindian) 1% |
| **British Virgin Islands** | black 90%, white, Asian |
| **Brunei** | Malay 67%, Chinese 15%, indigenous 6%, other 12% |
| **Bulgaria** | Bulgarian 83%, Turk 8.5%, Roma 2.6%, Macedonian, Armenian, Tatar, Gagauz, Circassian, others (1998) |
| **Burkina Faso** | Mossi over 40%, Gurunsi, Senufo, Lobi, Bobo, Mande, Fulani |
| **Burma** | Burman 68%, Shan 9%, Karen 7%, Rakhine 4%, Chinese 3%, Mon 2%, Indian 2%, other 5% |
| **Burundi** | Hutu (Bantu) 85%, Tutsi (Hamitic) 14%, Twa (Pygmy) 1%, Europeans 3,000, South Asians 2,000 |
| **Cambodia** | Khmer 90%, Vietnamese 5%, Chinese 1%, other 4% |
| **Cameroon** | Cameroon Highlanders 31%, Equatorial Bantu 19%, Kirdi 11%, Fulani 10%, Northwestern Bantu 8%, Eastern Nigritic 7%, other African 13%, non-African less than 1% |
| **Canada** | British Isles origin 28%, French origin 23%, other European 15%, Amerindian 2%, other, mostly Asian, African, Arab 6%, mixed background 26% |
| **Cape Verde** | Creole (mulatto) 71%, African 28%, European 1% |
| **Cayman Islands** | mixed 40%, white 20%, black 20%, expatriates of various ethnic groups 20% |
| **Central African Republic** | Baya 34%, Banda 27%, Sara 10%, Mandjia 21%, Mboum 4%, M'Baka 4%, Europeans 6,500 (including 1,500 French) |
| **Chad** | Muslims, commonly referred to as "northerners" or "gorane" (Arabs, Toubou, Hadjerai, Fulbe, Kotoko, Kanembou, Baguirmi, Boulala, Zaghawa, and Maba); non-Muslims, commonly referred to as "southerners" (Sara, Ngambaye, Mbaye, Goulaye, Moundang, Moussei, Massa) including nonindigenous 150,000 (of whom 1,000 are French) |
| | *note:*  ethnicity and regional background more commonly used to identify Chadians than religious affiliation |
| **Chile** | white and white-Amerindian 95%, Amerindian 3%, other 2% |
| **China** | Han Chinese 91.9%, Zhuang, Uygur, Hui, Yi, Tibetan, Miao, Manchu, Mongol, Buyi, Korean, and other nationalities 8.1% |
| **Christmas Island** | Chinese 61%, Malay 25%, European 11%, other 3%, no indigenous population |
| **Cocos (Keeling) Islands** | Europeans, Cocos Malays |
| **Colombia** | mestizo 58%, white 20%, mulatto 14%, black 4%, mixed black-Amerindian 3%, Amerindian 1% |
| **Comoros** | Antalote, Cafre, Makoa, Oimatsaha, Sakalava |
| **Congo, Democratic Republic of the** | over 200 African ethnic groups of which the majority are Bantu; the four largest tribes - Mongo, Luba, Kongo (all Bantu), and the Mangbetu-Azande (Hamitic) make up about 45% of the population |
| **Congo, Republic of the** | Kongo 48%, Sangha 20%, M'Bochi 12%, Teke 17%, Europeans NA%; note - Europeans estimated at 8,500, mostly French, before the 1997 civil war; may be half that of 1998, following the widespread destruction of foreign businesses in 1997 |
| **Cook Islands** | Polynesian (full blood) 81.3%, Polynesian and European 7.7%, Polynesian and non-European 7.7%, European 2.4%, other 0.9% |
| **Costa Rica** | white (including mestizo) 94%, black 3%, Amerindian 1%, Chinese 1%, other 1% |
| **Cote d'Ivoire** | Akan 42.1%, Voltaiques or Gur 17.6%, Northern Mandes 16.5%, Krous 11%, Southern Mandes 10%, other 2.8% (1998) |
| **Croatia** | Croat 78.1%, Serb 12.2%, Bosniak 0.9%, Hungarian 0.5%, Slovenian 0.5%, Czech 0.4%, Albanian 0.3%, Montenegrin 0.3%, Roma 0.2%, others 6.6% (1991) |
| **Cuba** | mulatto 51%, white 37%, black 11%, Chinese 1% |
| **Cyprus** | Greek 78% (99.5% of the Greeks live in the Greek Cypriot area; 0.5% of the Greeks live in the Turkish Cypriot area), Turkish 18% (1.3% of the Turks live in the Greek Cypriot area; 98.7% of the Turks live in the Turkish Cypriot area), other 4% (99.2% of the other ethnic groups live in the Greek Cypriot area; 0.8% of the other ethnic groups live in the Turkish Cypriot area) |
| **Czech Republic** | Czech 81.2%, Moravian 13.2%, Slovak 3.1%, Polish 0.6%, German 0.5%, Silesian 0.4%, Roma 0.3%, Hungarian 0.2%, other 0.5% (1991) |
| **Denmark** | Scandinavian, Inuit, Faroese, German, Turkish, Iranian, Somali |
| **Djibouti** | Somali 60%, Afar 35%, French, Arab, Ethiopian, and Italian 5% |
| **Dominica** | black, Carib Amerindian |
| **Dominican Republic** | white 16%, black 11%, mixed 73% |
| **Ecuador** | mestizo (mixed Amerindian and white) 65%, Amerindian 25%, Spanish and others 7%, black 3% |
| **Egypt** | Eastern Hamitic stock (Egyptians, Bedouins, and Berbers) 99%, Greek, Nubian, Armenian, other European (primarily Italian and French) 1% |
| **El Salvador** | mestizo 90%, Amerindian 1%, white 9% |
| **Equatorial Guinea** | Bioko (primarily Bubi, some Fernandinos), Rio Muni (primarily Fang), Europeans less than 1,000, mostly Spanish |
| **Eritrea** | ethnic Tigrinya 50%, Tigre and Kunama 40%, Afar 4%, Saho (Red Sea coast dwellers) 3% |
| **Estonia** | Estonian 65.1%, Russian 28.1%, Ukrainian 2.5%, Byelorussian 1.5%, Finn 1%, other 1.8% (1998) |
| **Ethiopia** | Oromo 40%, Amhara and Tigre 32%, Sidamo 9%, Shankella 6%, Somali 6%, Afar 4%, Gurage 2%, other 1% |
| **Falkland Islands (Islas Malvinas)** | British |
| **Faroe Islands** | Scandinavian |
| **Fiji** | Fijian 51% (predominantly Melanesian with a Polynesian admixture), Indian 44%, European, other Pacific Islanders, overseas Chinese, and other 5% (1998 est.) |
| **Finland** | Finn 93%, Swede 6%, Sami 0.11%, Roma 0.12%, Tatar 0.02% |
| **France** | Celtic and Latin with Teutonic, Slavic, North African, Indochinese, Basque minorities |
| **French Guiana** | black or mulatto 66%, white 12%, East Indian, Chinese, Amerindian 12%, other 10% |
| **French Polynesia** | Polynesian 78%, Chinese 12%, local French 6%, metropolitan French 4% |
