CIA - The World Factbook -- Field Listing - Ethnic groups

| Country | Ethnic groups (%) |
| --- | --- |
| **Afghanistan** | Pashtun 44%, Tajik 25%, Hazara 10%, minor ethnic groups (Aimaks, Turkmen, Baloch, and others) 13%, Uzbek 8% |
| **Albania** | Albanian 95%, Greek 3%, other 2% (Vlach, Gypsy, Serb, and Bulgarian) (1989 est.) |
| | *note:* in 1989, other estimates of the Greek population ranged from 1% (official Albanian statistics) to 12% (from a Greek organization) |
| **Algeria** | Arab-Berber 99%, European less than 1% |
| **American Samoa** | Samoan (Polynesian) 89%, Caucasian 2%, Tongan 4%, other 5% |
| **Andorra** | Spanish 43%, Andorran 33%, Portuguese 11%, French 7%, other 6% (1998) |
| **Angola** | Ovimbundu 37%, Kimbundu 25%, Bakongo 13%, mestico (mixed European and Native African) 2%, European 1%, other 22% |
| **Anguilla** | black (predominant), mulatto, white |
| **Antigua and Barbuda** | black, British, Portuguese, Lebanese, Syrian |
| **Argentina** | white (mostly Spanish and Italian) 97%, mestizo, Amerindian, or other nonwhite groups 3% |
| **Armenia** | Armenian 93%, Azeri 1%, Russian 2%, other (mostly Yezidi Kurds) 4% (2002) |
| | *note:* as of the end of 1993, virtually all Azeris had emigrated from Armenia |
| **Aruba** | mixed white/Caribbean Amerindian 80% |
| **Australia** | Caucasian 92%, Asian 7%, aboriginal and other 1% |
| **Austria** | German 88%, non-nationals 9.3% (includes Croatians, Slovenes, Hungarians, Czechs, Slovaks, Roma), naturalized 2% (includes those who have lived in Austria at least three generations) |
| **Azerbaijan** | Azeri 90%, Dagestani 3.2%, Russian 2.5%, Armenian 2%, other 2.3% (1998 est.) |
| | *note:* almost all Armenians live in the separatist Nagorno-Karabakh region |
| **Bahamas, The** | black 85%, white 12%, Asian and Hispanic 3% |
| **Bahrain** | Bahraini 63%, Asian 19%, other Arab 10%, Iranian 8% |
| **Bangladesh** | Bengali 98%, tribal groups, non-Bengali Muslims (1998) |
| **Barbados** | black 90%, white 4%, Asian and mixed 6% |
| **Belarus** | Belarusian 81.2%, Russian 11.4%, Polish, Ukrainian, and other 7.4% |
| **Belgium** | Fleming 58%, Walloon 31%, mixed or other 11% |
| **Belize** | mestizo 48.7%, Creole 24.9%, Maya 10.6%, Garifuna 6.1%, other 9.7% |
| **Benin** | African 99% (42 ethnic groups, most important being Fon, Adja, Yoruba, Bariba), Europeans 5,500 |
| **Bermuda** | black 58%, white 36%, other 6% |
| **Bhutan** | Bhote 50%, ethnic Nepalese 35% (includes Lhotsampas--one of several Nepalese ethnic groups), indigenous or migrant tribes 15% |
| **Bolivia** | Quechua 30%, mestizo (mixed white and Amerindian ancestry) 30%, Aymara 25%, white 15% |
| **Bosnia and Herzegovina** | Serb 37.1%, Bosniak 48%, Croat 14.3%, other 0.6% (2000) |
| | *note:* Bosniak has replaced Muslim as an ethnic term in part to avoid confusion with the religious term Muslim - an adherent of Islam |
| **Botswana** | Tswana (or Setswana) 79%, Kalanga 11%, Basarwa 3%, other, including Kgalagadi and white 7% |
| **Brazil** | white (includes Portuguese, German, Italian, Spanish, Polish) 55%, mixed white and black 38%, black 6%, other (includes Japanese, Arab, Amerindian) 1% |
| **British Virgin Islands** | black 83%, white, Indian, Asian and mixed |
| **Brunei** | Malay 67%, Chinese 15%, indigenous 6%, other 12% |
| **Bulgaria** | Bulgarian 83.6%, Turk 9.5%, Roma 4.6%, other 2.3% (including Macedonian, Armenian, Tatar, Circassian) (1998) |
| **Burkina Faso** | Mossi over 40%, Gurunsi, Senufo, Lobi, Bobo, Mande, Fulani |
| **Burma** | Burman 68%, Shan 9%, Karen 7%, Rakhine 4%, Chinese 3%, Indian 2%, Mon 2%, other 5% |
| **Burundi** | Hutu (Bantu) 85%, Tutsi (Hamitic) 14%, Twa (Pygmy) 1%, Europeans 3,000, South Asians 2,000 |
| **Cambodia** | Khmer 90%, Vietnamese 5%, Chinese 1%, other 4% |
| **Cameroon** | Cameroon Highlanders 31%, Equatorial Bantu 19%, Kirdi 11%, Fulani 10%, Northwestern Bantu 8%, Eastern Nigritic 7%, other African 13%, non-African less than 1% |
| **Canada** | British Isles origin 28%, French origin 23%, other European 15%, Amerindian 2%, other, mostly Asian, African, Arab 6%, mixed background 26% |
| **Cape Verde** | Creole (mulatto) 71%, African 28%, European 1% |
| **Cayman Islands** | mixed 40%, white 20%, black 20%, expatriates of various ethnic groups 20% |
| **Central African Republic** | Baya 33%, Banda 27%, Mandjia 13%, Sara 10%, Mboum 7%, M'Baka 4%, Yakoma 4%, other 2% |
| **Chad** | 200 distinct groups; in the north and center: Arabs, Gorane (Toubou, Daza, Kreda), Zaghawa, Kanembou, Ouaddai, Baguirmi, Hadjerai, Fulbe, Kotoko, Hausa, Boulala, and Maba, most of whom are Muslim; in the south: Sara (Ngambaye, Mbaye, Goulaye), Moundang, Moussei, Massa, most of whom are Christian or animist; about 1,000 French citizens live in Chad |
| **Chile** | white and white-Amerindian 95%, Amerindian 3%, other 2% |
| **China** | Han Chinese 91.9%, Zhuang, Uygur, Hui, Yi, Tibetan, Miao, Manchu, Mongol, Buyi, Korean, and other nationalities 8.1% |
| **Christmas Island** | Chinese 70%, European 20%, Malay 10% |
| | *note:* no indigenous population (2001) |
| **Cocos (Keeling) Islands** | Europeans, Cocos Malays |
| **Colombia** | mestizo 58%, white 20%, mulatto 14%, black 4%, mixed black-Amerindian 3%, Amerindian 1% |
| **Comoros** | Antalote, Cafre, Makoa, Oimatsaha, Sakalava |
| **Congo, Democratic Republic of the** | over 200 African ethnic groups of which the majority are Bantu; the four largest tribes - Mongo, Luba, Kongo (all Bantu), and the Mangbetu-Azande (Hamitic) make up about 45% of the population |
| **Congo, Republic of the** | Kongo 48%, Sangha 20%, M'Bochi 12%, Teke 17%, Europeans and other 3% |
| | *note:* Europeans estimated at 8,500, mostly French, before the 1997 civil war; may be half that in 1998, following the widespread destruction of foreign businesses in 1997 |
| **Cook Islands** | Polynesian (full blood) 81.3%, Polynesian and European 7.7%, Polynesian and non-European 7.7%, European 2.4%, other 0.9% |
| **Costa Rica** | white (including mestizo) 94%, black 3%, Amerindian 1%, Chinese 1%, other 1% |
| **Cote d'Ivoire** | Akan 42.1%, Voltaiques or Gur 17.6%, Northern Mandes 16.5%, Krous 11%, Southern Mandes 10%, other 2.8% (includes 130,000 Lebanese and 20,000 French) (1998) |
| **Croatia** | Croat 89.6%, Serb 4.5%, Bosniak 0.5%, Hungarian 0.4%, Slovene 0.3%, Czech 0.2%, Roma 0.2%, Albanian 0.1%, Montenegrin 0.1%, others 4.1% (2001) |
| **Cuba** | mulatto 51%, white 37%, black 11%, Chinese 1% |
| **Cyprus** | Greek 85.2%, Turkish 11.6%, other 3.2% (2000) |
| **Czech Republic** | Czech 81.2%, Moravian 13.2%, Slovak 3.1%, Polish 0.6%, German 0.5%, Silesian 0.4%, Roma 0.3%, Hungarian 0.2%, other 0.5% (1991) |
| **Denmark** | Scandinavian, Inuit, Faroese, German, Turkish, Iranian, Somali |
| **Djibouti** | Somali 60%, Afar 35%, French, Arab, Ethiopian, and Italian 5% |
| **Dominica** | black, mixed black and European, European, Syrian, Carib Amerindian |
| **Dominican Republic** | white 16%, black 11%, mixed 73% |
| **East Timor** | Austronesian (Malayo-Polynesian), Papuan, small Chinese minority |
| **Ecuador** | mestizo (mixed Amerindian and white) 65%, Amerindian 25%, Spanish and others 7%, black 3% |
| **Egypt** | Eastern Hamitic stock (Egyptians, Bedouins, and Berbers) 99%, Greek, Nubian, Armenian, other European (primarily Italian and French) 1% |
| **El Salvador** | mestizo 90%, Amerindian 1%, white 9% |
| **Equatorial Guinea** | Bioko (primarily Bubi, some Fernandinos), Rio Muni (primarily Fang), Europeans less than 1,000, mostly Spanish |
| **Eritrea** | ethnic Tigrinya 50%, Tigre and Kunama 40%, Afar 4%, Saho (Red Sea coast dwellers) 3%, other 3% |
| **Estonia** | Estonian 65.3%, Russian 28.1%, Ukrainian 2.5%, Belarusian 1.5%, Finn 1%, other 1.6% (1998) |
| **Ethiopia** | Oromo 40%, Amhara and Tigre 32%, Sidamo 9%, Shankella 6%, Somali 6%, Afar 4%, Gurage 2%, other 1% |
| **Falkland Islands (Islas Malvinas)** | British |
| **Faroe Islands** | Scandinavian |
| **Fiji** | Fijian 51% (predominantly Melanesian with a Polynesian admixture), Indian 44%, European, other Pacific Islanders, overseas Chinese, and other 5% (1998 est.) |
| **Finland** | Finn 93%, Swede 6%, Sami 0.11%, Roma 0.12%, Tatar 0.02% |
| **France** | Celtic and Latin with Teutonic, Slavic, North African, Indochinese, Basque minorities |
| **French Guiana** | black or mulatto 66%, white 12%, East Indian, Chinese, Amerindian 12%, other 10% |
| **French Polynesia** | Polynesian 78%, Chinese 12%, local French 6%, metropolitan French 4% |
| **Gabon** | Bantu tribes including four major tribal groupings (Fang, Bapounou, Nzebi, Obamba), other Africans and Europeans 154,000, including 10,700 French and 11,000 persons of dual nationality |
| **Gambia, The** | African 99% (Mandinka 42%, Fula 18%, Wolof 16%, Jola 10%, Serahuli 9%, other 4%), non-African 1% |
| **Gaza Strip** | Palestinian Arab and other 99.4%, Jewish 0.6% |
| **Georgia** | Georgian 70.1%, Armenian 8.1%, Russian 6.3%, Azeri 5.7%, Ossetian 3%, Abkhaz 1.8%, other 5% |
| **Germany** | German 91.5%, Turkish 2.4%, other 6.1% (made up largely of Serbo-Croatian, Italian, Russian, Greek, Polish, Spanish) |
| **Ghana** | black African 98.5% (major tribes - Akan 44%, Moshi-Dagomba 16%, Ewe 13%, Ga 8%, Gurma 3%, Yoruba 1%), European and other 1.5% (1998) |
| **Gibraltar** | Spanish, Italian, English, Maltese, Portuguese |
| **Greece** | Greek 98%, other 2% |
| | *note:* the Greek Government states there are no ethnic divisions in Greece |
| **Greenland** | Greenlander 88% (Inuit and Greenland-born whites), Danish and others 12% (January 2000) |
| **Grenada** | black 82%, mixed black and European 13%, European and East Indian 5% , and trace of Arawak/Carib Amerindian |
| **Guadeloupe** | black or mulatto 90%, white 5%, East Indian, Lebanese, Chinese less than 5% |
| **Guam** | Chamorro 37%, Filipino 26%, white 10%, Chinese, Japanese, Korean, and other 27% |
| **Guatemala** | Mestizo (mixed Amerindian-Spanish or assimilated Amerindian - in local Spanish called Ladino), approximately 55%, Amerindian or predominantly Amerindian, approximately 43%, whites and others 2% |
| **Guernsey** | UK and Norman-French descent |
| **Guinea** | Peuhl 40%, Malinke 30%, Soussou 20%, smaller ethnic groups 10% |
| **Guinea-Bissau** | African 99% (Balanta 30%, Fula 20%, Manjaca 14%, Mandinga 13%, Papel 7%), European and mulatto less than 1% |
| **Guyana** | East Indian 50%, black 36%, Amerindian 7%, white, Chinese, and mixed 7% |
| **Haiti** | black 95%, mulatto and white 5% |
| **Holy See (Vatican City)** | Italians, Swiss, other |
| **Honduras** | mestizo (mixed Amerindian and European) 90%, Amerindian 7%, black 2%, white 1% |
| **Hong Kong** | Chinese 95%, other 5% |
| **Hungary** | Hungarian 89.9%, Roma 4%, German 2.6%, Serb 2%, Slovak 0.8%, Romanian 0.7% |
| **Iceland** | homogeneous mixture of descendants of Norse and Celts 94%, population of foreign origin 6% |
| **India** | Indo-Aryan 72%, Dravidian 25%, Mongoloid and other 3% (2000) |
| **Indonesia** | Javanese 45%, Sundanese 14%, Madurese 7.5%, coastal Malays 7.5%, other 26% |
| **Iran** | Persian 51%, Azeri 24%, Gilaki and Mazandarani 8%, Kurd 7%, Arab 3%, Lur 2%, Baloch 2%, Turkmen 2%, other 1% |
| **Iraq** | Arab 75%-80%, Kurdish 15%-20%, Turkoman, Assyrian or other 5% |
| **Ireland** | Celtic, English |
| **Israel** | Jewish 80.1% (Europe/America-born 32.1%, Israel-born 20.8%, Africa-born 14.6%, Asia-born 12.6%), non-Jewish 19.9% (mostly Arab) (1996 est.) |
| **Italy** | Italian (includes small clusters of German-, French-, and Slovene-Italians in the north and Albanian-Italians and Greek-Italians in the south) |
| **Jamaica** | black 90.9%, East Indian 1.3%, white 0.2%, Chinese 0.2%, mixed 7.3%, other 0.1% |
| **Japan** | Japanese 99%, others 1% (Korean 511,262, Chinese 244,241, Brazilian 182,232, Filipino 89,851, other 237,914) (2000) |
| **Jersey** | UK and Norman-French descent |
| **Jordan** | Arab 98%, Circassian 1%, Armenian 1% |
| **Kazakhstan** | Kazakh (Qazaq) 53.4%, Russian 30%, Ukrainian 3.7%, Uzbek 2.5%, German 2.4%, Uighur 1.4%, other 6.6% (1999 census) |
| **Kenya** | Kikuyu 22%, Luhya 14%, Luo 13%, Kalenjin 12%, Kamba 11%, Kisii 6%, Meru 6%, other African 15%, non-African (Asian, European, and Arab) 1% |
| **Kiribati** | predominantly Micronesian with some Polynesian |
| **Korea, North** | racially homogeneous; there is a small Chinese community and a few ethnic Japanese |
| **Korea, South** | homogeneous (except for about 20,000 Chinese) |
| **Kuwait** | Kuwaiti 45%, other Arab 35%, South Asian 9%, Iranian 4%, other 7% |
| **Kyrgyzstan** | Kyrgyz 52.4%, Russian 18%, Uzbek 12.9%, Ukrainian 2.5%, German 2.4%, other 11.8% |
| **Laos** | Lao Loum (lowland) 68%, Lao Theung (upland) 22%, Lao Soung (highland) including the Hmong ("Meo") and the Yao (Mien) 9%, ethnic Vietnamese/Chinese 1% |
| **Latvia** | Latvian 57.7%, Russian 29.6%, Belarusian 4.1%, Ukrainian 2.7%, Polish 2.5%, Lithuanian 1.4%, other 2% |
| **Lebanon** | Arab 95%, Armenian 4%, other 1% |
| **Lesotho** | Sotho 99.7%, Europeans, Asians, and other 0.3%, |
