CIA - The World Factbook -- Field Listing - Military branches

| Country | Military branches |
| --- | --- |
| **Afghanistan** | *Afghan Armed Forces:* Afghan National Army (ANA, includes Afghan National Army Air Corps) (2008) |
| **Albania** | Land Forces Command (Army), Naval Forces Command, Air Defense Command, General Staff Headquarters (includes Logistics Command, Training and Doctrine Command) (2007) |
| **Algeria** | National Popular Army (ANP; includes Land Forces), Algerian National Navy (MRA), Air Force (QJJ), Territorial Air Defense Force (2005) |
| **Andorra** | no regular military forces, Police Service of Andorra |
| **Angola** | *Angolan Armed Forces (FAA):* Army, Navy (Marinha de Guerra, MdG), Angolan National Air Force (FANA) (2007) |
| **Antigua and Barbuda** | Royal Antigua and Barbuda Defense Force (2007) |
| **Argentina** | Argentine Army (Ejercito Argentino), Navy of the Argentine Republic (Armada Republica; includes naval aviation and naval infantry), Argentine Air Force (Fuerza Aerea Argentina, FAA) (2008) |
| **Armenia** | *Armed Forces:* Ground Forces, Nagorno-Karabakh Self Defense Force (NKSDF), Air Force and Air Defense (2008) |
| **Aruba** | no regular indigenous military forces; the Netherlands maintains a detachment of marines, a frigate, and an amphibious combat detachment in the neighboring Netherlands Antilles (2008) |
| **Australia** | *Australian Defense Force (ADF):* Australian Army, Royal Australian Navy, Royal Australian Air Force, Special Operations Command (2006) |
| **Austria** | Land Forces (KdoLdSK), Air Forces (KdoLuSK) |
| **Azerbaijan** | Army, Navy, Air and Air Defense Forces (2008) |
| **Bahamas, The** | *Royal Bahamian Defense Force:* Land Force, Navy, Air Wing (2007) |
| **Bahrain** | *Bahrain Defense Forces (BDF):* Ground Force (includes Air Defense), Naval Force, Air Force, National Guard |
| **Bangladesh** | *Bangladesh Defense Force:* Bangladesh Army, Bangladesh Navy, Bangladesh Air Force (Bangladesh Biman Bahini, BAF) (2008) |
| **Barbados** | *Royal Barbados Defense Force:* Troops Command, Barbados Coast Guard (2007) |
| **Belarus** | *Belarus Armed Forces:* Land Force, Air and Air Defense Force (2008) |
| **Belgium** | *Belgian Armed Forces:* Land Operations Command, Naval Operations Command, Air Operations Command (2008) |
| **Belize** | *Belize Defense Force (BDF):* Army, BDF Air Wing, BDF Volunteer Guard (2007) |
| **Benin** | *Benin Armed Forces (FAB):* Army (l'Arme de Terre), Benin Navy (Forces Navales Beninois, FNB), Benin People's Air Force (Force Aerienne Populaire de Benin, FAPB) (2008) |
| **Bermuda** | Bermuda Regiment (2008) |
| **Bhutan** | Royal Bhutan Army (includes Royal Bodyguard and Royal Bhutan Police) (2008) |
| **Bolivia** | *Bolivian Armed Forces:* Bolivian Army (Ejercito Boliviano), Bolivian Navy (Armada Boliviana; includes marines), Bolivian Air Force (Fuerza Aerea Boliviana, FAB) (2008) |
| **Bosnia and Herzegovina** | *Bosnia and Herzegovina Armed Forces (OSBiH):* Army of Bosnia and Herzegovina, Air and Air Defense Forces of Bosnia and Herzegovina (Zrakoplovstvo i Protuzracna Obrana, ZPO) (2007) |
| **Botswana** | *Botswana Defense Force:* Ground Forces, Air Wing (2008) |
| **Brazil** | Brazilian Army, Brazilian Navy (Marinha do Brasil (MB), includes Naval Air and Marine Corps (Corpo de Fuzileiros Navais)), Brazilian Air Force (Forca Aerea Brasileira, FAB) (2008) |
| **Brunei** | *Royal Brunei Armed Forces (RBAF):* Royal Brunei Land Forces, Royal Brunei Navy, Royal Brunei Air Force (Tentera Udara Diraja Brunei) (2008) |
| **Bulgaria** | *Bulgarian Armed Forces:* Ground Forces, Naval Forces, Bulgarian Air Forces (Bulgarski Voennovazdyshni Sily, BVVS) (2008) |
