CIA - The World Factbook --  Economic aid - donor   

| Rank | country | Economic aid - donor | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 23,530,000,000.00 | 2006 |
| 2 | United Kingdom | 12,460,000,000.00 | 2006 |
| 3 | Japan | 11,190,000,000.00 | 2006 |
| 4 | France | 10,600,000,000.00 | 2006 |
| 5 | Germany | 10,440,000,000.00 | 2006 |
| 6 | Netherlands | 5,452,000,000.00 | 2006 |
| 7 | Sweden | 3,955,000,000.00 | 2006 |
| 8 | Canada | 3,900,000,000.00 | 2007 |
| 9 | Spain | 3,814,000,000.00 | 2006 |
| 10 | Italy | 3,641,000,000.00 | 2006 |
| 11 | Norway | 2,954,000,000.00 | 2006 |
| 12 | Denmark | 2,236,000,000.00 | 2006 |
| 13 | Australia | 2,123,000,000.00 | 2006 |
| 14 | Belgium | 1,978,000,000.00 | 2006 |
| 15 | Switzerland | 1,646,000,000.00 | 2006 |
| 16 | Austria | 1,498,000,000.00 | 2006 |
| 17 | Finland | 1,023,000,000.00 | 2007 |
| 18 | Ireland | 1,022,000,000.00 | 2006 |
| 19 | Korea, South | 455,300,000.00 | 2006 |
| 20 | Greece | 424,000,000.00 | 2006 |
| 21 | Portugal | 396,000,000.00 | 2006 |
| 22 | Luxembourg | 291,000,000.00 | 2006 |
| 23 | New Zealand | 259,000,000.00 | 2006 |
| 24 | Cyprus | 25,900,000.00 | 2006 |
| 25 | Iceland | 6,700,000.00 | 2004 |
